,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,10.0,
1,2,2,Charles Howell III,16,16.0,
2,3,3,Scott Hoch,14,5.0,
3,4,4,Davis Love III,13,6.0,
4,5,5,Mark O'Meara,12,3.0,
5,T6,T6,David Edwards,11,2.0,
6,T6,T6,Jim Furyk,11,6.0,
7,T6,T6,Bernhard Langer,11,3.0,
8,T6,T6,Bruce Lietzke,11,,
9,T6,T6,Mark McCumber,11,,
10,T6,T6,Jerry Pate,11,2.0,
11,T6,T6,Tiger Woods,11,10.0,
12,T13,T13,Fred Couples,10,5.0,
13,T13,T13,Chris DiMarco,10,10.0,
14,T13,T13,Steve Flesch,10,3.0,
15,T13,T13,Carlos Franco,10,10.0,
16,T13,T13,David Frost,10,4.0,
17,T13,T13,Robert Gamez,10,10.0,
18,T13,T13,Corey Pavin,10,3.0,
19,T13,T13,David Peoples,10,10.0,
20,T13,T13,Mike Reid,10,1.0,
21,T13,T13,Chris Riley,10,7.0,
22,T13,T13,Gene Sauers,10,5.0,
23,T13,T13,Tom Sieckmann,10,,
24,T13,T13,Chris Smith,10,5.0,
25,T13,T13,David Toms,10,10.0,
26,T13,T13,Grant Waite,10,4.0,
27,T28,T28,Billy Andrade,9,9.0,
28,T28,T28,Stuart Appleby,9,9.0,
29,T28,T28,Notah Begay III,9,7.0,
30,T28,T28,Brad Bryant,9,1.0,
31,T28,T28,Mark Calcavecchia,9,4.0,
32,T28,T28,K.J. Choi,9,9.0,
33,T28,T28,Stewart Cink,9,5.0,
34,T28,T28,Lennie Clements,9,,
35,T28,T28,Fred Funk,9,6.0,
36,T28,T28,Sergio Garcia,9,3.0,
37,T28,T28,Brian Gay,9,5.0,
38,T28,T28,Paul Gow,9,3.0,
39,T28,T28,Jay Haas,9,5.0,
40,T28,T28,Per-Ulrik Johansson,9,9.0,
41,T28,T28,Justin Leonard,9,9.0,
42,T28,T28,Blaine McCallister,9,3.0,
43,T28,T28,Phil Mickelson,9,5.0,
44,T28,T28,Gil Morgan,9,,
45,T28,T28,Greg Norman,9,2.0,
46,T28,T28,Jesper Parnevik,9,2.0,
47,T28,T28,Chris Perry,9,1.0,
48,T28,T28,Loren Roberts,9,6.0,
49,T28,T28,Jeff Sluman,9,6.0,
50,T28,T28,Payne Stewart,9,,
51,T28,T28,Hal Sutton,9,2.0,
52,T28,T28,Kirk Triplett,9,4.0,
53,T28,T28,Bob Tway,9,8.0,
54,T28,T28,Scott Verplank,9,5.0,
55,T56,T56,John Adams,8,,
56,T56,T56,Robert Allenby,8,6.0,
57,T56,T56,Paul Azinger,8,2.0,
58,T56,T56,Ian Baker-Finch,8,,
59,T56,T56,Doug Barron,8,2.0,
60,T56,T56,Andy Bean,8,,
61,T56,T56,Cameron Beckman,8,8.0,
62,T56,T56,Bill Britton,8,,
63,T56,T56,Rex Caldwell,8,,
64,T56,T56,Jim Carter,8,8.0,
65,T56,T56,Bobby Clampett,8,,
66,T56,T56,Tim Clark,8,8.0,
67,T56,T56,Russ Cochran,8,4.0,
68,T56,T56,John Cook,8,7.0,
69,T56,T56,David Duval,8,4.0,
70,T56,T56,Bob Gilder,8,,
71,T56,T56,Bill Glasson,8,1.0,
72,T56,T56,Hubert Green,8,,
73,T56,T56,Ken Green,8,1.0,
74,T56,T56,Donnie Hammond,8,3.0,
75,T56,T56,Dudley Hart,8,3.0,
76,T56,T56,Mark Hayes,8,,
77,T56,T56,Mike Hulbert,8,2.0,
78,T56,T56,John Huston,8,6.0,
79,T56,T56,Hale Irwin,8,,
80,T56,T56,Steve Jones,8,2.0,
81,T56,T56,Tom Kite,8,4.0,
82,T56,T56,Greg Kraft,8,5.0,
83,T56,T56,Ian Leggatt,8,6.0,
84,T56,T56,Tom Lehman,8,2.0,
85,T56,T56,Larry Mize,8,3.0,
86,T56,T56,Craig Parry,8,8.0,
87,T56,T56,Calvin Peete,8,,
88,T56,T56,Kenny Perry,8,5.0,
89,T56,T56,Nick Price,8,4.0,
90,T56,T56,Craig Stadler,8,3.0,
91,T56,T56,Curtis Strange,8,1.0,
92,T56,T56,Jim Thorpe,8,,
93,T56,T56,Bobby Wadkins,8,,
94,T56,T56,D.A. Weibring,8,2.0,
95,T56,T56,Robert Wrenn,8,,
96,T97,T97,Woody Austin,7,4.0,
97,T97,T97,Tom Byrum,7,4.0,
98,T97,T97,Rod Curl,7,,
99,T97,T97,Robert Damron,7,7.0,
100,T97,T97,Joe Durant,7,3.0,
101,T97,T97,Joel Edwards,7,7.0,
102,T97,T97,Ernie Els,7,4.0,
103,T97,T97,Dan Forsman,7,7.0,
104,T97,T97,"Jim Gallagher, Jr.",7,4.0,
105,T97,T97,Brent Geiberger,7,4.0,
106,T97,T97,Kelly Gibson,7,3.0,
107,T97,T97,Matt Gogel,7,3.0,
108,T97,T97,Gary Hallberg,7,,
109,T97,T97,Tim Herron,7,7.0,
110,T97,T97,Lon Hinkle,7,,
111,T97,T97,Peter Jacobsen,7,4.0,
112,T97,T97,Brian Kamm,7,,
113,T97,T97,Jonathan Kaye,7,5.0,
114,T97,T97,Kenny Knox,7,,
115,T97,T97,Gary Koch,7,,
116,T97,T97,Wayne Levi,7,,
117,T97,T97,J.L. Lewis,7,6.0,
118,T97,T97,Steve Lowery,7,7.0,
119,T97,T97,Sandy Lyle,7,1.0,
120,T97,T97,Andrew Magee,7,3.0,
121,T97,T97,Jeff Maggert,7,2.0,
122,T97,T97,John Maginnes,7,1.0,
123,T97,T97,John Mahaffey,7,1.0,
124,T97,T97,Roger Maltbie,7,,
125,T97,T97,Bob May,7,7.0,
126,T97,T97,Scott McCarron,7,7.0,
127,T97,T97,Rocco Mediate,7,3.0,
128,T97,T97,Larry Nelson,7,,
129,T97,T97,Don Pooley,7,,
130,T97,T97,Jack Renner,7,,
131,T97,T97,Clarence Rose,7,,
132,T97,T97,Rory Sabbatini,7,4.0,
133,T97,T97,Tony Sills,7,,
134,T97,T97,Scott Simpson,7,2.0,
135,T97,T97,Joey Sindelar,7,7.0,
136,T97,T97,Vijay Singh,7,6.0,
137,T97,T97,Mike Springer,7,2.0,
138,T97,T97,Paul Stankowski,7,3.0,
139,T97,T97,"Dave Stockton, Jr.",7,2.0,
140,T97,T97,Kevin Sutherland,7,3.0,
141,T97,T97,Lance Ten Broeck,7,,
142,T97,T97,Lee Trevino,7,,
143,T97,T97,Howard Twitty,7,,
144,T97,T97,Lanny Wadkins,7,,
145,T97,T97,Duffy Waldorf,7,4.0,
146,T97,T97,Tom Watson,7,2.0,
147,T97,T97,Mark Wiebe,7,,
148,T97,T97,Fuzzy Zoeller,7,,
149,T97,T97,Richard Zokol,7,1.0,
150,T151,T151,Fulton Allem,6,2.0,
151,T151,T151,Stephen Ames,6,4.0,
152,T151,T151,Tommy Armour III,6,2.0,
153,T151,T151,Briny Baird,6,5.0,
154,T151,T151,Jeff Barlow,6,,
155,T151,T151,Dave Barr,6,1.0,
156,T151,T151,Chip Beck,6,1.0,
157,T151,T151,Ronnie Black,6,1.0,
158,T151,T151,Phil Blackmar,6,,
159,T151,T151,Jay Don Blake,6,4.0,
160,T151,T151,Mike Brisky,6,,
161,T151,T151,Mark Brooks,6,3.0,
162,T151,T151,Olin Browne,6,5.0,
163,T151,T151,Bart Bryant,6,4.0,
164,T151,T151,George Burns,6,,
165,T151,T151,Bob Burns,6,6.0,
166,T151,T151,Jonathan Byrd,6,6.0,
167,T151,T151,Curt Byrum,6,,
168,T151,T151,Greg Chalmers,6,6.0,
169,T151,T151,Keith Clearwater,6,,
170,T151,T151,Jim Colbert,6,,
171,T151,T151,Ben Crane,6,6.0,
172,T151,T151,Marco Dawson,6,,
173,T151,T151,Jay Delsing,6,1.0,
174,T151,T151,Scott Dunlap,6,2.0,
