,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,David Toms,291,24
1,T2,T2,Stuart Appleby,174,20
2,T2,T2,Shaun Micheel,138,20
3,T4,T4,John Cook,593,18
4,T4,T4,Charles Howell III,67,18
5,T6,T6,John Huston,383,17
6,T6,T6,Frank Lickliter II,206,17
7,T6,T6,Phil Mickelson,241,17
8,9,9,"David Berganio, Jr.",109,16
9,T10,T10,Tim Petrovic,41,15
10,T10,T10,Joey Sindelar,535,15
11,T10,T10,Bob Tway,498,15
12,T13,T13,Joe Durant,179,14
13,T13,T13,Jeff Gove,61,14
14,T13,T13,Per-Ulrik Johansson,85,14
15,T13,T13,Craig Parry,228,14
16,T13,T13,Scott Verplank,378,14
17,18,18,Chad Campbell,40,13
18,T19,T19,Jonathan Byrd,33,12
19,T19,T19,Michael Clark II,91,12
20,T19,T19,Scott Hoch,598,12
21,T19,T19,Lee Janzen,355,12
22,T19,T19,Kirk Triplett,325,12
23,24,24,Luke Donald,41,11
24,25,25,Ben Crane,29,10
25,T26,T26,Michael Campbell,38,9
26,T26,T26,Jim Carter,363,9
27,T26,T26,Brian Gay,123,9
28,T26,T26,Tim Herron,200,9
29,T26,T26,Geoff Ogilvy,50,9
30,T26,T26,Jay Williamson,176,9
31,T32,T32,Stewart Cink,170,8
32,T32,T32,Tim Clark,26,8
33,T32,T32,Robert Damron,169,8
34,T32,T32,Robin Freeman,332,8
35,T32,T32,Rod Pampling,34,8
36,T32,T32,John Riegger,136,8
37,T38,T38,Stephen Ames,118,7
38,T38,T38,Joel Edwards,344,7
39,T38,T38,Matt Gogel,81,7
40,T38,T38,Paul Gow,62,7
41,T38,T38,Chris Smith,156,7
42,T43,T43,Mark Brooks,583,6
43,T43,T43,Paul Claxton,53,6
44,T43,T43,Steve Elkington,365,6
45,T43,T43,Robert Gamez,319,6
46,T43,T43,Kelly Gibson,292,6
47,T43,T43,Trevor Immelman,4,6
48,T43,T43,Jonathan Kaye,170,6
49,T43,T43,Neal Lancaster,399,6
50,T43,T43,Ian Leggatt,68,6
51,T43,T43,Graeme McDowell,4,6
52,T43,T43,Heath Slocum,39,6
53,T43,T43,Hidemichi Tanaka,51,6
54,T43,T43,Duffy Waldorf,413,6
55,T56,T56,Thomas Bjørn,40,5
56,T56,T56,Olin Browne,264,5
57,T56,T56,José Coceres,39,5
58,T56,T56,Niclas Fasth,26,5
59,T56,T56,Bob Heintz,62,5
60,T56,T56,Kevin Johnson,39,5
61,T56,T56,Stephen Leaney,10,5
62,T56,T56,Scott McCarron,208,5
63,T56,T56,Spike McRoy,123,5
64,T56,T56,Larry Mize,495,5
65,T56,T56,Colin Montgomerie,82,5
66,T56,T56,Deane Pappas,68,5
67,T56,T56,Brett Quigley,157,5
68,T56,T56,Phil Tataurangi,147,5
69,T56,T56,Brian Wilson,32,5
70,T71,T71,Greg Chalmers,117,4
71,T71,T71,Barry Cheesman,214,4
72,T71,T71,Chris DiMarco,214,4
73,T71,T71,Trevor Dodds,267,4
74,T71,T71,Brad Elder,102,4
75,T71,T71,Hiroyuki Fujita,1,4
76,T71,T71,Derek Gillespie,4,4
77,T71,T71,Jimmy Green,123,4
78,T71,T71,Padraig Harrington,34,4
79,T71,T71,Tom Kite,481,4
80,T71,T71,Hank Kuehne,18,4
81,T71,T71,Hunter Mahan,2,4
82,T71,T71,David Morland IV,88,4
83,T71,T71,Eduardo Romero,70,4
84,T71,T71,Steve Scott,12,4
85,T71,T71,John Senden,29,4
86,T71,T71,Greg Twiggs,253,4
87,T71,T71,Willie Wood,427,4
88,T89,T89,Brian Bateman,33,3
89,T89,T89,Cameron Beckman,110,3
90,T89,T89,Bart Bryant,158,3
91,T89,T89,K.J. Choi,86,3
92,T89,T89,Russ Cochran,558,3
93,T89,T89,Fred Couples,465,3
94,T89,T89,Jess Daley,29,3
95,T89,T89,Todd Doohan,1,3
96,T89,T89,David Duval,191,3
97,T89,T89,Ernie Els,151,3
98,T89,T89,Brad Faxon,504,3
99,T89,T89,Rick Fehr,389,3
100,T89,T89,Jeff Gallagher,121,3
101,T89,T89,Stephen Gangluff,30,3
102,T89,T89,Billy Harvey,1,3
103,T89,T89,Brian Henninger,259,3
104,T89,T89,Jason Hill,27,3
105,T89,T89,Jerry Kelly,223,3
106,T89,T89,Franklin Langham,163,3
107,T89,T89,Scott Laycock,5,3
108,T89,T89,Davis Love III,416,3
109,T89,T89,Mark McCumber,433,3
110,T89,T89,Gary Nicklaus,109,3
111,T89,T89,Jesper Parnevik,178,3
112,T89,T89,Tom Pernice Jr.,311,3
113,T89,T89,Dicky Pride,244,3
114,T89,T89,Justin Rose,7,3
115,T89,T89,Tom Scherrer,156,3
116,T89,T89,Jim Schuman,8,3
117,T89,T89,Jerry Smith,98,3
118,T89,T89,Mike Sposa,120,3
119,T89,T89,Jay Synkelma,7,3
120,T89,T89,Mario Tiziani,12,3
121,T89,T89,Tommy Tolles,203,3
122,T89,T89,Mike Weir,143,3
123,T89,T89,Garrett Willis,63,3
124,T89,T89,Tiger Woods,136,3
125,T126,T126,Steve Allan,63,2
126,T126,T126,Mike Capone,1,2
127,T126,T126,Brandel Chamblee,342,2
128,T126,T126,Todd Fischer,4,2
129,T126,T126,Steve Flesch,153,2
130,T126,T126,Raymond Floyd,292,2
131,T126,T126,Dan Forsman,527,2
132,T126,T126,Ernie Gonzalez,172,2
133,T126,T126,Gary Hallberg,523,2
134,T126,T126,Mark Hayes,408,2
135,T126,T126,Peter Lonard,37,2
136,T126,T126,Kris Maffet,1,2
137,T126,T126,Shigeki Maruyama,99,2
138,T126,T126,Rocco Mediate,395,2
139,T126,T126,Aaron Meeks,2,2
140,T126,T126,Peter O'Malley,24,2
141,T126,T126,Lee Porter,180,2
142,T126,T126,Mike Reid,493,2
143,T126,T126,John Rollins,61,2
144,T126,T126,Scott Simpson,511,2
145,T126,T126,Vijay Singh,228,2
146,T126,T126,Jeff Sluman,549,2
147,T126,T126,Craig Stadler,490,2
148,T126,T126,David Sutherland,169,2
149,T126,T126,Ted Tryba,329,2
150,T126,T126,Ty Tryon,9,2
151,T126,T126,Jon Turcott,1,2
152,T126,T126,Matt Weibring,1,2
153,T126,T126,Brett Wetterich,42,2
