,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Tiger Woods,96,1998050
1,T2,T2,Joel Edwards,16,2002210
2,T2,T2,Davis Love III,16,2002160
3,4,4,Chris Riley,14,2002260
4,T5,T5,Andrew Coltart,12,1998350
5,T5,T5,Jeff Sluman,12,2002280
6,T7,T7,Ernie Els,11,2002200
7,T7,T7,Chris Smith,11,2002290
8,T7,T7,Kirk Triplett,11,2002260
9,T10,T10,Luke Donald,10,2002340
10,T10,T10,Sergio Garcia,10,2002220
11,T10,T10,Padraig Harrington,10,2001370
12,T13,T13,Olin Browne,9,2002370
13,T13,T13,Loren Roberts,9,2002310
14,T13,T13,Vijay Singh,9,2002330
15,T16,T16,Stuart Appleby,8,2002340
16,T16,T16,Rich Beem,8,2002330
17,T16,T16,Jim Furyk,8,2002340
18,T16,T16,John Rollins,8,2002390
19,T16,T16,Garrett Willis,8,2002370
20,T21,T21,Shigeki Maruyama,7,2002290
21,T21,T21,Kenny Perry,7,2002340
22,T21,T21,Hidemichi Tanaka,7,2002390
23,T24,T24,"David Berganio, Jr.",6,2002400
24,T24,T24,Dan Forsman,6,2002400
25,T24,T24,Retief Goosen,6,2002310
26,T24,T24,Bernhard Langer,6,2002250
27,T24,T24,Shaun Micheel,6,2002420
28,T24,T24,Phil Mickelson,6,2002340
29,T24,T24,David Toms,6,2002360
30,T31,T31,Todd Barranger,5,2000290
31,T31,T31,Nick Faldo,5,2002130
32,T31,T31,Pierre Fulke,5,2001370
33,T31,T31,Thomas Levet,5,1999290
34,T31,T31,Craig Parry,5,2002360
35,T31,T31,Justin Rose,5,2001310
36,T31,T31,Doug Tewell,5,1999230
37,T31,T31,Jean Van de Velde,5,2001330
38,T39,T39,Jay Don Blake,4,2002460
39,T39,T39,Jonathan Byrd,4,2002450
40,T39,T39,Carlos Franco,4,2002460
41,T39,T39,Donnie Hammond,4,2002400
42,T39,T39,Soren Hansen,4,2002310
43,T39,T39,Charles Howell III,4,2002450
44,T39,T39,Frank Lickliter II,4,2002460
45,T39,T39,Scott McCarron,4,2002460
46,T39,T39,Yoshinori Mizumaki,4,2000360
47,T39,T39,Greg Norman,4,2002310
48,T39,T39,David Peoples,4,2002460
49,T39,T39,Rory Sabbatini,4,2002420
50,T39,T39,Phil Tataurangi,4,2002380
51,T52,T52,Billy Andrade,3,2002460
52,T52,T52,Notah Begay III,3,2002460
53,T52,T52,Gordon Brand Jr.,3,1998295
54,T52,T52,Ángel Cabrera,3,2002350
55,T52,T52,Chad Campbell,3,2002470
56,T52,T52,Michael Campbell,3,2002350
57,T52,T52,Darren Clarke,3,2002360
58,T52,T52,Paul Curry,3,2000455
59,T52,T52,Robert Damron,3,2002420
60,T52,T52,Gary Evans,3,1998295
61,T52,T52,Robin Freeman,3,2002450
62,T52,T52,Robert Gamez,3,2002430
63,T52,T52,Ricardo Gonzalez,3,2002330
64,T52,T52,Scott Hoch,3,2002410
65,T52,T52,Stu Ingraham,3,1993340
66,T52,T52,Toshi Izawa,3,2002310
67,T52,T52,Skip Kendall,3,2002470
68,T52,T52,Greg Kraft,3,2002470
69,T52,T52,Ian Leggatt,3,2002470
70,T52,T52,Len Mattiace,3,2002470
71,T52,T52,Bob May,3,2002470
72,T52,T52,Graeme McDowell,3,2002360
73,T52,T52,Jarrod Moseley,3,1999470
74,T52,T52,Nick Price,3,2002360
75,T52,T52,John Riegger,3,2002470
76,T52,T52,Bob Shearer,3,1984320
77,T52,T52,Joey Sindelar,3,2002470
78,T52,T52,Roger Wessels,3,1991360
79,T80,T80,Robert Allenby,2,2002480
80,T80,T80,Thomas Bjørn,2,2002360
81,T80,T80,Guy Boros,2,2002430
82,T80,T80,Jim Carter,2,2002470
83,T80,T80,Stewart Cink,2,2002480
84,T80,T80,Tim Clark,2,2002470
85,T80,T80,Glen Day,2,2002480
86,T80,T80,Jay Delsing,2,2002320
87,T80,T80,Ken Duke,2,2002420
88,T80,T80,Niclas Fasth,2,2002360
89,T80,T80,Brad Faxon,2,2002480
90,T80,T80,Gene Fieger,2,2001110
91,T80,T80,Fred Funk,2,2002480
92,T80,T80,Ian Garbutt,2,2000310
93,T80,T80,Brent Geiberger,2,2002460
94,T80,T80,Tom Gillis,2,2002250
95,T80,T80,Lucas Glover,2,2002290
96,T80,T80,David Gossett,2,2002480
97,T80,T80,Jeff Gove,2,2002480
98,T80,T80,Paul Gow,2,2002480
99,T80,T80,Richard Green,2,2001310
100,T80,T80,Anders Hansen,2,2002360
101,T80,T80,J.P. Hayes,2,2002450
102,T80,T80,Brian Henninger,2,2002450
103,T80,T80,Tim Herron,2,2002470
104,T80,T80,Jason Hill,2,2002450
105,T80,T80,Ryan Howison,2,2000455
106,T80,T80,Mikko Ilonen,2,2001310
107,T80,T80,Trevor Immelman,2,2002310
108,T80,T80,Lee Janzen,2,2002480
109,T80,T80,Cliff Kresge,2,2002300
110,T80,T80,Kenichi Kuboya,2,2002310
111,T80,T80,Barry Lane,2,2001310
112,T80,T80,Brad Lardon,2,2002450
113,T80,T80,Paul Lawrie,2,2002360
114,T80,T80,Stephen Leaney,2,2002310
115,T80,T80,Justin Leonard,2,2002460
116,T80,T80,John Maginnes,2,2002180
117,T80,T80,Mac McLendon,2,1980430
118,T80,T80,Rocco Mediate,2,2002480
119,T80,T80,Colin Montgomerie,2,2002360
120,T80,T80,Jack Newton,2,1982420
121,T80,T80,Peter O'Malley,2,2002370
122,T80,T80,Jerry Pate,2,2002270
123,T80,T80,Tim Petrovic,2,2002480
124,T80,T80,Lee Porter,2,2002480
125,T80,T80,Ian Poulter,2,2001370
126,T80,T80,Ted Purdy,2,1999450
127,T80,T80,Eduardo Romero,2,2002360
128,T80,T80,John Schroeder,2,1995300
129,T80,T80,Adam Scott,2,2002350
130,T80,T80,Charles Sifford,2,1983020
131,T80,T80,Bob Smith,2,1985280
132,T80,T80,Des Smyth,2,2001310
133,T80,T80,Mike Sposa,2,2002480
134,T80,T80,Hal Sutton,2,2002420
135,T80,T80,Mario Tiziani,2,2002290
136,T80,T80,Greg Twiggs,2,2001300
137,T80,T80,Jay Williamson,2,2002480
