,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,1,1,Bob Tway,28,7
1,2,2,Peter Lonard,24,6
2,T3,T3,Jonathan Byrd,32,5
3,T3,T3,Michael Campbell,11,5
4,T3,T3,K.J. Choi,27,5
5,T3,T3,Joel Edwards,28,5
6,T3,T3,Edward Fryatt,34,5
7,T3,T3,Jay Haas,24,5
8,T3,T3,Len Mattiace,28,5
9,T3,T3,Geoff Ogilvy,27,5
10,T3,T3,Phil Tataurangi,25,5
11,T12,T12,Stephen Ames,28,4
12,T12,T12,Paul Casey,9,4
13,T12,T12,John Cook,25,4
14,T12,T12,David Duval,24,4
15,T12,T12,Brad Elder,26,4
16,T12,T12,Ernie Els,18,4
17,T12,T12,Tim Herron,30,4
18,T12,T12,Charles Howell III,32,4
19,T12,T12,Peter Jacobsen,21,4
20,T12,T12,Lee Janzen,29,4
21,T12,T12,Hank Kuehne,6,4
22,T12,T12,Mike Sposa,34,4
23,T12,T12,Mike Springer,12,4
24,T25,T25,Billy Andrade,31,3
25,T25,T25,Stuart Appleby,28,3
26,T25,T25,Cameron Beckman,26,3
27,T25,T25,Notah Begay III,26,3
28,T25,T25,"David Berganio, Jr.",30,3
29,T25,T25,Thomas Bjørn,9,3
30,T25,T25,Mark Brooks,32,3
31,T25,T25,Olin Browne,33,3
32,T25,T25,Fred Couples,18,3
33,T25,T25,Ben Crane,30,3
34,T25,T25,John Daly,21,3
35,T25,T25,Bubba Dickerson,10,3
36,T25,T25,Todd Doohan,1,3
37,T25,T25,Bob Estes,26,3
38,T25,T25,Steve Flesch,32,3
39,T25,T25,Dan Forsman,25,3
40,T25,T25,Fred Funk,29,3
41,T25,T25,Jim Furyk,25,3
42,T25,T25,Sergio Garcia,21,3
43,T25,T25,Mathew Goggin,20,3
44,T25,T25,Retief Goosen,15,3
45,T25,T25,Padraig Harrington,9,3
46,T25,T25,Eduardo Herrera,23,3
47,T25,T25,Jason Hill,24,3
48,T25,T25,Brandt Jobe,28,3
49,T25,T25,Per-Ulrik Johansson,27,3
50,T25,T25,Jonathan Kaye,27,3
51,T25,T25,Ian Leggatt,29,3
52,T25,T25,Tom Lehman,22,3
53,T25,T25,Justin Leonard,26,3
54,T25,T25,Davis Love III,26,3
55,T25,T25,Shigeki Maruyama,24,3
56,T25,T25,Bob May,30,3
57,T25,T25,Blaine McCallister,27,3
58,T25,T25,Spike McRoy,25,3
59,T25,T25,Mike Mezei,1,3
60,T25,T25,Shaun Micheel,30,3
61,T25,T25,Phil Mickelson,26,3
62,T25,T25,Bryce Molder,22,3
63,T25,T25,Greg Norman,13,3
64,T25,T25,Carl Paulson,28,3
65,T25,T25,David Peoples,30,3
66,T25,T25,Craig Perks,28,3
67,T25,T25,Kenny Perry,27,3
68,T25,T25,Tim Petrovic,31,3
69,T25,T25,Nick Price,18,3
