,Front_9_Par_4_Scoring_Average_RANK THIS WEEK,Front_9_Par_4_Scoring_Average_RANK LAST WEEK,Front_9_Par_4_Scoring_Average_PLAYER NAME,Front_9_Par_4_Scoring_Average_ROUNDS,Front_9_Par_4_Scoring_Average_AVG,Front_9_Par_4_Scoring_Average_TOTAL STROKES,Front_9_Par_4_Scoring_Average_TOTAL HOLES
0,1,,Jordan Spieth,85,3.94,1751,444
1,2,,Justin Thomas,86,3.96,1740,439
2,T3,,Zach Johnson,81,3.97,1725,434
3,T3,,Seamus Power,86,3.97,1781,449
4,T3,,Jon Rahm,90,3.97,1820,459
5,T6,,Lucas Glover,93,3.98,1960,493
6,T6,,Charley Hoffman,112,3.98,2381,598
7,T6,,Dustin Johnson,77,3.98,1569,394
8,T6,,Hideki Matsuyama,83,3.98,1670,420
9,T6,,Francesco Molinari,75,3.98,1575,396
10,T6,,Ian Poulter,72,3.98,1508,379
11,T6,,Ollie Schniederjans,92,3.98,1944,488
12,T13,,Daniel Berger,91,3.99,1924,482
13,T13,,Jason Day,71,3.99,1468,368
14,T13,,Brian Harman,104,3.99,2207,553
15,T13,,Russell Henley,99,3.99,2187,548
16,T13,,Charles Howell III,86,3.99,1840,461
17,T13,,Phil Mickelson,85,3.99,1779,446
18,T13,,Chez Reavie,98,3.99,2097,525
19,T13,,Justin Rose,66,3.99,1430,358
20,T13,,Sam Saunders,76,3.99,1551,389
21,T13,,Xander Schauffele,96,3.99,2081,521
22,T13,,Adam Scott,58,3.99,1285,322
23,T13,,Brendan Steele,89,3.99,1845,462
24,T25,,Keegan Bradley,104,4.0,2254,564
25,T25,,Patrick Cantlay,52,4.0,1041,260
26,T25,,Stewart Cink,93,4.0,2055,514
27,T25,,Tony Finau,106,4.0,2335,584
28,T25,,Jim Furyk,54,4.0,1127,282
29,T25,,Bill Haas,92,4.0,1908,477
30,T25,,Brandon Hagy,85,4.0,1734,433
31,T25,,Jim Herman,77,4.0,1641,410
32,T25,,Michael Kim,94,4.0,2022,505
33,T25,,Martin Laird,83,4.0,1799,450
34,T25,,Marc Leishman,94,4.0,2025,506
35,T25,,Rory McIlroy,51,4.0,1087,272
36,T25,,Trey Mullinax,88,4.0,1812,453
37,T25,,Pat Perez,93,4.0,1967,492
38,T25,,Webb Simpson,102,4.0,2230,558
39,T25,,Camilo Villegas,76,4.0,1607,402
40,T41,,Chad Campbell,97,4.01,2187,545
41,T41,,Brian Campbell,55,4.01,1138,284
42,T41,,Paul Casey,94,4.01,2003,500
43,T41,,Bud Cauley,92,4.01,1960,489
44,T41,,Alex Cejka,85,4.01,1716,428
45,T41,,Ben Crane,86,4.01,1767,441
46,T41,,Sergio Garcia,65,4.01,1413,352
47,T41,,Robert Garrigus,78,4.01,1609,401
48,T41,,Andres Gonzales,73,4.01,1526,381
49,T41,,Retief Goosen,52,4.01,1010,252
50,T41,,Sung Kang,104,4.01,2288,571
