,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,,Jordan Spieth,85,68.94,5377,78
1,2,,Justin Thomas,86,69.39,5482,79
2,3,,Rickie Fowler,78,69.57,5287,76
3,4,,Dustin Johnson,77,69.61,4873,70
4,5,,Jon Rahm,90,69.64,5780,83
5,T6,,Marc Leishman,94,69.66,6269,90
6,T6,,Hideki Matsuyama,83,69.66,5294,76
7,8,,Paul Casey,94,69.67,6270,90
8,9,,Tony Finau,106,69.86,7265,104
9,T10,,Sergio Garcia,65,69.92,4335,62
10,T10,,Justin Rose,66,69.92,4475,64
11,12,,Kyle Stanley,104,69.94,6994,100
12,13,,Webb Simpson,102,69.96,6926,99
13,T14,,Patrick Cantlay,52,70.0,3360,48
14,T14,,Chez Reavie,98,70.0,6650,95
15,16,,Brandt Snedeker,53,70.02,3501,50
16,17,,Matt Kuchar,95,70.04,6444,92
17,18,,Chad Campbell,97,70.05,6795,97
18,19,,Seamus Power,86,70.06,5605,80
19,T20,,Daniel Berger,91,70.07,6026,86
20,T20,,Ian Poulter,72,70.07,4765,68
21,22,,Luke List,102,70.08,6868,98
22,23,,Russell Henley,99,70.09,6799,97
23,24,,Xander Schauffele,96,70.1,6449,92
24,25,,Charles Howell III,86,70.11,5749,82
25,T26,,Stewart Cink,93,70.13,6522,93
26,T26,,Francesco Molinari,75,70.13,5049,72
27,28,,Rory McIlroy,51,70.15,3367,48
28,29,,Lucas Glover,93,70.16,6314,90
29,30,,Bill Haas,92,70.18,5965,85
30,31,,Pat Perez,93,70.24,6322,90
31,32,,Brooks Koepka,88,70.25,5620,80
32,33,,Keegan Bradley,104,70.26,7167,102
33,34,,Brian Harman,104,70.27,7027,100
34,T35,,Robert Garrigus,78,70.28,5060,72
35,T35,,Rory Sabbatini,71,70.28,4568,65
36,T37,,Jamie Lovemark,98,70.29,6748,96
37,T37,,Kevin Na,86,70.29,5764,82
38,39,,Kevin Kisner,105,70.32,6891,98
39,T40,,Bud Cauley,92,70.33,6189,88
40,T40,,Brian Gay,82,70.33,5486,78
41,42,,Graham DeLaet,82,70.38,5349,76
42,43,,Phil Mickelson,85,70.39,5631,80
43,44,,Jason Dufner,89,70.41,5774,82
44,45,,Jason Day,71,70.42,4648,66
45,46,,Charley Hoffman,112,70.43,7606,108
46,47,,Martin Flores,88,70.44,5706,81
47,48,,Ollie Schniederjans,92,70.45,6129,87
48,T49,,Andres Gonzales,73,70.48,4863,69
49,T49,,Gary Woodland,94,70.48,6273,89
50,51,,Ryan Blaum,100,70.5,6768,96
