,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,,Justin Thomas,86,25.88,368,1422,40
1,2,,Jordan Spieth,85,25.5,358,1404,4
2,3,,Hideki Matsuyama,83,24.71,338,1368,14
3,4,,Rickie Fowler,78,24.2,331,1368,50
4,5,,Brooks Koepka,88,24.1,347,1440,169
5,6,,Jason Day,71,23.99,285,1188,133
6,7,,Jon Rahm,90,23.56,352,1494,19
7,8,,Justin Rose,66,23.26,268,1152,24
8,9,,Luke List,102,23.19,409,1764,15
9,10,,Tony Finau,106,23.02,431,1872,17
10,11,,Scott Piercy,70,22.97,277,1206,57
11,12,,Dustin Johnson,77,22.86,288,1260,9
12,13,,Brandt Snedeker,53,22.78,205,900,80
13,14,,Anirban Lahiri,72,22.61,293,1296,148
14,15,,Robert Garrigus,78,22.53,292,1296,10
15,16,,Charley Hoffman,112,22.43,436,1944,76
16,17,,Phil Mickelson,85,22.29,321,1440,160
17,T18,,Paul Casey,94,22.1,358,1620,5
18,T18,,Grayson Murray,94,22.1,358,1620,135
19,20,,Sam Saunders,76,22.06,278,1260,109
20,T21,,Stewart Cink,93,22.04,369,1674,22
21,T21,,Xander Schauffele,96,22.04,365,1656,28
22,23,,Cameron Smith,86,22.02,325,1476,155
23,T24,,Rory McIlroy,51,21.99,190,864,85
24,T24,,Francesco Molinari,75,21.99,285,1296,45
25,26,,Rory Sabbatini,71,21.97,257,1170,39
26,27,,Daniel Berger,91,21.96,340,1548,52
27,28,,Marc Leishman,94,21.91,355,1620,37
28,29,,Kyle Stanley,104,21.83,393,1800,2
29,30,,Trey Mullinax,88,21.82,322,1476,71
30,31,,Brendan Steele,89,21.76,329,1512,42
31,32,,Tom Hoge,54,21.74,180,828,80
32,33,,Russell Henley,99,21.71,379,1746,41
33,34,,Jason Dufner,89,21.68,320,1476,46
34,35,,Kevin Na,86,21.61,319,1476,104
35,36,,J.T. Poston,95,21.58,338,1566,94
36,37,,Keegan Bradley,104,21.57,396,1836,18
37,38,,Ollie Schniederjans,92,21.46,336,1566,83
38,39,,Camilo Villegas,76,21.45,278,1296,177
39,40,,Shane Lowry,52,21.43,189,882,32
40,T41,,Patrick Cantlay,52,21.41,185,864,13
41,T41,,Jamie Lovemark,98,21.41,370,1728,85
42,43,,Tag Ridings,67,21.37,227,1062,87
43,44,,Adam Scott,58,21.36,223,1044,56
44,45,,J.B. Holmes,83,21.35,292,1368,171
45,46,,Blayne Barber,77,21.28,272,1278,31
46,47,,Seamus Power,86,21.25,306,1440,98
47,48,,Kevin Chappell,95,21.23,344,1620,113
48,49,,Danny Lee,93,21.22,340,1602,77
49,50,,Brandon Hagy,85,21.21,294,1386,126
50,51,,Pat Perez,93,21.17,343,1620,82
51,T52,,Sung Kang,104,21.13,388,1836,79
52,T52,,Graeme McDowell,56,21.13,213,1008,167
53,54,,Sergio Garcia,65,21.06,235,1116,8
54,55,,Andres Gonzales,73,21.01,261,1242,29
55,T56,,Lucas Glover,93,20.99,340,1620,3
56,T56,,Webb Simpson,102,20.99,374,1782,107
57,58,,Matt Every,76,20.95,264,1260,184
58,59,,Chez Reavie,98,20.94,358,1710,54
59,60,,Gary Woodland,94,20.91,335,1602,12
60,61,,Chris Stroud,67,20.9,222,1062,72
61,T62,,Brian Harman,104,20.89,376,1800,151
62,T62,,Patrick Reed,107,20.89,376,1800,172
63,64,,Russell Knox,75,20.87,263,1260,66
64,T65,,Graham DeLaet,82,20.83,285,1368,21
65,T65,,Kevin Tway,96,20.83,330,1584,119
66,T67,,Derek Fathauer,81,20.81,281,1350,162
67,T67,,David Lingmerth,79,20.81,281,1350,161
68,69,,Hudson Swafford,94,20.8,337,1620,23
69,T70,,Sebastián Muñoz,51,20.75,183,882,152
70,T70,,Seung-Yul Noh,91,20.75,325,1566,101
71,72,,Smylie Kaufman,76,20.74,265,1278,107
72,73,,Vaughn Taylor,90,20.7,313,1512,62
73,74,,Chris Kirk,89,20.68,309,1494,61
74,75,,Jason Kokrak,95,20.64,353,1710,51
75,T76,,Cody Gribble,79,20.63,286,1386,164
76,T76,,Emiliano Grillo,90,20.63,323,1566,48
77,78,,Matt Kuchar,95,20.59,341,1656,64
78,79,,Charl Schwartzel,63,20.56,222,1080,179
79,80,,Ben Martin,86,20.53,292,1422,64
80,81,,Adam Hadwin,98,20.52,362,1764,116
81,82,,Sean O'Hair,84,20.5,310,1512,74
82,83,,Michael Kim,94,20.49,332,1620,95
83,84,,Bud Cauley,92,20.45,324,1584,37
84,T85,,Ryan Blaum,100,20.37,352,1728,106
85,T85,,Harold Varner III,101,20.37,363,1782,30
86,T87,,Bryson DeChambeau,91,20.35,326,1602,92
87,T87,,Kevin Kisner,105,20.35,359,1764,68
88,89,,Jhonattan Vegas,95,20.31,329,1620,87
89,90,,Brad Fritsch,56,20.3,190,936,130
90,91,,Ryan Brehm,83,20.27,281,1386,34
91,T92,,Mackenzie Hughes,106,20.25,379,1872,118
92,T92,,Patton Kizzire,84,20.25,277,1368,147
93,94,,Martin Laird,83,20.21,302,1494,99
94,95,,Ryan Moore,82,20.18,287,1422,113
95,96,,Billy Hurley III,80,20.14,290,1440,142
96,97,,Harris English,84,20.1,275,1368,139
97,98,,Scott Brown,95,20.09,329,1638,129
98,99,,Jonas Blixt,74,20.08,253,1260,180
99,T100,,Matt Jones,64,20.04,202,1008,156
100,T100,,Nicholas Lindheim,58,20.04,202,1008,97
101,102,,J.J. Spaun,92,20.03,310,1548,47
102,103,,Bubba Watson,71,20.02,227,1134,158
103,104,,Dominic Bozzelli,69,20.0,234,1170,175
104,105,,Charles Howell III,86,19.92,294,1476,49
105,T106,,Rick Lamb,54,19.89,179,900,55
106,T106,,Richy Werenski,81,19.89,265,1332,36
107,108,,Zach Johnson,81,19.84,275,1386,131
108,109,,Whee Kim,74,19.83,257,1296,172
109,110,,Morgan Hoffmann,92,19.82,314,1584,144
110,111,,Troy Merritt,82,19.81,271,1368,119
111,112,,Peter Malnati,91,19.74,302,1530,168
112,113,,Brian Campbell,55,19.72,181,918,149
113,114,,Jim Herman,77,19.7,266,1350,26
114,115,,Aaron Baddeley,61,19.69,202,1026,166
115,116,,Cameron Tringale,89,19.68,294,1494,128
116,117,,Byeong Hun An,77,19.6,254,1296,125
117,118,,Jonathan Randolph,68,19.58,222,1134,163
118,119,,Kevin Streelman,90,19.57,310,1584,62
119,120,,Scott Stallings,81,19.55,271,1386,27
120,121,,Ian Poulter,72,19.53,239,1224,127
121,122,,Cameron Percy,71,19.49,228,1170,7
122,123,,Bill Haas,92,19.48,298,1530,43
123,124,,Wesley Bryan,95,19.47,319,1638,183
124,T125,,Rafa Cabrera Bello,63,19.44,210,1080,165
125,T125,,Tim Wilkinson,64,19.44,203,1044,133
126,127,,Nick Taylor,97,19.42,332,1710,75
127,T128,,Martin Flores,88,19.41,283,1458,1
128,T128,,Boo Weekley,75,19.41,255,1314,20
129,T130,,Julián Etulain,68,19.4,220,1134,59
130,T130,,Fabián Gómez,61,19.4,206,1062,123
131,132,,Robert Streb,98,19.39,328,1692,110
132,133,,Steven Alker,69,19.31,219,1134,111
133,134,,Tyrone Van Aswegen,105,19.3,337,1746,70
134,135,,Jimmy Walker,68,19.23,225,1170,138
135,136,,James Hahn,96,19.21,332,1728,78
136,T137,,Retief Goosen,52,19.2,159,828,136
137,T137,,D.A. Points,68,19.2,235,1224,58
138,T137,,Shawn Stefani,72,19.2,235,1224,35
139,140,,Ryan Armour,63,19.11,203,1062,5
140,T141,,Brian Gay,82,19.09,268,1404,145
141,T141,,Daniel Summerhays,100,19.09,323,1692,158
142,143,,Chad Campbell,97,19.07,333,1746,16
143,144,,Ricky Barnes,100,19.02,315,1656,145
144,145,,Miguel Angel Carballo,63,19.01,195,1026,115
145,146,,Nick Watney,75,19.0,236,1242,68
146,147,,Billy Horschel,88,18.99,294,1548,24
147,148,,Kelly Kraft,75,18.94,242,1278,152
148,149,,John Huh,92,18.88,299,1584,91
149,150,,Mark Anderson,54,18.8,176,936,100
150,151,,Brett Stegmaier,78,18.79,257,1368,60
151,T152,,Ben Crane,86,18.78,267,1422,95
152,T152,,Johnson Wagner,71,18.78,213,1134,52
153,154,,Louis Oosthuizen,69,18.73,209,1116,112
154,T155,,Søren Kjeldsen,58,18.71,165,882,174
155,T155,,Brian Stuard,93,18.71,293,1566,143
156,157,,Brett Drewitt,57,18.66,178,954,117
157,158,,Gonzalo Fernandez-Castaño,63,18.65,188,1008,170
158,159,,Zac Blair,105,18.63,332,1782,122
159,160,,Ryo Ishikawa,56,18.55,187,1008,149
160,161,,Greg Chalmers,75,18.54,237,1278,185
161,162,,David Hearn,93,18.43,282,1530,119
162,163,,William McGirt,89,18.41,275,1494,44
163,164,,Patrick Rodgers,76,18.39,245,1332,90
164,165,,Carl Pettersson,63,18.27,194,1062,188
165,166,,Branden Grace,70,18.25,207,1134,72
166,167,,Hunter Mahan,73,18.08,231,1278,124
167,168,,Ryan Palmer,61,18.03,172,954,89
168,T169,,Chad Collins,66,17.92,200,1116,182
169,T169,,Ken Duke,77,17.92,229,1278,140
170,171,,Michael Thompson,60,17.86,180,1008,140
171,172,,Andrew Loupe,55,17.84,167,936,186
172,173,,C.T. Pan,88,17.83,276,1548,32
173,174,,Luke Donald,50,17.82,154,864,176
174,175,,Geoff Ogilvy,80,17.75,230,1296,103
175,176,,K.J. Choi,72,17.59,209,1188,157
176,177,,Si Woo Kim,80,17.56,237,1350,187
177,T178,,Mark Hubbard,81,17.49,233,1332,105
178,T178,,Steve Wheatcroft,51,17.49,148,846,181
179,180,,Rod Pampling,71,17.45,223,1278,132
180,181,,Bryce Molder,74,17.42,232,1332,178
181,182,,Spencer Levin,89,17.39,266,1530,102
182,183,,Alex Cejka,85,17.24,239,1386,67
183,184,,Jim Furyk,54,17.21,158,918,93
184,185,,J.J. Henry,92,17.05,264,1548,11
185,186,,Kyle Reifers,96,16.79,266,1584,84
186,187,,Roberto Castro,70,16.75,205,1224,136
187,188,,Ernie Els,52,16.13,151,936,189
188,189,,Jason Bohn,75,15.57,199,1278,152
189,190,,Steven Bowditch,59,13.43,133,990,190
