,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,,Jordan Spieth,85,4.49,350,78
1,2,,Justin Thomas,86,4.48,354,79
2,3,,Hideki Matsuyama,83,4.29,326,76
3,4,,Rickie Fowler,78,4.28,325,76
4,5,,Brooks Koepka,88,4.2,336,80
5,6,,Jason Day,71,4.15,274,66
6,7,,Jon Rahm,90,4.11,341,83
7,8,,Justin Rose,66,4.09,262,64
8,T9,,Scott Piercy,70,4.06,272,67
9,T9,,Brandt Snedeker,53,4.06,203,50
10,T11,,Tony Finau,106,3.99,415,104
11,T11,,Dustin Johnson,77,3.99,279,70
12,T11,,Luke List,102,3.99,391,98
13,T14,,Robert Garrigus,78,3.96,285,72
14,T14,,Anirban Lahiri,72,3.96,285,72
15,16,,Sam Saunders,76,3.93,275,70
16,17,,Charley Hoffman,112,3.92,423,108
17,18,,Grayson Murray,94,3.89,350,90
18,19,,Paul Casey,94,3.87,348,90
19,T20,,Stewart Cink,93,3.86,359,93
20,T20,,Phil Mickelson,85,3.86,309,80
21,T20,,Francesco Molinari,75,3.86,278,72
22,T20,,Xander Schauffele,96,3.86,355,92
23,T24,,Daniel Berger,91,3.85,331,86
24,T24,,Russell Henley,99,3.85,373,97
25,T24,,Tom Hoge,54,3.85,177,46
26,T24,,Rory McIlroy,51,3.85,185,48
27,28,,Trey Mullinax,88,3.84,315,82
28,T29,,J.T. Poston,95,3.83,333,87
29,T29,,Rory Sabbatini,71,3.83,249,65
30,31,,Cameron Smith,86,3.82,313,82
31,T32,,Marc Leishman,94,3.81,343,90
32,T32,,Brendan Steele,89,3.81,320,84
33,T34,,Shane Lowry,52,3.8,186,49
34,T34,,Kevin Na,86,3.8,312,82
35,T34,,Kyle Stanley,104,3.8,380,100
36,T37,,Danny Lee,93,3.79,337,89
37,T37,,Ollie Schniederjans,92,3.79,330,87
38,T37,,Camilo Villegas,76,3.79,273,72
39,T40,,Jason Dufner,89,3.78,310,82
40,T40,,Adam Scott,58,3.78,219,58
41,42,,Blayne Barber,77,3.77,268,71
42,T43,,Keegan Bradley,104,3.75,383,102
43,T43,,Patrick Reed,107,3.75,375,100
44,45,,Seamus Power,86,3.74,299,80
45,T46,,Patrick Cantlay,52,3.73,179,48
46,T46,,Graeme McDowell,56,3.73,209,56
47,T46,,Tag Ridings,67,3.73,220,59
48,T46,,Chris Stroud,67,3.73,220,59
49,T50,,Jamie Lovemark,98,3.72,357,96
50,T50,,Pat Perez,93,3.72,335,90
51,T52,,J.B. Holmes,83,3.71,282,76
52,T52,,Russell Knox,75,3.71,260,70
53,T54,,Lucas Glover,93,3.7,333,90
54,T54,,Sung Kang,104,3.7,377,102
55,T56,,Kevin Chappell,95,3.69,332,90
56,T56,,Chris Kirk,89,3.69,306,83
57,T56,,Hudson Swafford,94,3.69,332,90
58,T56,,Vaughn Taylor,90,3.69,310,84
59,T56,,Gary Woodland,94,3.69,328,89
60,T61,,Derek Fathauer,81,3.68,276,75
61,T61,,Webb Simpson,102,3.68,364,99
62,T63,,Brian Harman,104,3.67,367,100
63,T63,,David Lingmerth,79,3.67,275,75
64,T63,,Sebastián Muñoz,51,3.67,180,49
65,T63,,Chez Reavie,98,3.67,349,95
66,T67,,Sergio Garcia,65,3.66,227,62
67,T67,,Brandon Hagy,85,3.66,282,77
68,T67,,Michael Kim,94,3.66,329,90
69,T67,,Ben Martin,86,3.66,289,79
70,T71,,Ryan Blaum,100,3.65,350,96
71,T71,,Andres Gonzales,73,3.65,252,69
72,T71,,Smylie Kaufman,76,3.65,259,71
73,T71,,Jason Kokrak,95,3.65,347,95
74,T75,,Matt Every,76,3.64,255,70
75,T75,,Cody Gribble,79,3.64,280,77
76,T75,,Seung-Yul Noh,91,3.64,317,87
77,T75,,Kevin Tway,96,3.64,320,88
78,T79,,Emiliano Grillo,90,3.63,316,87
79,T79,,Adam Hadwin,98,3.63,356,98
80,T81,,Graham DeLaet,82,3.62,275,76
81,T81,,Matt Kuchar,95,3.62,333,92
82,T81,,Charl Schwartzel,63,3.62,217,60
83,84,,Bryson DeChambeau,91,3.61,321,89
84,T85,,Brad Fritsch,56,3.6,187,52
85,T85,,Mackenzie Hughes,106,3.6,374,104
86,T85,,Kevin Kisner,105,3.6,353,98
87,T85,,Sean O'Hair,84,3.6,302,84
88,T85,,Jhonattan Vegas,95,3.6,324,90
89,T90,,Bud Cauley,92,3.59,316,88
90,T90,,Harris English,84,3.59,273,76
91,T90,,Patton Kizzire,84,3.59,273,76
92,T93,,Billy Hurley III,80,3.58,286,80
93,T93,,Harold Varner III,101,3.58,354,99
94,95,,Dominic Bozzelli,69,3.57,232,65
95,96,,Scott Brown,95,3.56,324,91
96,97,,Matt Jones,64,3.55,199,56
97,T98,,Nicholas Lindheim,58,3.54,198,56
98,T98,,Ryan Moore,82,3.54,280,79
99,T100,,Ryan Brehm,83,3.53,272,77
100,T100,,Zach Johnson,81,3.53,272,77
101,T102,,Charles Howell III,86,3.51,288,82
102,T102,,Troy Merritt,82,3.51,267,76
103,T102,,Richy Werenski,81,3.51,260,74
104,105,,J.J. Spaun,92,3.5,301,86
105,T106,,Aaron Baddeley,61,3.49,199,57
106,T106,,Jonas Blixt,74,3.49,244,70
107,T106,,Brian Campbell,55,3.49,178,51
108,T106,,Peter Malnati,91,3.49,297,85
109,T106,,Bubba Watson,71,3.49,220,63
110,111,,Rafa Cabrera Bello,63,3.48,209,60
111,T112,,Bill Haas,92,3.47,295,85
112,T112,,Jim Herman,77,3.47,260,75
113,T112,,Morgan Hoffmann,92,3.47,305,88
114,T112,,Martin Laird,83,3.47,288,83
115,T112,,Cameron Tringale,89,3.47,288,83
116,T117,,Whee Kim,74,3.46,249,72
117,T117,,Rick Lamb,54,3.46,173,50
118,T117,,Ian Poulter,72,3.46,235,68
119,T117,,Jonathan Randolph,68,3.46,218,63
120,121,,Robert Streb,98,3.45,324,94
121,T122,,Byeong Hun An,77,3.44,248,72
122,T122,,Kevin Streelman,90,3.44,303,88
123,T124,,Steven Alker,69,3.43,216,63
124,T124,,Julián Etulain,68,3.43,216,63
125,T124,,Tyrone Van Aswegen,105,3.43,333,97
126,T127,,Fabián Gómez,61,3.42,202,59
127,T127,,Cameron Percy,71,3.42,222,65
128,129,,Tim Wilkinson,64,3.41,198,58
129,T130,,Wesley Bryan,95,3.4,309,91
130,T130,,Scott Stallings,81,3.4,262,77
131,T130,,Jimmy Walker,68,3.4,221,65
132,T133,,Retief Goosen,52,3.39,156,46
133,T133,,James Hahn,96,3.39,325,96
134,T133,,Nick Taylor,97,3.39,322,95
135,T136,,Billy Horschel,88,3.38,291,86
136,T136,,Boo Weekley,75,3.38,247,73
137,T138,,Martin Flores,88,3.37,273,81
138,T138,,Brian Gay,82,3.37,263,78
139,140,,Chad Campbell,97,3.36,326,97
140,T141,,Søren Kjeldsen,58,3.35,164,49
141,T141,,Kelly Kraft,75,3.35,238,71
142,T141,,D.A. Points,68,3.35,228,68
143,T144,,Ryan Armour,63,3.34,197,59
144,T144,,Ricky Barnes,100,3.34,307,92
145,T144,,John Huh,92,3.34,294,88
146,T144,,Brian Stuard,93,3.34,291,87
147,T144,,Daniel Summerhays,100,3.34,314,94
148,149,,Ben Crane,86,3.33,263,79
149,T150,,Brett Drewitt,57,3.32,176,53
150,T150,,Nick Watney,75,3.32,229,69
151,T152,,Mark Anderson,54,3.31,172,52
152,T152,,Shawn Stefani,72,3.31,225,68
153,T154,,Patrick Rodgers,76,3.3,244,74
154,T154,,Johnson Wagner,71,3.3,208,63
155,T156,,Zac Blair,105,3.29,326,99
156,T156,,Ryo Ishikawa,56,3.29,184,56
157,T158,,Greg Chalmers,75,3.28,233,71
158,T158,,David Hearn,93,3.28,279,85
159,T158,,Brett Stegmaier,78,3.28,249,76
160,161,,Gonzalo Fernandez-Castaño,63,3.27,183,56
161,T162,,Miguel Angel Carballo,63,3.26,186,57
162,T162,,Louis Oosthuizen,69,3.26,202,62
163,164,,William McGirt,89,3.23,268,83
164,165,,Branden Grace,70,3.21,202,63
165,166,,Ryan Palmer,61,3.19,169,53
166,167,,Carl Pettersson,63,3.17,187,59
167,168,,C.T. Pan,88,3.16,272,86
168,T169,,K.J. Choi,72,3.15,208,66
169,T169,,Ken Duke,77,3.15,224,71
170,T171,,Hunter Mahan,73,3.14,223,71
171,T171,,Geoff Ogilvy,80,3.14,226,72
172,T173,,Chad Collins,66,3.13,194,62
173,T173,,Luke Donald,50,3.13,150,48
174,T175,,Si Woo Kim,80,3.11,233,75
175,T175,,Bryce Molder,74,3.11,230,74
176,T175,,Michael Thompson,60,3.11,174,56
177,178,,Rod Pampling,71,3.1,220,71
178,179,,Steve Wheatcroft,51,3.09,145,47
179,180,,Spencer Levin,89,3.07,261,85
180,181,,Alex Cejka,85,3.05,235,77
181,T182,,Mark Hubbard,81,3.04,225,74
182,T182,,Andrew Loupe,55,3.04,158,52
183,184,,Jim Furyk,54,3.02,154,51
184,185,,J.J. Henry,92,2.98,256,86
185,186,,Roberto Castro,70,2.96,201,68
186,187,,Kyle Reifers,96,2.9,255,88
187,188,,Ernie Els,52,2.79,145,52
188,189,,Jason Bohn,75,2.76,196,71
189,190,,Steven Bowditch,59,2.38,131,55
