,Par_5_Eagle_Leaders_RANK THIS WEEK,Par_5_Eagle_Leaders_RANK LAST WEEK,Par_5_Eagle_Leaders_PLAYER NAME,Par_5_Eagle_Leaders_ROUNDS,Par_5_Eagle_Leaders_TOTAL,Par_5_Eagle_Leaders_TOTAL PAR 5 HOLES,Par_5_Eagle_Leaders_TOTAL HOLE OUTS
0,1,,Tony Finau,106,14,322,
1,2,,Kyle Stanley,104,13,290,2.0
2,T3,,Brandon Hagy,85,11,238,1.0
3,T3,,Martin Laird,83,11,272,2.0
4,T3,,Luke List,102,11,314,4.0
5,T3,,Jamie Lovemark,98,11,302,
6,T7,,Keegan Bradley,104,10,322,1.0
7,T7,,Kevin Chappell,95,10,296,3.0
8,T7,,Stewart Cink,93,10,296,
9,T7,,Jason Day,71,10,204,3.0
10,T7,,Charley Hoffman,112,10,346,1.0
11,T7,,Sung Kang,104,10,310,1.0
12,T7,,Brooks Koepka,88,10,242,1.0
13,T7,,Phil Mickelson,85,10,254,3.0
14,T7,,Jon Rahm,90,10,264,2.0
15,T7,,Cameron Smith,86,10,272,2.0
16,T7,,Justin Thomas,86,10,246,
17,T18,,Jonas Blixt,74,9,218,3.0
18,T18,,Miguel Angel Carballo,63,9,186,1.0
19,T18,,Hideki Matsuyama,83,9,246,1.0
20,T18,,Webb Simpson,102,9,294,2.0
21,T18,,Kevin Tway,96,9,272,1.0
22,T23,,Wesley Bryan,95,8,272,
23,T23,,Bud Cauley,92,8,266,2.0
24,T23,,Jason Dufner,89,8,244,1.0
25,T23,,Martin Flores,88,8,248,1.0
26,T23,,J.J. Henry,92,8,264,1.0
27,T23,,Dustin Johnson,77,8,220,
28,T23,,Anirban Lahiri,72,8,214,1.0
29,T23,,Seung-Yul Noh,91,8,278,2.0
30,T23,,Chez Reavie,98,8,298,3.0
31,T23,,Kyle Reifers,96,8,283,1.0
32,T23,,Rory Sabbatini,71,8,196,1.0
33,T23,,J.J. Spaun,92,8,268,
34,T23,,Shawn Stefani,72,8,208,2.0
35,T23,,Nick Taylor,97,8,300,3.0
36,T37,,Ricky Barnes,100,7,292,
37,T37,,Daniel Berger,91,7,262,1.0
38,T37,,Ryan Brehm,83,7,234,2.0
39,T37,,Paul Casey,94,7,280,
40,T37,,Graham DeLaet,82,7,238,1.0
41,T37,,Robert Garrigus,78,7,228,2.0
42,T37,,Brian Harman,104,7,308,2.0
43,T37,,J.B. Holmes,83,7,240,
44,T37,,Marc Leishman,94,7,258,3.0
45,T37,,Andrew Loupe,55,7,164,1.0
46,T37,,Sean O'Hair,84,7,259,3.0
47,T37,,Louis Oosthuizen,69,7,192,1.0
48,T37,,Xander Schauffele,96,7,264,
49,T37,,Scott Stallings,81,7,226,2.0
50,T37,,Daniel Summerhays,100,7,296,2.0
51,T37,,Nick Watney,75,7,204,1.0
52,T37,,Bubba Watson,71,7,199,
53,T54,,Ryan Armour,63,6,188,3.0
54,T54,,Chad Campbell,97,6,292,4.0
