,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,,Rory McIlroy,51,28.3,15,53
1,2,,Jordan Spieth,85,26.36,29,110
2,3,,Kevin Na,86,25.89,29,112
3,4,,Aaron Baddeley,61,25.88,22,85
4,5,,Søren Kjeldsen,58,25.53,12,47
5,6,,Cody Gribble,79,24.06,32,133
6,7,,Dustin Johnson,77,22.73,25,110
7,8,,Luke List,102,21.79,34,156
8,9,,Patrick Cantlay,52,21.54,14,65
9,10,,Justin Thomas,86,21.26,27,127
10,11,,J.B. Holmes,83,21.01,29,138
11,12,,J.T. Poston,95,20.49,25,122
12,13,,Andres Gonzales,73,20.39,21,103
13,14,,Tag Ridings,67,20.37,22,108
14,15,,Brad Fritsch,56,20.31,13,64
15,16,,Jason Kokrak,95,20.14,29,144
16,17,,Bubba Watson,71,20.0,18,90
17,18,,Ryan Brehm,83,19.88,33,166
18,19,,David Lingmerth,79,19.83,24,121
19,20,,Charl Schwartzel,63,19.81,21,106
20,21,,Brandt Snedeker,53,19.7,13,66
21,22,,Jon Rahm,90,19.64,22,112
22,23,,Seamus Power,86,19.63,32,163
23,24,,Grayson Murray,94,19.62,31,158
24,25,,Anirban Lahiri,72,19.54,17,87
25,26,,Kevin Kisner,105,19.27,21,109
26,27,,Robert Streb,98,19.19,33,172
27,T28,,Branden Grace,70,18.99,15,79
28,T28,,Sung Kang,104,18.99,30,158
29,T28,,Chris Stroud,67,18.99,15,79
30,31,,Paul Casey,94,18.87,20,106
31,32,,Justin Rose,66,18.75,18,96
32,33,,Jamie Lovemark,98,18.71,26,139
33,T34,,Tom Hoge,54,18.67,14,75
34,T34,,Patrick Reed,107,18.67,31,166
35,36,,Ricky Barnes,100,18.56,31,167
36,37,,Brooks Koepka,88,18.49,22,119
37,38,,Morgan Hoffmann,92,18.46,24,130
38,39,,William McGirt,89,18.31,13,71
39,40,,Brandon Hagy,85,18.24,29,159
40,41,,Brian Campbell,55,18.18,12,66
41,42,,Roberto Castro,70,18.06,13,72
42,T43,,James Hahn,96,18.03,22,122
43,T43,,Webb Simpson,102,18.03,22,122
44,45,,Stewart Cink,93,18.01,29,161
45,46,,Matt Jones,64,17.89,17,95
46,47,,K.J. Choi,72,17.86,15,84
47,48,,Charles Howell III,86,17.7,20,113
48,49,,Sean O'Hair,84,17.56,23,131
49,50,,Mark Anderson,54,17.5,14,80
50,51,,Chad Collins,66,17.43,19,109
51,T52,,Shane Lowry,52,17.39,8,46
52,T52,,Sebastián Muñoz,51,17.39,16,92
53,54,,Seung-Yul Noh,91,17.37,29,167
54,55,,Byeong Hun An,77,17.35,17,98
55,56,,Sergio Garcia,65,17.28,14,81
56,57,,Charley Hoffman,112,17.27,24,139
57,58,,Martin Flores,88,17.22,26,151
58,59,,Mark Hubbard,81,17.12,19,111
59,60,,Jim Herman,77,16.96,19,112
60,T61,,Daniel Berger,91,16.67,14,84
61,T61,,John Huh,92,16.67,23,138
62,63,,Camilo Villegas,76,16.55,23,139
63,64,,Rickie Fowler,78,16.48,15,91
64,65,,Fabián Gómez,61,16.39,10,61
65,66,,Hudson Swafford,94,16.31,23,141
66,67,,Bill Haas,92,16.28,21,129
67,68,,Harris English,84,16.27,27,166
68,69,,Smylie Kaufman,76,16.06,22,137
69,T70,,Chez Reavie,98,15.84,16,101
70,T70,,Johnson Wagner,71,15.84,16,101
71,72,,Xander Schauffele,96,15.79,18,114
72,73,,Cameron Smith,86,15.75,20,127
73,74,,Zac Blair,105,15.74,17,108
74,75,,Boo Weekley,75,15.73,14,89
75,76,,Jhonattan Vegas,95,15.71,22,140
76,77,,Hideki Matsuyama,83,15.66,13,83
77,78,,Gary Woodland,94,15.57,19,122
78,T79,,Hunter Mahan,73,15.56,14,90
79,T79,,Brett Stegmaier,78,15.56,14,90
80,81,,Rory Sabbatini,71,15.49,11,71
81,T82,,David Hearn,93,15.38,12,78
82,T82,,Brendan Steele,89,15.38,16,104
83,T82,,Vaughn Taylor,90,15.38,16,104
84,85,,Troy Merritt,82,15.31,15,98
85,86,,Jimmy Walker,68,15.28,11,72
86,87,,Peter Malnati,91,15.24,16,105
87,T88,,Whee Kim,74,15.2,19,125
88,T88,,Phil Mickelson,85,15.2,26,171
89,90,,Geoff Ogilvy,80,15.09,16,106
90,91,,C.T. Pan,88,15.07,22,146
91,T92,,Robert Garrigus,78,15.04,17,113
92,T92,,J.J. Henry,92,15.04,20,133
93,94,,Kevin Chappell,95,15.0,18,120
94,95,,Marc Leishman,94,14.89,14,94
95,96,,Rod Pampling,71,14.81,12,81
96,T97,,Graham DeLaet,82,14.68,16,109
97,T97,,Pat Perez,93,14.68,16,109
98,99,,Sam Saunders,76,14.67,11,75
99,100,,Cameron Tringale,89,14.49,20,138
100,101,,Billy Hurley III,80,14.47,23,159
101,102,,Tony Finau,106,14.46,24,166
102,103,,Trey Mullinax,88,14.38,23,160
103,T104,,Jason Bohn,75,14.29,14,98
104,T104,,Ryo Ishikawa,56,14.29,12,84
105,106,,Patrick Rodgers,76,14.19,21,148
106,107,,Michael Kim,94,14.18,19,134
107,108,,Ollie Schniederjans,92,14.14,28,198
108,109,,Scott Stallings,81,14.09,21,149
109,110,,J.J. Spaun,92,14.0,14,100
110,T111,,Ian Poulter,72,13.75,11,80
111,T111,,Jonathan Randolph,68,13.75,11,80
112,113,,Jason Day,71,13.73,14,102
113,114,,Ben Crane,86,13.68,13,95
114,T115,,Steven Alker,69,13.64,9,66
115,T115,,Scott Brown,95,13.64,18,132
116,T115,,Rick Lamb,54,13.64,9,66
117,118,,Jason Dufner,89,13.56,16,118
118,119,,Kyle Stanley,104,13.51,15,111
119,T120,,Brett Drewitt,57,13.41,11,82
120,T120,,Tim Wilkinson,64,13.41,11,82
121,122,,Chad Campbell,97,13.33,20,150
122,123,,Derek Fathauer,81,13.28,17,128
123,124,,Bud Cauley,92,13.14,18,137
124,T125,,Cameron Percy,71,13.13,13,99
125,T125,,Kevin Tway,96,13.13,21,160
126,127,,Blayne Barber,77,13.04,15,115
127,128,,Dominic Bozzelli,69,12.94,11,85
128,129,,Si Woo Kim,80,12.87,13,101
129,130,,Mackenzie Hughes,106,12.8,21,164
130,131,,Zach Johnson,81,12.75,13,102
131,T132,,Ryan Armour,63,12.7,8,63
132,T132,,Daniel Summerhays,100,12.7,16,126
133,T132,,Nick Watney,75,12.7,16,126
134,135,,Gonzalo Fernandez-Castaño,63,12.63,12,95
135,T136,,Keegan Bradley,104,12.5,16,128
136,T136,,Rafa Cabrera Bello,63,12.5,8,64
137,T136,,Andrew Loupe,55,12.5,12,96
138,T136,,Ben Martin,86,12.5,13,104
139,140,,Matt Every,76,12.42,19,153
140,141,,Danny Lee,93,12.31,16,130
141,142,,Adam Hadwin,98,12.3,15,122
142,143,,Alex Cejka,85,12.26,13,106
