,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,,Luke List,102,18
1,2,,Tony Finau,106,16
2,T3,,Martin Laird,83,14
3,T3,,Justin Thomas,86,14
4,T5,,Keegan Bradley,104,13
5,T5,,Charley Hoffman,112,13
6,T5,,Jamie Lovemark,98,13
7,T5,,Kyle Stanley,104,13
8,T9,,Kevin Chappell,95,12
9,T9,,Brandon Hagy,85,12
10,T9,,Marc Leishman,94,12
11,T9,,Hideki Matsuyama,83,12
12,T9,,Phil Mickelson,85,12
13,T9,,Cameron Smith,86,12
14,T15,,Jason Day,71,11
15,T15,,Sung Kang,104,11
16,T15,,Brooks Koepka,88,11
17,T15,,Jon Rahm,90,11
18,T15,,Kyle Reifers,96,11
19,T20,,Wesley Bryan,95,10
20,T20,,Paul Casey,94,10
21,T20,,Stewart Cink,93,10
22,T20,,Graham DeLaet,82,10
23,T20,,Jason Dufner,89,10
24,T20,,Martin Flores,88,10
25,T20,,J.B. Holmes,83,10
26,T20,,Xander Schauffele,96,10
27,T20,,Webb Simpson,102,10
28,T20,,Shawn Stefani,72,10
29,T20,,Nick Taylor,97,10
30,T20,,Kevin Tway,96,10
31,T32,,Daniel Berger,91,9
32,T32,,Jonas Blixt,74,9
33,T32,,Ryan Brehm,83,9
34,T32,,Miguel Angel Carballo,63,9
35,T32,,Matt Every,76,9
36,T32,,Andres Gonzales,73,9
37,T32,,Brian Harman,104,9
38,T32,,Morgan Hoffmann,92,9
39,T32,,Dustin Johnson,77,9
40,T32,,Andrew Loupe,55,9
41,T32,,Chez Reavie,98,9
42,T32,,J.J. Spaun,92,9
43,T32,,Scott Stallings,81,9
44,T32,,Brendan Steele,89,9
45,T32,,Daniel Summerhays,100,9
46,T32,,Harold Varner III,101,9
47,T48,,Ricky Barnes,100,8
48,T48,,Bud Cauley,92,8
49,T48,,Sergio Garcia,65,8
50,T48,,J.J. Henry,92,8
51,T48,,Mark Hubbard,81,8
52,T48,,Whee Kim,74,8
53,T48,,Matt Kuchar,95,8
54,T48,,Anirban Lahiri,72,8
55,T48,,Hunter Mahan,73,8
56,T48,,Grayson Murray,94,8
57,T48,,Seung-Yul Noh,91,8
58,T48,,Sean O'Hair,84,8
59,T48,,Pat Perez,93,8
60,T48,,Rory Sabbatini,71,8
61,T48,,Jordan Spieth,85,8
62,T48,,Brett Stegmaier,78,8
63,T48,,Boo Weekley,75,8
64,T65,,Chad Campbell,97,7
65,T65,,Robert Garrigus,78,7
66,T65,,Lucas Glover,93,7
67,T65,,Emiliano Grillo,90,7
68,T65,,James Hahn,96,7
69,T65,,William McGirt,89,7
