,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,,Jordan Spieth,85,12.89,181,1404
1,2,,Chad Campbell,97,13.06,228,1746
2,3,,Paul Casey,94,13.09,212,1620
3,4,,Dustin Johnson,77,13.49,170,1260
4,5,,Chez Reavie,98,13.74,235,1710
5,6,,Patrick Cantlay,52,13.77,119,864
6,7,,Ian Poulter,72,13.89,170,1224
7,8,,Matt Kuchar,95,13.95,231,1656
8,9,,Charles Howell III,86,14.02,207,1476
9,10,,Lucas Glover,93,14.07,228,1620
10,T11,,Rickie Fowler,78,14.25,195,1368
11,T11,,Bill Haas,92,14.25,218,1530
12,13,,Webb Simpson,102,14.31,255,1782
13,14,,Jon Rahm,90,14.32,214,1494
14,15,,Hideki Matsuyama,83,14.33,196,1368
15,16,,Zac Blair,105,14.42,257,1782
16,17,,Sergio Garcia,65,14.52,162,1116
17,18,,Marc Leishman,94,14.57,236,1620
18,19,,Pat Perez,93,14.63,237,1620
19,20,,Martin Flores,88,14.81,216,1458
20,21,,Justin Thomas,86,14.84,211,1422
21,22,,Tony Finau,106,14.85,278,1872
22,23,,Seamus Power,86,14.93,215,1440
23,24,,John Huh,92,14.96,237,1584
24,25,,Ryan Armour,63,14.97,159,1062
25,26,,Brandt Snedeker,53,15.0,135,900
26,27,,Brian Gay,82,15.03,211,1404
27,28,,Louis Oosthuizen,69,15.05,168,1116
28,29,,Brian Harman,104,15.11,272,1800
29,30,,Cameron Percy,71,15.13,177,1170
30,31,,Adam Hadwin,98,15.19,268,1764
31,32,,Francesco Molinari,75,15.2,197,1296
32,33,,Richy Werenski,81,15.24,203,1332
33,34,,Daniel Berger,91,15.25,236,1548
34,35,,Tim Wilkinson,64,15.42,161,1044
35,36,,Martin Laird,83,15.46,231,1494
