,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,,Jordan Spieth,85,2.11,68.94,71.05
1,2,,Rickie Fowler,78,1.97,69.57,71.54
2,3,,Justin Thomas,86,1.78,69.39,71.17
3,4,,Hideki Matsuyama,83,1.66,69.66,71.32
4,T5,,Paul Casey,94,1.64,69.67,71.31
5,T5,,Dustin Johnson,77,1.64,69.61,71.25
6,7,,Jon Rahm,90,1.61,69.64,71.25
7,8,,Rory McIlroy,51,1.51,70.15,71.66
8,T9,,Marc Leishman,94,1.39,69.66,71.05
9,T9,,Francesco Molinari,75,1.39,70.13,71.52
10,11,,Justin Rose,66,1.38,69.92,71.3
11,12,,Sergio Garcia,65,1.34,69.92,71.26
12,13,,Matt Kuchar,95,1.3,70.04,71.34
13,14,,Patrick Cantlay,52,1.26,70.0,71.26
14,15,,Adam Scott,58,1.21,70.57,71.78
15,16,,Brandt Snedeker,53,1.2,70.02,71.22
16,17,,Brooks Koepka,88,1.18,70.25,71.43
17,18,,Tony Finau,106,1.1,69.86,70.96
18,19,,Jason Day,71,1.03,70.42,71.45
19,T20,,Lucas Glover,93,0.99,70.16,71.15
20,T20,,Phil Mickelson,85,0.99,70.39,71.38
21,T20,,Pat Perez,93,0.99,70.24,71.23
22,23,,Bill Haas,92,0.97,70.18,71.15
23,24,,Ian Poulter,72,0.96,70.07,71.03
24,25,,Daniel Berger,91,0.95,70.07,71.02
25,26,,Stewart Cink,93,0.91,70.13,71.04
26,27,,Webb Simpson,102,0.9,69.96,70.86
27,T28,,Russell Henley,99,0.88,70.09,70.97
28,T28,,Louis Oosthuizen,69,0.88,70.74,71.62
29,30,,Kyle Stanley,104,0.87,69.94,70.81
30,31,,Charley Hoffman,112,0.86,70.43,71.29
31,32,,Chez Reavie,98,0.84,70.0,70.84
32,33,,Charl Schwartzel,63,0.82,70.8,71.62
33,T34,,Shane Lowry,52,0.8,71.08,71.88
34,T34,,Brendan Steele,89,0.8,70.54,71.34
35,36,,Martin Laird,83,0.79,70.54,71.33
36,37,,Luke List,102,0.74,70.08,70.82
37,38,,Kevin Kisner,105,0.73,70.32,71.05
38,39,,Jason Dufner,89,0.72,70.41,71.13
39,40,,Jamie Lovemark,98,0.71,70.29,71.0
40,T41,,Graham DeLaet,82,0.7,70.38,71.08
41,T41,,Patrick Reed,107,0.7,70.62,71.32
42,T43,,Keegan Bradley,104,0.69,70.26,70.95
43,T43,,Xander Schauffele,96,0.69,70.1,70.79
44,45,,Brian Harman,104,0.66,70.27,70.93
45,46,,Zach Johnson,81,0.65,70.65,71.3
46,47,,Kevin Na,86,0.63,70.29,70.92
