,First_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_4_Scoring_Average_AVG,First_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,,Ryan Armour,64.0,64,1
1,2,,Rod Pampling,65.0,65,1
2,3,,Alex Cejka,66.5,133,2
3,4,,Rick Lamb,67.0,134,2
4,5,,Wesley Bryan,67.25,269,4
5,6,,Ryan Blaum,67.33,202,3
6,T7,,Roberto Castro,68.0,68,1
7,T7,,Cody Gribble,68.0,204,3
8,T7,,Mark Hubbard,68.0,68,1
9,T7,,Kelly Kraft,68.0,136,2
10,T7,,Brett Stegmaier,68.0,68,1
11,T7,,Jhonattan Vegas,68.0,408,6
12,13,,Hideki Matsuyama,68.1,681,10
13,14,,Kevin Na,68.17,409,6
14,15,,Justin Thomas,68.33,820,12
15,T16,,Ricky Barnes,68.5,137,2
16,T16,,Steve Wheatcroft,68.5,137,2
17,18,,Xander Schauffele,68.56,617,9
18,19,,Sean O'Hair,68.57,480,7
19,20,,Jon Rahm,68.58,823,12
20,21,,Jordan Spieth,68.64,961,14
21,T22,,Hunter Mahan,68.67,206,3
22,T22,,J.J. Spaun,68.67,206,3
23,24,,Smylie Kaufman,68.75,275,4
24,25,,Charles Howell III,68.89,620,9
25,T26,,Dominic Bozzelli,69.0,207,3
26,T26,,Martin Flores,69.0,276,4
27,T26,,Bryce Molder,69.0,69,1
28,T26,,Trey Mullinax,69.0,207,3
29,T26,,Tag Ridings,69.0,69,1
30,T26,,Tim Wilkinson,69.0,138,2
31,32,,Webb Simpson,69.11,622,9
32,33,,Ian Poulter,69.17,415,6
33,T34,,Matt Every,69.25,277,4
34,T34,,Seung-Yul Noh,69.25,277,4
35,36,,Danny Lee,69.29,485,7
36,37,,Brian Harman,69.36,763,11
37,38,,Rory Sabbatini,69.4,347,5
38,39,,Dustin Johnson,69.45,764,11
39,T40,,Mark Anderson,69.5,139,2
40,T40,,Jim Furyk,69.5,139,2
41,42,,Brooks Koepka,69.58,835,12
42,43,,Bryson DeChambeau,69.6,348,5
43,44,,Marc Leishman,69.62,905,13
44,T45,,Blayne Barber,69.67,209,3
45,T45,,Daniel Berger,69.67,836,12
46,T45,,Chad Collins,69.67,209,3
47,T45,,Cameron Percy,69.67,209,3
48,T45,,Camilo Villegas,69.67,418,6
49,50,,Bill Haas,69.73,767,11
50,T51,,Robert Garrigus,69.75,279,4
51,T51,,Rory McIlroy,69.75,558,8
52,T51,,Hudson Swafford,69.75,558,8
53,54,,Ollie Schniederjans,69.78,628,9
54,T55,,Harris English,69.8,349,5
55,T55,,Troy Merritt,69.8,349,5
56,57,,James Hahn,69.88,559,8
57,T58,,Justin Rose,69.89,629,9
58,T58,,Gary Woodland,69.89,629,9
59,T60,,Rafa Cabrera Bello,70.0,560,8
60,T60,,Brian Campbell,70.0,140,2
61,T60,,Patton Kizzire,70.0,280,4
62,T60,,Brendan Steele,70.0,700,10
63,T60,,Kevin Tway,70.0,280,4
64,65,,Anirban Lahiri,70.11,631,9
65,T66,,Branden Grace,70.14,491,7
66,T66,,Cameron Smith,70.14,491,7
67,T68,,Tony Finau,70.17,842,12
68,T68,,Whee Kim,70.17,421,6
69,T70,,Billy Horschel,70.2,351,5
70,T70,,Francesco Molinari,70.2,702,10
71,T72,,Phil Mickelson,70.22,632,9
72,T72,,Patrick Reed,70.22,632,9
73,74,,Kevin Streelman,70.25,562,8
74,75,,Rickie Fowler,70.27,1054,15
75,T76,,Graham DeLaet,70.29,492,7
76,T76,,Matt Kuchar,70.29,984,14
77,T76,,Pat Perez,70.29,984,14
