,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,T1,,Justin Thomas,67.0,134,2
1,T1,,Bubba Watson,67.0,67,1
2,3,,Marc Leishman,67.6,338,5
3,4,,Ian Poulter,67.67,203,3
4,T5,,Ryan Armour,68.25,273,4
5,T5,,Jordan Spieth,68.25,273,4
6,7,,Paul Casey,68.33,410,6
7,8,,Cameron Tringale,68.43,479,7
8,T9,,Cameron Percy,68.5,137,2
9,T9,,Seamus Power,68.5,411,6
10,T11,,Matt Jones,68.67,206,3
11,T11,,Charl Schwartzel,68.67,206,3
12,13,,Phil Mickelson,68.75,275,4
13,14,,Sam Saunders,68.86,482,7
14,T15,,Graham DeLaet,69.0,276,4
15,T15,,Ernie Els,69.0,138,2
16,T15,,Brandon Hagy,69.0,552,8
17,T15,,Tom Hoge,69.0,207,3
18,T15,,Ollie Schniederjans,69.0,552,8
19,T15,,Scott Stallings,69.0,207,3
20,T21,,Ben Crane,69.33,416,6
21,T21,,Derek Fathauer,69.33,208,3
22,T21,,Ben Martin,69.33,624,9
23,24,,Russell Henley,69.38,555,8
24,25,,Harold Varner III,69.43,486,7
25,26,,Vaughn Taylor,69.44,625,9
26,T27,,Scott Brown,69.5,556,8
27,T27,,Chad Campbell,69.5,556,8
28,T27,,Martin Flores,69.5,278,4
29,T27,,Bill Haas,69.5,139,2
30,T27,,Rod Pampling,69.5,417,6
31,T27,,Richy Werenski,69.5,417,6
32,33,,Lucas Glover,69.57,487,7
33,T34,,Keegan Bradley,69.67,627,9
34,T34,,Rory Sabbatini,69.67,627,9
35,36,,Adam Hadwin,69.71,488,7
36,37,,David Hearn,69.8,349,5
37,38,,Tony Finau,69.92,909,13
38,T39,,Jamie Lovemark,70.0,280,4
39,T39,,J.T. Poston,70.0,560,8
40,T39,,Tag Ridings,70.0,420,6
41,T39,,Justin Rose,70.0,210,3
42,T39,,J.J. Spaun,70.0,210,3
43,T39,,Robert Streb,70.0,560,8
44,T39,,Johnson Wagner,70.0,350,5
45,T46,,Stewart Cink,70.13,561,8
46,T46,,Jason Dufner,70.13,561,8
47,T46,,Kyle Stanley,70.13,561,8
48,49,,Nick Taylor,70.14,491,7
49,50,,C.T. Pan,70.17,421,6
50,51,,Ryan Blaum,70.18,772,11
