,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,,Hideki Matsuyama,83,66.0,66,1
1,T2,,Dustin Johnson,77,67.0,67,1
2,T2,,Jon Rahm,90,67.0,67,1
3,4,,Sergio Garcia,65,67.5,135,2
4,5,,Adam Scott,58,68.25,273,4
5,6,,Louis Oosthuizen,69,68.67,412,6
6,7,,Brandt Snedeker,53,68.8,344,5
7,T8,,Ryan Armour,63,69.0,690,10
8,T8,,Justin Thomas,86,69.0,276,4
9,10,,Seamus Power,86,69.2,1038,15
10,11,,Kevin Kisner,105,69.25,831,12
11,12,,Lucas Glover,93,69.27,762,11
12,13,,Kyle Stanley,104,69.31,901,13
13,14,,Patrick Cantlay,52,69.43,486,7
14,15,,Ollie Schniederjans,92,69.44,1111,16
15,16,,Charles Howell III,86,69.45,764,11
16,T17,,Chez Reavie,98,69.57,1461,21
17,T17,,Steve Wheatcroft,51,69.57,487,7
18,19,,Stewart Cink,93,69.65,1184,17
19,20,,Rory McIlroy,51,69.67,209,3
20,21,,Ian Poulter,72,69.71,488,7
21,22,,Nick Taylor,97,69.74,1325,19
22,23,,Phil Mickelson,85,69.75,279,4
23,24,,Kevin Tway,96,69.82,1187,17
24,T25,,Tom Hoge,54,69.92,839,12
25,T25,,Francesco Molinari,75,69.92,839,12
26,T25,,Trey Mullinax,88,69.92,839,12
27,28,,William McGirt,89,69.94,1119,16
28,T29,,Brian Gay,82,70.0,1330,19
29,T29,,David Lingmerth,79,70.0,980,14
30,T29,,Justin Rose,66,70.0,140,2
31,T29,,Webb Simpson,102,70.0,1050,15
32,T29,,Bubba Watson,71,70.0,210,3
33,34,,Bryson DeChambeau,91,70.06,1261,18
34,35,,Robert Garrigus,78,70.07,981,14
35,36,,Charley Hoffman,112,70.13,1052,15
36,37,,Kevin Streelman,90,70.16,1333,19
37,38,,Chris Kirk,89,70.19,1474,21
38,T39,,Sean O'Hair,84,70.21,983,14
39,T39,,Scott Stallings,81,70.21,983,14
