,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,,Tag Ridings,67,3.88,485,125
1,2,,Jordan Spieth,85,3.91,2066,528
2,3,,Justin Thomas,86,3.92,2028,518
3,4,,Ryan Blaum,100,3.93,830,211
4,T5,,Hideki Matsuyama,83,3.94,1747,443
5,T5,,Kevin Na,86,3.94,1040,264
6,7,,Hunter Mahan,73,3.95,664,168
7,8,,Charley Hoffman,112,3.96,1627,411
8,T9,,Daniel Berger,91,3.97,2062,520
9,T9,,Chad Campbell,97,3.97,1323,333
10,T9,,Charles Howell III,86,3.97,1263,318
11,T9,,Jon Rahm,90,3.97,1905,480
12,T13,,Dustin Johnson,77,3.98,1663,418
13,T13,,Matt Kuchar,95,3.98,1942,488
14,T13,,Ollie Schniederjans,92,3.98,1214,305
15,T13,,Gary Woodland,94,3.98,1186,298
16,T17,,Ricky Barnes,100,3.99,746,187
17,T17,,Jason Dufner,89,3.99,1618,406
18,T17,,Jim Furyk,54,3.99,786,197
19,T17,,Cameron Percy,71,3.99,962,241
20,T17,,Cameron Smith,86,3.99,901,226
21,T22,,Zac Blair,105,4.0,1081,270
22,T22,,Rafa Cabrera Bello,63,4.0,1140,285
23,T22,,Graham DeLaet,82,4.0,1175,294
24,T22,,Brian Harman,104,4.0,1564,391
25,T22,,Jim Herman,77,4.0,708,177
26,T22,,Martin Laird,83,4.0,1205,301
27,T22,,Marc Leishman,94,4.0,1676,419
28,T22,,Trey Mullinax,88,4.0,1196,299
29,T22,,Xander Schauffele,96,4.0,1416,354
30,T22,,Webb Simpson,102,4.0,1499,375
31,T22,,Johnson Wagner,71,4.0,796,199
32,T22,,Tim Wilkinson,64,4.0,604,151
33,T34,,Paul Casey,94,4.01,2155,538
34,T34,,Stewart Cink,93,4.01,1168,291
35,T34,,Rickie Fowler,78,4.01,2103,524
36,T34,,Robert Garrigus,78,4.01,874,218
37,T34,,J.J. Henry,92,4.01,670,167
38,T34,,John Huh,92,4.01,902,225
39,T34,,Zach Johnson,81,4.01,1338,334
40,T34,,Danny Lee,93,4.01,942,235
