,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,,Justin Thomas,25,88.24
1,2,,Jordan Spieth,23,84.21
2,3,,Spencer Levin,31,83.33
3,4,,Dustin Johnson,20,81.25
4,5,,Hideki Matsuyama,22,78.95
5,6,,Paul Casey,24,77.27
6,T7,,Kelly Kraft,27,75.0
7,T7,,Matt Kuchar,26,75.0
8,T7,,Andrew Loupe,21,75.0
9,T7,,Sean O'Hair,25,75.0
10,T11,,Jon Rahm,23,73.68
11,T11,,Xander Schauffele,28,73.68
12,T11,,Hudson Swafford,28,73.68
13,14,,Jason Day,20,73.33
14,15,,Rory McIlroy,14,72.73
15,T16,,Rickie Fowler,21,72.22
16,T16,,Sung Kang,32,72.22
17,18,,Danny Lee,32,70.59
18,19,,Dominic Bozzelli,24,70.0
19,T20,,Adam Scott,16,69.23
20,T20,,Bubba Watson,22,69.23
21,22,,Ian Poulter,20,68.75
22,T23,,Brian Harman,30,68.18
23,T23,,Mackenzie Hughes,31,68.18
24,T23,,Webb Simpson,28,68.18
25,T26,,Tony Finau,29,66.67
26,T26,,Martin Flores,27,66.67
27,T26,,Andres Gonzales,24,66.67
28,T26,,Ryan Palmer,20,66.67
29,T26,,Cameron Percy,23,66.67
30,T26,,Pat Perez,26,66.67
31,T26,,D.A. Points,22,66.67
32,T26,,J.J. Spaun,29,66.67
33,T26,,Michael Thompson,21,66.67
34,35,,Gary Woodland,26,65.0
35,36,,Kevin Na,26,64.71
36,37,,Seung-Yul Noh,31,64.29
37,T38,,Jonas Blixt,25,63.64
38,T38,,Julián Etulain,22,63.64
39,T38,,Smylie Kaufman,26,63.64
40,T38,,Brandt Snedeker,15,63.64
41,T42,,Wesley Bryan,28,63.16
42,T42,,Brendan Steele,25,63.16
43,T44,,Brandon Hagy,26,62.5
44,T44,,Kevin Kisner,28,62.5
