,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,,Justin Thomas,86,68.78,3508,51
1,2,,Jordan Spieth,85,68.81,3234,47
2,3,,Hideki Matsuyama,83,69.02,2899,42
3,4,,Jon Rahm,90,69.31,3119,45
4,5,,Charles Howell III,86,69.35,2774,40
5,6,,Dustin Johnson,77,69.46,2709,39
6,7,,Charley Hoffman,112,69.7,3694,53
7,8,,Ryan Armour,63,69.74,1883,27
8,9,,Kevin Kisner,105,69.75,3348,48
9,10,,Daniel Berger,91,69.76,3488,50
10,11,,Patrick Cantlay,52,69.81,1885,27
11,12,,Kevin Na,86,69.82,2374,34
12,13,,Kyle Stanley,104,69.89,3145,45
13,14,,Ian Poulter,72,69.9,2167,31
14,15,,Matt Kuchar,95,69.92,3496,50
15,16,,Webb Simpson,102,70.0,3360,48
16,17,,Robert Garrigus,78,70.03,2381,34
17,T18,,Paul Casey,94,70.05,3923,56
18,T18,,Ollie Schniederjans,92,70.05,3082,44
19,20,,Adam Scott,58,70.09,2383,34
20,21,,Rickie Fowler,78,70.1,3365,48
21,T22,,Brooks Koepka,88,70.11,3155,45
22,T22,,Jamie Lovemark,98,70.11,3225,46
23,T24,,Chad Campbell,97,70.13,3647,52
24,T24,,Danny Lee,93,70.13,3296,47
25,T24,,Tim Wilkinson,64,70.13,1613,23
26,T27,,Graham DeLaet,82,70.15,2876,41
27,T27,,Steve Wheatcroft,51,70.15,1403,20
28,29,,Cameron Percy,71,70.17,2105,30
29,30,,Chez Reavie,98,70.18,3579,51
30,31,,Marc Leishman,94,70.2,3229,46
31,32,,Brian Gay,82,70.21,2738,39
32,33,,Seamus Power,86,70.23,2809,40
33,34,,Justin Rose,66,70.25,2529,36
34,35,,Tag Ridings,67,70.26,1897,27
35,36,,Rafa Cabrera Bello,63,70.28,2249,32
36,37,,Richy Werenski,81,70.32,2672,38
37,38,,Xander Schauffele,96,70.33,3235,46
38,T39,,Brandt Snedeker,53,70.39,2182,31
39,T39,,Gary Woodland,94,70.39,2886,41
40,41,,Pat Perez,93,70.4,3309,47
41,T42,,Tony Finau,106,70.41,3591,51
42,T42,,Kevin Streelman,90,70.41,3098,44
43,44,,Lucas Glover,93,70.43,3310,47
44,T45,,Michael Kim,94,70.44,2536,36
45,T45,,Luke List,102,70.44,3170,45
46,T45,,Sean O'Hair,84,70.44,2888,41
47,T48,,Bill Haas,92,70.45,3311,47
48,T48,,Brian Harman,104,70.45,3593,51
49,T48,,J.J. Henry,92,70.45,2677,38
50,T51,,Louis Oosthuizen,69,70.48,2044,29
51,T51,,Nick Taylor,97,70.48,3383,48
52,53,,Trey Mullinax,88,70.5,2820,40
53,T54,,Blayne Barber,77,70.52,2186,31
54,T54,,Nick Watney,75,70.52,2186,31
55,T56,,Sergio Garcia,65,70.53,2257,32
56,T56,,Adam Hadwin,98,70.53,3456,49
57,T58,,Russell Knox,75,70.56,2752,39
58,T58,,Francesco Molinari,75,70.56,2752,39
59,T60,,Jason Dufner,89,70.57,3246,46
60,T60,,Seung-Yul Noh,91,70.57,2964,42
61,62,,Ryan Moore,82,70.58,3035,43
62,T63,,Stewart Cink,93,70.59,3106,44
63,T63,,Martin Flores,88,70.59,2894,41
64,T63,,Kevin Tway,96,70.59,2753,39
65,T66,,Ryan Blaum,100,70.62,2754,39
66,T66,,Charl Schwartzel,63,70.62,2048,29
67,68,,Matt Jones,64,70.63,1695,24
68,69,,Brendan Steele,89,70.66,3109,44
69,T70,,Bryson DeChambeau,91,70.68,3322,47
70,T70,,Martin Laird,83,70.68,2898,41
71,T70,,Rory McIlroy,51,70.68,1979,28
72,T70,,Troy Merritt,82,70.68,2615,37
73,74,,James Hahn,96,70.7,3252,46
74,T75,,Zac Blair,105,70.71,3182,45
75,T75,,Camilo Villegas,76,70.71,2475,35
76,77,,Zach Johnson,81,70.72,2758,39
77,T78,,Ricky Barnes,100,70.73,2829,40
78,T78,,Bud Cauley,92,70.73,3183,45
79,T78,,Phil Mickelson,85,70.73,2900,41
80,T78,,Grayson Murray,94,70.73,3183,45
81,T78,,Hudson Swafford,94,70.73,3183,45
82,T83,,Scott Stallings,81,70.74,2759,39
83,T83,,Jhonattan Vegas,95,70.74,2759,39
84,T85,,Ryan Brehm,83,70.76,2618,37
85,T85,,Rory Sabbatini,71,70.76,2406,34
86,T87,,Mark Anderson,54,70.78,1628,23
87,T87,,J.T. Poston,95,70.78,2902,41
88,T89,,Kevin Chappell,95,70.79,3327,47
89,T89,,Sung Kang,104,70.79,3398,48
90,T91,,Wesley Bryan,95,70.8,2903,41
91,T91,,Johnson Wagner,71,70.8,2478,35
92,T93,,Jim Herman,77,70.81,2195,31
93,T93,,Vaughn Taylor,90,70.81,2266,32
94,T95,,Branden Grace,70,70.82,1983,28
95,T95,,Anirban Lahiri,72,70.82,2691,38
96,T97,,Jason Day,71,70.83,2479,35
97,T97,,Chris Kirk,89,70.83,2904,41
98,T99,,Alex Cejka,85,70.85,2338,33
99,T99,,Shawn Stefani,72,70.85,1913,27
100,101,,Whee Kim,74,70.88,2835,40
101,T102,,Brandon Hagy,85,70.89,2481,35
102,T102,,Nicholas Lindheim,58,70.89,1914,27
103,T102,,David Lingmerth,79,70.89,2623,37
104,T102,,Peter Malnati,91,70.89,2694,38
105,T106,,Fabián Gómez,61,70.9,2056,29
106,T106,,Mark Hubbard,81,70.9,2127,30
107,T108,,Ben Crane,86,70.91,2482,35
108,T108,,Andres Gonzales,73,70.91,2482,35
109,T108,,Russell Henley,99,70.91,3758,53
110,111,,John Huh,92,70.92,2695,38
111,112,,Billy Horschel,88,70.93,2908,41
112,T113,,Keegan Bradley,104,70.94,3618,51
113,T113,,Mackenzie Hughes,106,70.94,3405,48
114,115,,Tom Hoge,54,70.95,1561,22
115,T116,,Steven Alker,69,70.96,1987,28
116,T116,,Patrick Reed,107,70.96,3548,50
117,T116,,J.J. Spaun,92,70.96,3193,45
118,119,,Ben Martin,86,70.98,2839,40
119,T120,,Brett Drewitt,57,71.0,1775,25
120,T120,,Jim Furyk,54,71.0,1562,22
121,T120,,Graeme McDowell,56,71.0,1988,28
122,T123,,Spencer Levin,89,71.05,2842,40
123,T123,,C.T. Pan,88,71.05,2771,39
124,T123,,Patrick Rodgers,76,71.05,2700,38
125,T126,,Scott Brown,95,71.07,3198,45
126,T126,,Chad Collins,66,71.07,2061,29
127,T126,,Robert Streb,98,71.07,3127,44
128,129,,Scott Piercy,70,71.08,2630,37
129,130,,Boo Weekley,75,71.1,2204,31
130,T131,,Harris English,84,71.14,2632,37
131,T131,,Retief Goosen,52,71.14,1565,22
132,T131,,Patton Kizzire,84,71.14,2561,36
133,134,,Harold Varner III,101,71.19,3061,43
134,135,,David Hearn,93,71.2,2919,41
135,136,,Daniel Summerhays,100,71.21,3347,47
136,T137,,J.B. Holmes,83,71.22,2635,37
137,T137,,Kelly Kraft,75,71.22,2279,32
138,T139,,Jonathan Randolph,68,71.23,2137,30
139,T139,,Cameron Tringale,89,71.23,2778,39
140,141,,Sam Saunders,76,71.24,2707,38
141,T142,,Shane Lowry,52,71.27,1853,26
142,T142,,Sebastián Muñoz,51,71.27,1568,22
143,T142,,Geoff Ogilvy,80,71.27,2352,33
144,T142,,D.A. Points,68,71.27,2352,33
145,146,,Bubba Watson,71,71.28,2067,29
146,147,,Billy Hurley III,80,71.29,2424,34
147,T148,,Luke Donald,50,71.31,1854,26
148,T148,,Tyrone Van Aswegen,105,71.31,3209,45
149,150,,Cameron Smith,86,71.32,2924,41
150,151,,Ryo Ishikawa,56,71.35,1855,26
151,T152,,Brian Campbell,55,71.36,1784,25
152,T152,,William McGirt,89,71.36,2783,39
153,154,,Smylie Kaufman,76,71.37,2712,38
154,T155,,Byeong Hun An,77,71.38,2427,34
155,T155,,Jonas Blixt,74,71.38,2427,34
156,T155,,Jason Kokrak,95,71.38,3569,50
157,158,,Brad Fritsch,56,71.4,1785,25
158,159,,Brian Stuard,93,71.51,2503,35
159,T160,,Dominic Bozzelli,69,71.53,2432,34
160,T160,,Morgan Hoffmann,92,71.53,3076,43
161,T160,,Hunter Mahan,73,71.53,2575,36
162,163,,Chris Stroud,67,71.54,2003,28
163,164,,Michael Thompson,60,71.55,1431,20
164,165,,Derek Fathauer,81,71.61,2721,38
