,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,,Tag Ridings,67,68.42,821,12
1,2,,Justin Thomas,86,68.77,3232,47
2,3,,Jordan Spieth,85,68.81,3234,47
3,4,,Hideki Matsuyama,83,69.1,2833,41
4,5,,Danny Lee,93,69.24,1454,21
5,6,,Charles Howell III,86,69.31,2010,29
6,7,,Jon Rahm,90,69.36,3052,44
7,8,,Chad Campbell,97,69.37,2081,30
8,T9,,Charley Hoffman,112,69.53,2642,38
9,T9,,Dustin Johnson,77,69.53,2642,38
10,11,,Kevin Na,86,69.54,1669,24
11,12,,Ryan Blaum,100,69.63,1323,19
12,13,,Daniel Berger,91,69.66,3274,47
13,14,,Cameron Percy,71,69.68,1533,22
14,15,,Matt Kuchar,95,69.78,3140,45
15,16,,Tim Wilkinson,64,69.79,977,14
16,T17,,Graham DeLaet,82,69.81,1885,27
17,T17,,Rory Sabbatini,71,69.81,1117,16
18,19,,Richy Werenski,81,69.82,1187,17
19,20,,Marc Leishman,94,69.89,2656,38
20,21,,Kevin Kisner,105,69.92,2517,36
21,T22,,Chad Collins,66,69.93,979,14
22,T22,,Gary Woodland,94,69.93,1888,27
23,T24,,Paul Casey,94,69.94,3427,49
24,T24,,Xander Schauffele,96,69.94,2238,32
25,T26,,Patrick Cantlay,52,69.95,1399,20
26,T26,,Brooks Koepka,88,69.95,2798,40
27,T26,,Troy Merritt,82,69.95,1329,19
28,29,,Ian Poulter,72,69.96,1679,24
29,T30,,Tony Finau,106,70.0,2170,31
30,T30,,Robert Garrigus,78,70.0,1400,20
31,T30,,Webb Simpson,102,70.0,2310,33
32,33,,Jamie Lovemark,98,70.03,2381,34
33,34,,Spencer Levin,89,70.06,1191,17
34,35,,Rickie Fowler,78,70.1,3365,48
35,36,,Kyle Stanley,104,70.13,2244,32
36,37,,Cameron Smith,86,70.14,1473,21
37,38,,Rafa Cabrera Bello,63,70.15,1824,26
38,39,,Ryan Armour,63,70.18,1193,17
39,40,,Michael Kim,94,70.19,1474,21
40,41,,Bill Haas,92,70.22,2598,37
41,42,,Justin Rose,66,70.26,2389,34
