,Back_9_Par_3_Scoring_Average_RANK THIS WEEK,Back_9_Par_3_Scoring_Average_RANK LAST WEEK,Back_9_Par_3_Scoring_Average_PLAYER NAME,Back_9_Par_3_Scoring_Average_ROUNDS,Back_9_Par_3_Scoring_Average_AVG,Back_9_Par_3_Scoring_Average_TOTAL STROKES,Back_9_Par_3_Scoring_Average_TOTAL HOLES
0,1,,Nicholas Lindheim,58,2.88,322,112
1,2,,Tom Hoge,54,2.89,266,92
2,3,,Brad Fritsch,56,2.94,306,104
3,T4,,Sergio Garcia,65,2.95,366,124
4,T4,,Seung-Yul Noh,91,2.95,520,176
5,T4,,Chez Reavie,98,2.95,573,194
6,T4,,Brandt Snedeker,53,2.95,283,96
7,T8,,Ryan Armour,63,2.96,349,118
8,T8,,Jason Dufner,89,2.96,485,164
9,T8,,Peter Malnati,91,2.96,509,172
10,T8,,Cameron Tringale,89,2.96,498,168
11,T12,,Martin Flores,88,2.97,487,164
12,T12,,Graeme McDowell,56,2.97,344,116
13,T12,,Adam Scott,58,2.97,345,116
14,T12,,Richy Werenski,81,2.97,446,150
15,T16,,Rafa Cabrera Bello,63,2.99,359,120
16,T16,,K.J. Choi,72,2.99,401,134
17,T16,,Mackenzie Hughes,106,2.99,609,204
18,T16,,Dustin Johnson,77,2.99,407,136
19,T16,,Jordan Spieth,85,2.99,454,152
20,T16,,Shawn Stefani,72,2.99,412,138
21,T22,,Blayne Barber,77,3.0,438,146
22,T22,,Zac Blair,105,3.0,599,200
23,T22,,Ben Martin,86,3.0,486,162
24,T22,,Troy Merritt,82,3.0,462,154
25,T22,,Tyrone Van Aswegen,105,3.0,594,198
26,T22,,Camilo Villegas,76,3.0,432,144
27,T28,,Steven Alker,69,3.01,379,126
28,T28,,Jason Bohn,75,3.01,434,144
29,T28,,Keegan Bradley,104,3.01,626,208
30,T28,,Wesley Bryan,95,3.01,559,186
31,T28,,Brian Campbell,55,3.01,307,102
32,T28,,Miguel Angel Carballo,63,3.01,343,114
33,T28,,Bud Cauley,92,3.01,542,180
34,T28,,Luke Donald,50,3.01,295,98
35,T28,,Harris English,84,3.01,470,156
36,T28,,Rickie Fowler,78,3.01,458,152
37,T28,,Brian Gay,82,3.01,476,158
38,T28,,J.T. Poston,95,3.01,535,178
39,T28,,Brian Stuard,93,3.01,523,174
40,T28,,Nick Watney,75,3.01,428,142
41,T28,,Tim Wilkinson,64,3.01,361,120
42,T43,,Mark Anderson,54,3.02,314,104
43,T43,,Emiliano Grillo,90,3.02,526,174
44,T43,,Russell Henley,99,3.02,598,198
45,T43,,Matt Jones,64,3.02,338,112
46,T43,,Brooks Koepka,88,3.02,483,160
47,T43,,Matt Kuchar,95,3.02,567,188
48,T43,,Grayson Murray,94,3.02,549,182
49,T43,,C.T. Pan,88,3.02,526,174
50,T43,,Jon Rahm,90,3.02,502,166
51,T43,,Webb Simpson,102,3.02,610,202
52,T43,,Robert Streb,98,3.02,574,190
53,T54,,Ryan Brehm,83,3.03,466,154
54,T54,,Paul Casey,94,3.03,546,180
55,T54,,Alex Cejka,85,3.03,478,158
56,T54,,Ben Crane,86,3.03,491,162
57,T54,,Branden Grace,70,3.03,370,122
58,T54,,Brian Harman,104,3.03,613,202
59,T54,,Billy Horschel,88,3.03,528,174
60,T54,,Charles Howell III,86,3.03,509,168
61,T54,,Kevin Kisner,105,3.03,594,196
62,T54,,Patton Kizzire,84,3.03,467,154
63,T54,,Marc Leishman,94,3.03,546,180
64,T54,,Cameron Percy,71,3.03,394,130
65,T54,,Carl Pettersson,63,3.03,364,120
66,T54,,Scott Stallings,81,3.03,479,158
67,T54,,Daniel Summerhays,100,3.03,575,190
68,T54,,Justin Thomas,86,3.03,472,156
69,T70,,Ricky Barnes,100,3.04,566,186
70,T70,,Graham DeLaet,82,3.04,474,156
71,T70,,Andres Gonzales,73,3.04,420,138
72,T70,,Whee Kim,74,3.04,441,145
73,T70,,Russell Knox,75,3.04,419,138
74,T70,,Luke List,102,3.04,608,200
75,T70,,Francesco Molinari,75,3.04,438,144
76,T70,,Kevin Na,86,3.04,504,166
77,T70,,Pat Perez,93,3.04,535,176
78,T70,,Ian Poulter,72,3.04,426,140
79,T70,,Jonathan Randolph,68,3.04,383,126
80,T70,,Tag Ridings,67,3.04,359,118
81,T70,,Vaughn Taylor,90,3.04,499,164
82,T83,,Daniel Berger,91,3.05,518,170
83,T83,,Chad Campbell,97,3.05,604,198
84,T83,,Chad Collins,66,3.05,384,126
85,T83,,Jason Day,71,3.05,390,128
86,T83,,J.J. Henry,92,3.05,537,176
87,T83,,John Huh,92,3.05,549,180
88,T83,,Phil Mickelson,85,3.05,488,160
89,T83,,Sebastián Muñoz,51,3.05,299,98
90,T83,,Sean O'Hair,84,3.05,519,170
91,T83,,D.A. Points,68,3.05,415,136
92,T83,,Seamus Power,86,3.05,501,164
93,T83,,Rory Sabbatini,71,3.05,397,130
94,T83,,Brendan Steele,89,3.05,500,164
95,T83,,Michael Thompson,60,3.05,348,114
96,T97,,Ryan Blaum,100,3.06,599,196
97,T97,,Jonas Blixt,74,3.06,441,144
98,T97,,Greg Chalmers,75,3.06,428,140
99,T97,,Julián Etulain,68,3.06,386,126
100,T97,,David Hearn,93,3.06,532,174
101,T97,,Zach Johnson,81,3.06,471,154
102,T97,,Jason Kokrak,95,3.06,594,194
103,T97,,Rory McIlroy,51,3.06,294,96
104,T97,,Ryan Moore,82,3.06,483,158
105,T97,,Sam Saunders,76,3.06,434,142
106,T97,,J.J. Spaun,92,3.06,533,174
107,T97,,Kyle Stanley,104,3.06,625,204
108,T97,,Brett Stegmaier,78,3.06,471,154
109,T110,,Patrick Cantlay,52,3.07,307,100
