,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,1,,Luke List,102,7,1054,3.0
1,T2,,Andres Gonzales,73,4,744,3.0
2,T2,,Marc Leishman,94,4,1002,
3,T4,,Keegan Bradley,104,3,1102,3.0
4,T4,,Paul Casey,94,3,980,2.0
5,T4,,Graham DeLaet,82,3,822,2.0
6,T4,,Matt Every,76,3,760,3.0
7,T4,,Rickie Fowler,78,3,832,1.0
8,T4,,Adam Hadwin,98,3,1049,3.0
9,T4,,Charley Hoffman,112,3,1167,2.0
10,T4,,Morgan Hoffmann,92,3,961,3.0
11,T4,,J.B. Holmes,83,3,823,1.0
12,T4,,Martin Laird,83,3,887,3.0
13,T4,,Hideki Matsuyama,83,3,822,1.0
14,T4,,Francesco Molinari,75,3,778,2.0
15,T4,,Kevin Na,86,3,896,1.0
16,T4,,Kyle Reifers,96,3,945,2.0
17,T4,,Xander Schauffele,96,3,1023,2.0
18,T4,,Brendan Steele,89,3,906,1.0
19,T4,,Justin Thomas,86,3,862,1.0
20,T4,,Harold Varner III,101,3,1074,3.0
21,T4,,Boo Weekley,75,3,792,2.0
22,T23,,Daniel Berger,91,2,944,2.0
23,T23,,Zac Blair,105,2,1073,2.0
24,T23,,Dominic Bozzelli,69,2,699,1.0
25,T23,,Ryan Brehm,83,2,843,2.0
26,T23,,Wesley Bryan,95,2,998,
27,T23,,Kevin Chappell,95,2,963,1.0
28,T23,,Bryson DeChambeau,91,2,978,1.0
29,T23,,Brett Drewitt,57,2,569,2.0
30,T23,,Jason Dufner,89,2,904,2.0
31,T23,,Tony Finau,106,2,1133,2.0
32,T23,,James Hahn,96,2,1035,
33,T23,,Brian Harman,104,2,1090,1.0
34,T23,,Mark Hubbard,81,2,807,2.0
35,T23,,Whee Kim,74,2,784,2.0
36,T23,,Kelly Kraft,75,2,776,1.0
37,T23,,Rick Lamb,54,2,542,1.0
38,T23,,Andrew Loupe,55,2,561,1.0
39,T23,,Jamie Lovemark,98,2,1038,2.0
40,T23,,Hunter Mahan,73,2,763,2.0
41,T23,,Rory McIlroy,51,2,526,1.0
42,T23,,Phil Mickelson,85,2,865,2.0
43,T23,,Ryan Moore,82,2,855,2.0
44,T23,,Geoff Ogilvy,80,2,787,1.0
45,T23,,Pat Perez,93,2,975,1.0
46,T23,,D.A. Points,68,2,733,2.0
