,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,,Andres Gonzales,33.5,402,12
1,2,,Michael Thompson,33.75,270,8
2,T3,,Retief Goosen,34.0,204,6
3,T3,,Rick Lamb,34.0,204,6
4,5,,Dustin Johnson,34.13,546,16
5,6,,Bryson DeChambeau,34.14,478,14
6,7,,Adam Scott,34.15,444,13
7,T8,,Alex Cejka,34.17,410,12
8,T8,,Rory Sabbatini,34.17,410,12
9,T8,,Sam Saunders,34.17,410,12
10,T8,,Jordan Spieth,34.17,615,18
11,12,,Tim Wilkinson,34.2,342,10
12,13,,Rory McIlroy,34.27,377,11
13,14,,Martin Flores,34.29,480,14
14,15,,Justin Thomas,34.31,549,16
15,T16,,Mark Anderson,34.33,206,6
16,T16,,Ollie Schniederjans,34.33,618,18
17,T16,,Chris Stroud,34.33,309,9
18,19,,Marc Leishman,34.43,723,21
19,T20,,Blayne Barber,34.5,414,12
20,T20,,Steven Bowditch,34.5,69,2
21,T20,,Brett Drewitt,34.5,276,8
22,T20,,Whee Kim,34.5,345,10
23,T20,,Camilo Villegas,34.5,414,12
24,25,,Justin Rose,34.53,518,15
25,26,,Daniel Berger,34.58,657,19
26,27,,Matt Jones,34.6,346,10
27,T28,,Sung Kang,34.61,623,18
28,T28,,Hideki Matsuyama,34.61,623,18
29,T30,,Brian Harman,34.62,727,21
30,T30,,Nick Watney,34.62,450,13
31,32,,Kevin Na,34.65,589,17
32,T33,,Jason Day,34.67,520,15
33,T33,,Tony Finau,34.67,832,24
34,T33,,Bill Haas,34.67,624,18
35,T33,,Ian Poulter,34.67,520,15
36,37,,Russell Henley,34.68,763,22
37,38,,Ben Martin,34.71,486,14
38,T39,,Byeong Hun An,34.75,556,16
39,T39,,Robert Garrigus,34.75,417,12
40,T39,,Francesco Molinari,34.75,556,16
41,T42,,Roberto Castro,34.78,313,9
42,T42,,K.J. Choi,34.78,313,9
43,T42,,Rickie Fowler,34.78,626,18
44,T42,,Xander Schauffele,34.78,626,18
45,T42,,Jhonattan Vegas,34.78,626,18
46,47,,Phil Mickelson,34.79,661,19
47,T48,,Graeme McDowell,34.82,383,11
48,T48,,Webb Simpson,34.82,766,22
49,T48,,Boo Weekley,34.82,383,11
50,T51,,Brian Campbell,34.86,244,7
51,T51,,Billy Hurley III,34.86,488,14
52,53,,Charley Hoffman,34.87,802,23
53,54,,Robert Streb,34.88,593,17
54,55,,Brendan Steele,34.89,663,19
55,T56,,Matt Kuchar,34.9,698,20
56,T56,,Shawn Stefani,34.9,349,10
57,T58,,Geoff Ogilvy,34.92,454,13
58,T58,,Richy Werenski,34.92,419,12
59,T60,,Zach Johnson,34.94,559,16
60,T60,,Martin Laird,34.94,559,16
61,T60,,J.J. Spaun,34.94,594,17
62,T63,,Chad Campbell,34.95,664,19
63,T63,,Luke List,34.95,664,19
64,T65,,Keegan Bradley,34.96,804,23
65,T65,,Patrick Reed,34.96,804,23
66,T67,,Smylie Kaufman,35.0,385,11
67,T67,,Anirban Lahiri,35.0,490,14
68,T67,,Danny Lee,35.0,560,16
69,T67,,Spencer Levin,35.0,420,12
70,T67,,Sean O'Hair,35.0,560,16
71,T67,,Hudson Swafford,35.0,630,18
72,T73,,Charles Howell III,35.05,666,19
73,T73,,Jon Rahm,35.05,666,19
74,75,,J.J. Henry,35.06,561,16
75,76,,Rod Pampling,35.08,456,13
76,T77,,Mark Hubbard,35.09,386,11
77,T77,,Kelly Kraft,35.09,386,11
78,79,,Ryan Armour,35.1,351,10
79,80,,Harold Varner III,35.11,667,19
80,T81,,Graham DeLaet,35.13,527,15
81,T81,,David Hearn,35.13,527,15
82,T83,,Branden Grace,35.14,492,14
83,T83,,Mackenzie Hughes,35.14,773,22
84,T85,,Chez Reavie,35.15,703,20
85,T85,,Charl Schwartzel,35.15,457,13
86,T87,,Patrick Cantlay,35.17,422,12
87,T87,,Kevin Tway,35.17,633,18
88,T87,,Jimmy Walker,35.17,422,12
89,90,,Billy Horschel,35.19,563,16
90,T91,,Jonas Blixt,35.2,352,10
91,T91,,Louis Oosthuizen,35.2,528,15
92,93,,Brian Gay,35.21,493,14
93,94,,Kevin Kisner,35.22,810,23
94,T95,,Tom Hoge,35.25,282,8
95,T95,,Bubba Watson,35.25,423,12
96,T95,,Gary Woodland,35.25,705,20
97,98,,Nick Taylor,35.26,670,19
98,T99,,Ben Crane,35.27,529,15
99,T99,,Bryce Molder,35.27,388,11
100,T99,,Kyle Stanley,35.27,776,22
101,T102,,Ryan Blaum,35.28,635,18
102,T102,,Brooks Koepka,35.28,635,18
103,T104,,Brandon Hagy,35.29,494,14
104,T104,,Ryan Palmer,35.29,247,7
105,T104,,Pat Perez,35.29,741,21
106,T104,,J.T. Poston,35.29,600,17
107,108,,Steven Alker,35.3,353,10
108,109,,Jim Herman,35.31,459,13
109,T110,,Paul Casey,35.32,777,22
110,T110,,Emiliano Grillo,35.32,671,19
111,T112,,Aaron Baddeley,35.33,318,9
112,T112,,Chris Kirk,35.33,530,15
113,T112,,William McGirt,35.33,530,15
114,T112,,Cameron Smith,35.33,530,15
115,116,,Stewart Cink,35.35,707,20
116,117,,Brandt Snedeker,35.36,389,11
117,T118,,Zac Blair,35.37,672,19
118,T118,,Jason Kokrak,35.37,672,19
119,120,,John Huh,35.38,566,16
120,121,,Vaughn Taylor,35.39,637,18
121,T122,,Julián Etulain,35.4,354,10
122,T122,,Morgan Hoffmann,35.4,531,15
123,T122,,Trey Mullinax,35.4,531,15
124,125,,Jamie Lovemark,35.42,673,19
125,T126,,Luke Donald,35.43,248,7
126,T126,,Seung-Yul Noh,35.43,496,14
127,T126,,C.T. Pan,35.43,496,14
128,129,,Seamus Power,35.44,567,16
129,T130,,Troy Merritt,35.45,390,11
130,T130,,Cameron Percy,35.45,390,11
131,132,,Tyrone Van Aswegen,35.47,603,17
132,133,,Lucas Glover,35.55,711,20
133,T134,,Søren Kjeldsen,35.56,320,9
134,T134,,Hunter Mahan,35.56,320,9
135,T136,,Adam Hadwin,35.57,747,21
136,T136,,Steve Wheatcroft,35.57,249,7
137,T138,,Sergio Garcia,35.6,534,15
138,T138,,James Hahn,35.6,712,20
139,T138,,Brett Stegmaier,35.6,356,10
140,141,,Jim Furyk,35.63,285,8
141,T142,,Cody Gribble,35.64,392,11
142,T142,,Patrick Rodgers,35.64,392,11
143,T144,,Dominic Bozzelli,35.67,321,9
144,T144,,Gonzalo Fernandez-Castaño,35.67,214,6
145,T146,,Harris English,35.69,464,13
146,T146,,Russell Knox,35.69,464,13
147,148,,Kevin Chappell,35.7,714,20
148,T149,,Bud Cauley,35.71,607,17
149,T149,,Matt Every,35.71,250,7
150,T149,,Johnson Wagner,35.71,250,7
151,152,,Wesley Bryan,35.72,643,18
