,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,,Jordan Spieth,85,34.56,2696,78
1,2,,Paul Casey,94,34.68,3121,90
2,3,,Justin Thomas,86,34.71,2742,79
3,4,,Sergio Garcia,65,34.73,2153,62
4,5,,Brandt Snedeker,53,34.86,1743,50
5,T6,,Rickie Fowler,78,34.88,2651,76
6,T6,,Matt Kuchar,95,34.88,3209,92
7,8,,Jon Rahm,90,34.89,2896,83
8,9,,Kyle Stanley,104,34.91,3491,100
9,10,,Dustin Johnson,77,34.93,2445,70
10,11,,Webb Simpson,102,34.97,3462,99
11,T12,,Hideki Matsuyama,83,34.99,2659,76
12,T12,,Chez Reavie,98,34.99,3324,95
13,14,,Marc Leishman,94,35.0,3150,90
14,15,,Jason Dufner,89,35.04,2873,82
15,16,,Bud Cauley,92,35.05,3084,88
16,17,,Tony Finau,106,35.06,3646,104
17,T18,,Luke List,102,35.07,3437,98
18,T18,,Kevin Na,86,35.07,2876,82
19,20,,Lucas Glover,93,35.08,3157,90
20,21,,Brooks Koepka,88,35.11,2809,80
21,22,,Graham DeLaet,82,35.12,2669,76
22,23,,Justin Rose,66,35.14,2249,64
23,T24,,John Huh,92,35.15,3093,88
24,T24,,Francesco Molinari,75,35.15,2531,72
25,T26,,Charles Howell III,86,35.16,2883,82
26,T26,,Xander Schauffele,96,35.16,3235,92
27,28,,Stewart Cink,93,35.17,3271,93
28,29,,Matt Jones,64,35.18,1970,56
29,T30,,Patrick Cantlay,52,35.19,1689,48
30,T30,,Brian Gay,82,35.19,2745,78
31,T32,,Keegan Bradley,104,35.2,3590,102
32,T32,,Martin Flores,88,35.2,2851,81
33,T34,,Russell Henley,99,35.23,3417,97
34,T34,,Charl Schwartzel,63,35.23,2114,60
35,T34,,Richy Werenski,81,35.23,2607,74
36,37,,Kevin Kisner,105,35.24,3454,98
37,38,,Ian Poulter,72,35.26,2398,68
38,39,,Jamie Lovemark,98,35.27,3386,96
39,40,,Gary Woodland,94,35.28,3140,89
40,T41,,Daniel Berger,91,35.29,3035,86
41,T41,,Ryan Blaum,100,35.29,3388,96
42,T41,,Tag Ridings,67,35.29,2082,59
43,T44,,Seung-Yul Noh,91,35.3,3071,87
44,T44,,Pat Perez,93,35.3,3177,90
45,T46,,Bill Haas,92,35.31,3001,85
46,T46,,Seamus Power,86,35.31,2825,80
47,T48,,Chad Campbell,97,35.32,3426,97
48,T48,,Kevin Streelman,90,35.32,3108,88
49,50,,C.T. Pan,88,35.33,3038,86
50,T51,,Ryan Armour,63,35.34,2085,59
51,T51,,Ryan Brehm,83,35.34,2721,77
52,T51,,Harris English,84,35.34,2686,76
53,T51,,Brian Harman,104,35.34,3534,100
54,T51,,J.T. Poston,95,35.34,3075,87
55,T51,,Robert Streb,98,35.34,3322,94
56,T57,,Zac Blair,105,35.35,3500,99
57,T57,,James Hahn,96,35.35,3394,96
58,T57,,Kevin Tway,96,35.35,3111,88
59,T60,,Rafa Cabrera Bello,63,35.37,2122,60
60,T60,,Billy Horschel,88,35.37,3042,86
61,T60,,Ryan Moore,82,35.37,2794,79
62,T60,,Louis Oosthuizen,69,35.37,2193,62
63,T64,,Chad Collins,66,35.39,2194,62
64,T64,,Tyrone Van Aswegen,105,35.39,3433,97
65,T66,,Rory Sabbatini,71,35.4,2301,65
66,T66,,Hudson Swafford,94,35.4,3186,90
67,68,,Nick Taylor,97,35.41,3364,95
68,69,,Ricky Barnes,100,35.42,3259,92
69,T70,,Robert Garrigus,78,35.43,2551,72
70,T70,,Andres Gonzales,73,35.43,2445,69
71,T70,,Emiliano Grillo,90,35.43,3082,87
72,T70,,Michael Kim,94,35.43,3189,90
73,T70,,Trey Mullinax,88,35.43,2905,82
74,T70,,Shawn Stefani,72,35.43,2409,68
75,T70,,Cameron Tringale,89,35.43,2941,83
76,T77,,Rory McIlroy,51,35.44,1701,48
77,T77,,J.J. Spaun,92,35.44,3048,86
78,T79,,Wesley Bryan,95,35.45,3226,91
79,T79,,Adam Hadwin,98,35.45,3474,98
80,T79,,Peter Malnati,91,35.45,3013,85
81,T79,,Sean O'Hair,84,35.45,2978,84
82,T79,,Vaughn Taylor,90,35.45,2978,84
83,84,,Phil Mickelson,85,35.46,2837,80
84,T85,,Scott Brown,95,35.47,3228,91
85,T85,,Bryson DeChambeau,91,35.47,3157,89
86,T85,,Shane Lowry,52,35.47,1738,49
87,T85,,Steve Wheatcroft,51,35.47,1667,47
88,89,,Ben Martin,86,35.48,2803,79
89,T90,,Whee Kim,74,35.49,2555,72
90,T90,,Russell Knox,75,35.49,2484,70
91,T90,,Cameron Percy,71,35.49,2307,65
92,93,,Mackenzie Hughes,106,35.5,3692,104
93,94,,Patrick Reed,107,35.51,3551,100
94,T95,,Kevin Chappell,95,35.52,3197,90
95,T95,,Luke Donald,50,35.52,1705,48
96,T95,,Julián Etulain,68,35.52,2238,63
97,T95,,Grayson Murray,94,35.52,3197,90
98,T95,,Cameron Smith,86,35.52,2913,82
99,T95,,Scott Stallings,81,35.52,2735,77
100,T95,,Tim Wilkinson,64,35.52,2060,58
101,102,,Camilo Villegas,76,35.53,2558,72
102,T103,,Steven Alker,69,35.54,2239,63
103,T103,,Anirban Lahiri,72,35.54,2559,72
104,105,,Adam Scott,58,35.55,2062,58
105,T106,,Kyle Reifers,96,35.56,3129,88
106,T106,,Chris Stroud,67,35.56,2098,59
107,T108,,J.J. Henry,92,35.57,3059,86
108,T108,,Danny Lee,93,35.57,3166,89
109,T110,,Morgan Hoffmann,92,35.58,3131,88
110,T110,,William McGirt,89,35.58,2953,83
111,T110,,Harold Varner III,101,35.58,3522,99
112,T113,,Charley Hoffman,112,35.59,3844,108
113,T113,,Sam Saunders,76,35.59,2491,70
114,T113,,Jhonattan Vegas,95,35.59,3203,90
115,T116,,Brandon Hagy,85,35.6,2741,77
116,T116,,Martin Laird,83,35.6,2955,83
117,T118,,Zach Johnson,81,35.61,2742,77
118,T118,,Graeme McDowell,56,35.61,1994,56
119,T118,,Nick Watney,75,35.61,2457,69
120,T121,,Smylie Kaufman,76,35.62,2529,71
121,T121,,Troy Merritt,82,35.62,2707,76
122,T123,,Jason Kokrak,95,35.63,3385,95
123,T123,,Brendan Steele,89,35.63,2993,84
124,T125,,Ollie Schniederjans,92,35.64,3101,87
125,T125,,Michael Thompson,60,35.64,1996,56
126,T127,,Ben Crane,86,35.66,2817,79
