,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,,Jason Day,71,68.53,1028,15
1,2,,Rickie Fowler,78,68.67,824,12
2,3,,Sergio Garcia,65,68.78,1238,18
3,4,,Marc Leishman,94,68.9,2136,31
4,5,,Rory McIlroy,51,68.92,827,12
5,6,,Jordan Spieth,85,69.0,966,14
6,7,,Dustin Johnson,77,69.07,967,14
7,8,,Paul Casey,94,69.12,1175,17
8,9,,Tony Finau,106,69.51,2989,43
9,10,,Francesco Molinari,75,69.65,1602,23
10,11,,Justin Rose,66,69.67,1045,15
11,12,,Xander Schauffele,96,69.68,2160,31
12,13,,Ryan Armour,63,69.71,976,14
13,T14,,Julián Etulain,68,69.75,1395,20
14,T14,,Chris Stroud,67,69.75,1116,16
15,16,,Ben Martin,86,69.76,2023,29
16,17,,Russell Henley,99,69.77,2093,30
17,T18,,Lucas Glover,93,69.78,1884,27
18,T18,,Jon Rahm,90,69.78,1256,18
19,20,,Stewart Cink,93,69.79,2373,34
20,21,,Chez Reavie,98,69.81,2164,31
21,22,,Seamus Power,86,69.86,1467,21
22,23,,Matt Kuchar,95,69.87,1607,23
23,24,,Scott Brown,95,69.91,1538,22
24,25,,Luke List,102,69.92,2657,38
25,26,,Brandon Hagy,85,69.93,1888,27
26,27,,Hideki Matsuyama,83,69.94,1259,18
27,28,,Phil Mickelson,85,69.95,1399,20
28,29,,Rory Sabbatini,71,70.0,1260,18
29,30,,Bud Cauley,92,70.04,1751,25
30,T31,,Keegan Bradley,104,70.07,2032,29
31,T31,,Patrick Cantlay,52,70.07,1051,15
32,T33,,J.J. Spaun,92,70.08,1752,25
33,T33,,Cameron Tringale,89,70.08,1682,24
34,35,,Jamie Lovemark,98,70.12,1823,26
35,36,,Scott Stallings,81,70.13,1613,23
36,T37,,Chad Campbell,97,70.15,1824,26
37,T37,,Emiliano Grillo,90,70.15,2315,33
38,T39,,Sam Saunders,76,70.16,1333,19
39,T39,,Tyrone Van Aswegen,105,70.16,2175,31
40,41,,Bill Haas,92,70.21,1685,24
41,T42,,Brian Harman,104,70.24,2318,33
42,T42,,Webb Simpson,102,70.24,2669,38
43,44,,J.T. Poston,95,70.25,2248,32
44,T45,,Ryan Palmer,61,70.27,773,11
45,T45,,Ian Poulter,72,70.27,1546,22
46,47,,Brian Gay,82,70.28,1757,25
47,T48,,Patrick Reed,107,70.29,1968,28
48,T48,,Brandt Snedeker,53,70.29,492,7
49,50,,Shawn Stefani,72,70.3,1898,27
50,51,,Harris English,84,70.33,1899,27
51,52,,David Hearn,93,70.36,1548,22
52,53,,Kevin Na,86,70.37,2111,30
53,54,,Pat Perez,93,70.38,2041,29
54,55,,Kyle Stanley,104,70.42,2676,38
55,56,,Graeme McDowell,56,70.44,1127,16
56,T57,,Andres Gonzales,73,70.45,1409,20
57,T57,,Ollie Schniederjans,92,70.45,2043,29
58,T59,,Ben Crane,86,70.46,1832,26
59,T59,,Luke Donald,50,70.46,916,13
60,61,,Martin Flores,88,70.48,1480,21
61,62,,Aaron Baddeley,61,70.5,1410,20
62,T63,,Charl Schwartzel,63,70.55,1552,22
63,T63,,Kevin Tway,96,70.55,2187,31
64,65,,Daniel Berger,91,70.56,1270,18
65,T66,,Sung Kang,104,70.59,2612,37
66,T66,,Seung-Yul Noh,91,70.59,1200,17
67,68,,James Hahn,96,70.62,2613,37
68,T69,,Steven Alker,69,70.63,1130,16
69,T69,,Russell Knox,75,70.63,1342,19
70,T69,,Richy Werenski,81,70.63,1342,19
71,T72,,K.J. Choi,72,70.64,1554,22
72,T72,,Kyle Reifers,96,70.64,1766,25
73,T72,,Hudson Swafford,94,70.64,2331,33
74,T75,,Jason Dufner,89,70.65,1837,26
75,T75,,Shane Lowry,52,70.65,1413,20
76,T75,,Trey Mullinax,88,70.65,1413,20
77,78,,Bryce Molder,74,70.67,1696,24
78,79,,Brendan Steele,89,70.68,1979,28
79,80,,Zac Blair,105,70.7,2121,30
80,81,,Tag Ridings,67,70.74,1344,19
81,82,,Graham DeLaet,82,70.75,1415,20
82,83,,Michael Kim,94,70.76,2406,34
83,T84,,Blayne Barber,77,70.78,1628,23
84,T84,,J.B. Holmes,83,70.78,1911,27
85,T84,,Zach Johnson,81,70.78,1628,23
86,T84,,Cameron Smith,86,70.78,2265,32
87,T88,,Robert Streb,98,70.79,2053,29
88,T88,,Tim Wilkinson,64,70.79,1345,19
89,90,,Tom Hoge,54,70.8,1062,15
