,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,,Russell Henley,67.93,1019,15
1,2,,Marc Leishman,68.42,821,12
2,3,,Paul Casey,68.62,892,13
3,4,,Rory McIlroy,68.75,275,4
4,5,,Sam Saunders,68.82,757,11
5,6,,Rickie Fowler,68.9,689,10
6,7,,Seamus Power,68.92,896,13
7,T8,,Brandon Hagy,69.09,760,11
8,T8,,Justin Thomas,69.09,760,11
9,10,,Bill Haas,69.13,553,8
10,11,,Jordan Spieth,69.14,968,14
11,12,,Justin Rose,69.17,415,6
12,13,,Stewart Cink,69.23,900,13
13,14,,Matt Jones,69.38,555,8
14,15,,Lucas Glover,69.45,764,11
15,16,,John Huh,69.5,973,14
16,17,,Phil Mickelson,69.58,835,12
17,T18,,Brian Harman,69.67,1045,15
18,T18,,Kyle Stanley,69.67,1045,15
19,T18,,Cameron Tringale,69.67,836,12
20,T21,,Ricky Barnes,69.71,976,14
21,T21,,Vaughn Taylor,69.71,976,14
22,T23,,Rory Sabbatini,69.73,767,11
23,T23,,Cameron Smith,69.73,767,11
24,T25,,Chad Campbell,69.75,1116,16
25,T25,,Tom Hoge,69.75,558,8
26,27,,Ollie Schniederjans,69.77,907,13
27,28,,Kevin Streelman,69.83,838,12
28,29,,Keegan Bradley,69.88,1188,17
29,30,,Graham DeLaet,69.91,769,11
30,T31,,Jason Dufner,69.92,909,13
31,T31,,Charles Howell III,69.92,909,13
32,T33,,Ryan Blaum,70.0,1050,15
33,T33,,Patrick Cantlay,70.0,420,6
34,T33,,Sergio Garcia,70.0,560,8
35,T33,,Adam Hadwin,70.0,840,12
36,T33,,David Hearn,70.0,980,14
37,T33,,Sebastián Muñoz,70.0,420,6
38,T33,,Rod Pampling,70.0,630,9
39,T33,,Hudson Swafford,70.0,840,12
40,41,,Harold Varner III,70.06,1121,16
41,T42,,Andres Gonzales,70.07,981,14
42,T42,,Michael Kim,70.07,1051,15
43,44,,D.A. Points,70.08,911,13
44,T45,,Kevin Tway,70.1,701,10
45,T45,,Boo Weekley,70.1,701,10
46,47,,Luke List,70.12,1192,17
47,48,,Jon Rahm,70.13,561,8
48,T49,,Brian Gay,70.17,842,12
49,T49,,Sung Kang,70.17,1263,18
50,T49,,Ben Martin,70.17,842,12
51,52,,Trey Mullinax,70.18,772,11
52,53,,Tony Finau,70.19,1123,16
53,54,,Brooks Koepka,70.2,1053,15
54,55,,J.T. Poston,70.23,913,13
55,56,,Robert Garrigus,70.25,843,12
56,T57,,Daniel Berger,70.27,773,11
57,T57,,Morgan Hoffmann,70.27,773,11
58,59,,Martin Flores,70.3,703,10
59,T60,,C.T. Pan,70.31,914,13
60,T60,,Nick Taylor,70.31,1125,16
61,T62,,Shane Lowry,70.33,633,9
62,T62,,Tag Ridings,70.33,633,9
63,64,,K.J. Choi,70.36,774,11
64,T65,,Mackenzie Hughes,70.4,1056,15
65,T65,,Patrick Reed,70.4,1056,15
66,T65,,Jimmy Walker,70.4,704,10
67,T68,,Scott Brown,70.44,1127,16
68,T68,,Wesley Bryan,70.44,1127,16
69,T68,,Jason Day,70.44,634,9
70,71,,Ian Poulter,70.45,775,11
71,72,,Webb Simpson,70.46,916,13
72,T73,,Robert Streb,70.47,1057,15
73,T73,,Gary Woodland,70.47,1198,17
74,T75,,Ben Crane,70.5,846,12
75,T75,,Martin Laird,70.5,846,12
76,T75,,Xander Schauffele,70.5,987,14
77,T75,,Camilo Villegas,70.5,846,12
78,T79,,Billy Hurley III,70.53,1058,15
79,T79,,Kevin Kisner,70.53,1058,15
80,T79,,Tyrone Van Aswegen,70.53,1058,15
81,82,,Shawn Stefani,70.54,917,13
82,83,,Dominic Bozzelli,70.55,776,11
83,84,,Brandt Snedeker,70.57,494,7
84,85,,Richy Werenski,70.6,706,10
85,T86,,Jim Herman,70.62,918,13
86,T86,,Grayson Murray,70.62,918,13
87,T86,,Brian Stuard,70.62,918,13
88,89,,Charl Schwartzel,70.63,565,8
89,90,,Matt Kuchar,70.64,989,14
90,T91,,Aaron Baddeley,70.67,636,9
91,T91,,Jason Kokrak,70.67,848,12
92,T91,,Chez Reavie,70.67,1060,15
93,T91,,Adam Scott,70.67,424,6
94,95,,Cameron Percy,70.7,707,10
95,96,,Dustin Johnson,70.73,778,11
96,97,,James Hahn,70.75,1132,16
97,98,,David Lingmerth,70.77,920,13
98,99,,Luke Donald,70.78,637,9
99,T100,,Alex Cejka,70.79,991,14
100,T100,,Emiliano Grillo,70.79,991,14
101,T102,,Scott Piercy,70.8,708,10
102,T102,,Michael Thompson,70.8,708,10
103,T104,,Pat Perez,70.82,779,11
104,T104,,Kyle Reifers,70.82,1204,17
105,T104,,J.J. Spaun,70.82,779,11
106,T107,,Bud Cauley,70.85,921,13
107,T107,,Patton Kizzire,70.85,921,13
108,T107,,Bryce Molder,70.85,921,13
109,T110,,Bryson DeChambeau,70.92,922,13
110,T110,,Ken Duke,70.92,922,13
111,T110,,Ryo Ishikawa,70.92,851,12
112,T110,,Daniel Summerhays,70.92,922,13
113,114,,Brett Stegmaier,70.93,993,14
114,T115,,Greg Chalmers,71.0,994,14
115,T115,,Gonzalo Fernandez-Castaño,71.0,710,10
116,T115,,Cody Gribble,71.0,994,14
117,T115,,Mark Hubbard,71.0,923,13
118,T115,,Søren Kjeldsen,71.0,497,7
119,T115,,Russell Knox,71.0,923,13
120,T115,,Rick Lamb,71.0,710,10
121,T115,,Jamie Lovemark,71.0,852,12
122,T115,,Kevin Na,71.0,639,9
123,T115,,Scott Stallings,71.0,781,11
124,T115,,Chris Stroud,71.0,710,10
125,126,,Zac Blair,71.07,995,14
126,T127,,J.B. Holmes,71.08,924,13
127,T127,,Whee Kim,71.08,924,13
128,129,,Hideki Matsuyama,71.09,782,11
129,130,,Francesco Molinari,71.11,640,9
130,T131,,Julián Etulain,71.13,569,8
131,T131,,Jim Furyk,71.13,569,8
132,T131,,Spencer Levin,71.13,1138,16
133,T131,,Nick Watney,71.13,569,8
134,135,,Anirban Lahiri,71.18,783,11
135,136,,Jonas Blixt,71.2,1068,15
136,137,,Bubba Watson,71.22,641,9
137,138,,Jason Bohn,71.27,1069,15
138,T139,,Derek Fathauer,71.31,927,13
139,T139,,Hunter Mahan,71.31,927,13
140,T141,,Brett Drewitt,71.33,642,9
141,T141,,Retief Goosen,71.33,642,9
142,T141,,Seung-Yul Noh,71.33,1070,15
143,144,,Brian Campbell,71.36,785,11
144,T145,,J.J. Henry,71.38,1142,16
145,T145,,William McGirt,71.38,928,13
146,T145,,Brendan Steele,71.38,928,13
147,T148,,Byeong Hun An,71.4,714,10
148,T148,,Mark Anderson,71.4,714,10
149,T148,,Ryan Armour,71.4,714,10
150,T148,,Ryan Brehm,71.4,714,10
151,T152,,Blayne Barber,71.42,857,12
152,T152,,Chris Kirk,71.42,857,12
153,154,,Danny Lee,71.43,1000,14
154,155,,Johnson Wagner,71.45,786,11
155,T156,,Steven Alker,71.5,715,10
156,T156,,Graeme McDowell,71.5,715,10
157,T156,,Ryan Palmer,71.5,572,8
158,159,,Nicholas Lindheim,71.56,644,9
159,160,,Charley Hoffman,71.6,1074,15
160,161,,Jonathan Randolph,71.64,788,11
161,162,,Chad Collins,71.69,932,13
162,163,,Tim Wilkinson,71.7,717,10
163,164,,Troy Merritt,71.73,1076,15
164,T165,,Kevin Chappell,71.75,574,8
165,T165,,Brad Fritsch,71.75,574,8
166,T167,,Zach Johnson,71.82,790,11
167,T167,,Ryan Moore,71.82,790,11
168,T169,,Harris English,71.83,862,12
169,T169,,Fabián Gómez,71.83,862,12
170,T169,,Branden Grace,71.83,862,12
171,172,,Smylie Kaufman,71.85,934,13
172,173,,Jhonattan Vegas,71.86,1006,14
173,T174,,Roberto Castro,71.89,647,9
174,T174,,Andrew Loupe,71.89,647,9
175,176,,Sean O'Hair,72.1,721,10
176,177,,Billy Horschel,72.21,1011,14
177,178,,Carl Pettersson,72.29,1012,14
178,179,,Louis Oosthuizen,72.3,723,10
179,T180,,Ernie Els,72.5,725,10
180,T180,,Peter Malnati,72.5,1015,14
181,T180,,Geoff Ogilvy,72.5,870,12
182,183,,Miguel Angel Carballo,72.57,508,7
183,184,,Patrick Rodgers,72.6,1089,15
184,185,,Matt Every,72.81,1165,16
185,186,,Steve Wheatcroft,72.88,583,8
186,187,,Kelly Kraft,73.0,949,13
187,188,,Si Woo Kim,73.93,1035,14
188,189,,Steven Bowditch,74.33,1115,15
189,190,,Rafa Cabrera Bello,74.38,595,8
