,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,,Jonathan Randolph,68.56,617,9
1,2,,Charles Howell III,68.67,618,9
2,3,,Paul Casey,68.7,687,10
3,4,,Jordan Spieth,68.71,481,7
4,5,,Dustin Johnson,68.75,550,8
5,6,,Jon Rahm,68.79,963,14
6,7,,David Lingmerth,69.11,622,9
7,8,,Tim Wilkinson,69.33,624,9
8,9,,Matt Kuchar,69.36,763,11
9,10,,Ian Poulter,69.38,555,8
10,T11,,Seamus Power,69.4,694,10
11,T11,,Brendan Steele,69.4,694,10
12,13,,Ben Crane,69.42,833,12
13,14,,Rickie Fowler,69.5,695,10
14,15,,Seung-Yul Noh,69.57,974,14
15,T16,,Patrick Cantlay,69.67,418,6
16,T16,,Charley Hoffman,69.67,1045,15
17,T16,,Nick Taylor,69.67,836,12
18,19,,Gary Woodland,69.71,488,7
19,20,,Jim Herman,69.82,768,11
20,21,,Hideki Matsuyama,69.89,629,9
21,22,,Stewart Cink,69.92,909,13
22,T23,,Michael Kim,70.0,840,12
23,T23,,Chris Kirk,70.0,980,14
24,T23,,Kevin Kisner,70.0,770,11
25,T23,,Marc Leishman,70.0,840,12
26,T23,,Cameron Percy,70.0,700,10
27,T23,,Steve Wheatcroft,70.0,560,8
28,T29,,Martin Flores,70.07,1051,15
29,T29,,Sean O'Hair,70.07,1051,15
30,T29,,Daniel Summerhays,70.07,981,14
31,T32,,Kyle Stanley,70.08,911,13
32,T32,,Nick Watney,70.08,911,13
33,34,,Shawn Stefani,70.09,771,11
34,35,,Rafa Cabrera Bello,70.1,701,10
35,T36,,Zac Blair,70.13,1122,16
36,T36,,Jamie Lovemark,70.13,1052,15
37,T38,,Brian Campbell,70.14,491,7
38,T38,,Tom Hoge,70.14,491,7
39,T38,,Webb Simpson,70.14,982,14
40,41,,Xander Schauffele,70.15,912,13
41,42,,Graham DeLaet,70.17,842,12
42,43,,Troy Merritt,70.18,772,11
43,44,,Ryan Palmer,70.2,702,10
44,T45,,Ryan Armour,70.22,632,9
45,T45,,Phil Mickelson,70.22,632,9
46,T45,,Tag Ridings,70.22,632,9
47,T48,,J.T. Poston,70.23,913,13
48,T48,,Kevin Streelman,70.23,913,13
49,50,,Blayne Barber,70.27,773,11
50,51,,Ryan Blaum,70.31,914,13
51,T52,,Mark Hubbard,70.33,844,12
52,T52,,Kelly Kraft,70.33,844,12
53,T52,,Michael Thompson,70.33,633,9
54,55,,Peter Malnati,70.38,915,13
55,56,,Hudson Swafford,70.4,1056,15
56,57,,Bud Cauley,70.43,986,14
