,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,,Paul Casey,24,100.0,5.0
1,T1,,Jason Day,20,100.0,5.0
2,T1,,Rickie Fowler,21,100.0,2.0
3,T1,,Dustin Johnson,20,100.0,5.0
4,T1,,Danny Lee,32,100.0,8.0
5,T1,,Marc Leishman,25,100.0,6.0
6,T1,,Andrew Loupe,21,100.0,2.0
7,T1,,Hideki Matsuyama,22,100.0,7.0
8,T1,,Brandt Snedeker,15,100.0,3.0
9,T1,,Jordan Spieth,23,100.0,3.0
10,11,,Andres Gonzales,24,88.9,8.0
11,12,,Luke List,31,87.5,7.0
12,T13,,Matt Kuchar,26,85.7,6.0
13,T13,,Adam Scott,16,85.7,6.0
14,T15,,Robert Garrigus,26,83.3,5.0
15,T15,,Søren Kjeldsen,17,83.3,5.0
16,T15,,Justin Thomas,25,83.3,5.0
17,T18,,Tony Finau,29,81.8,9.0
18,T18,,Spencer Levin,31,81.8,9.0
19,T18,,Ian Poulter,20,81.8,9.0
20,T18,,Hudson Swafford,28,81.8,9.0
21,T18,,Gary Woodland,26,81.8,9.0
22,T23,,Gonzalo Fernandez-Castaño,22,80.0,4.0
23,T23,,Ryan Palmer,20,80.0,4.0
24,T25,,Ben Martin,27,77.8,7.0
25,T25,,Cameron Percy,23,77.8,7.0
26,T25,,Bubba Watson,22,77.8,7.0
27,T28,,Jonas Blixt,25,75.0,6.0
28,T28,,Brian Campbell,20,75.0,3.0
29,T28,,Greg Chalmers,28,75.0,6.0
30,T28,,Jamie Lovemark,28,75.0,6.0
31,T28,,Graeme McDowell,17,75.0,6.0
32,T28,,Rory McIlroy,14,75.0,3.0
33,T28,,Phil Mickelson,22,75.0,6.0
34,T28,,Chez Reavie,28,75.0,6.0
35,36,,Mackenzie Hughes,31,73.3,11.0
36,T37,,Stewart Cink,26,72.7,8.0
37,T37,,Emiliano Grillo,25,72.7,8.0
38,T37,,Xander Schauffele,28,72.7,8.0
39,T40,,Jason Dufner,24,71.4,5.0
40,T40,,Branden Grace,20,71.4,5.0
41,T40,,Patrick Reed,29,71.4,10.0
42,T40,,Rory Sabbatini,23,71.4,5.0
43,T40,,Charl Schwartzel,18,71.4,5.0
44,T45,,Martin Flores,27,70.0,7.0
45,T45,,Brandon Hagy,26,70.0,7.0
46,T45,,Billy Hurley III,25,70.0,7.0
47,T45,,Sean O'Hair,25,70.0,7.0
48,T45,,Kyle Stanley,29,70.0,7.0
49,50,,Zac Blair,32,69.2,9.0
50,T51,,Byeong Hun An,22,66.7,6.0
51,T51,,Aaron Baddeley,20,66.7,4.0
52,T51,,Rafa Cabrera Bello,19,66.7,4.0
53,T51,,Bryson DeChambeau,31,66.7,6.0
54,T51,,Luke Donald,18,66.7,2.0
55,T51,,Harris English,27,66.7,6.0
56,T51,,Sergio Garcia,17,66.7,2.0
57,T51,,Lucas Glover,26,66.7,6.0
58,T51,,Adam Hadwin,28,66.7,6.0
59,T51,,Brooks Koepka,24,66.7,4.0
60,T51,,Jason Kokrak,28,66.7,8.0
61,T51,,Anirban Lahiri,22,66.7,6.0
62,T51,,Francesco Molinari,21,66.7,4.0
63,T51,,Kyle Reifers,32,66.7,6.0
64,T51,,Webb Simpson,28,66.7,8.0
65,T51,,Chris Stroud,22,66.7,4.0
66,T51,,Michael Thompson,21,66.7,4.0
67,T51,,Kevin Tway,27,66.7,8.0
68,T51,,Nick Watney,23,66.7,6.0
69,70,,J.J. Spaun,29,64.3,9.0
70,T71,,Charley Hoffman,31,63.6,7.0
71,T71,,D.A. Points,22,63.6,7.0
72,T73,,Scott Brown,29,62.5,5.0
73,T73,,K.J. Choi,25,62.5,5.0
74,T73,,Russell Henley,27,62.5,5.0
75,T73,,Smylie Kaufman,26,62.5,5.0
76,T73,,Kelly Kraft,27,62.5,5.0
77,T73,,Martin Laird,25,62.5,5.0
78,T73,,Louis Oosthuizen,18,62.5,5.0
79,T73,,Pat Perez,26,62.5,5.0
80,T73,,Tim Wilkinson,22,62.5,5.0
81,82,,Ricky Barnes,31,61.5,8.0
82,T83,,Keegan Bradley,29,60.0,9.0
83,T83,,Julián Etulain,22,60.0,6.0
84,T83,,Sung Kang,32,60.0,6.0
85,T83,,Grayson Murray,30,60.0,6.0
86,T83,,Seamus Power,25,60.0,6.0
87,T83,,Brendan Steele,25,60.0,6.0
88,T89,,Bud Cauley,28,58.3,7.0
89,T89,,Alex Cejka,28,58.3,7.0
90,T89,,Kevin Chappell,27,58.3,7.0
91,T92,,Dominic Bozzelli,24,57.1,4.0
92,T92,,Wesley Bryan,28,57.1,8.0
93,T92,,Ernie Els,20,57.1,4.0
94,T92,,Jim Herman,25,57.1,4.0
95,T92,,Tom Hoge,17,57.1,4.0
96,T92,,Matt Jones,20,57.1,4.0
97,T98,,Blayne Barber,25,55.6,5.0
98,T98,,Graham DeLaet,25,55.6,5.0
99,T98,,Brett Drewitt,19,55.6,5.0
100,T98,,Derek Fathauer,27,55.6,5.0
101,T98,,Brian Harman,30,55.6,5.0
102,T98,,William McGirt,28,55.6,5.0
103,T98,,C.T. Pan,29,55.6,5.0
104,T98,,Tag Ridings,20,55.6,5.0
105,T98,,Sam Saunders,24,55.6,5.0
106,T107,,Ben Crane,26,54.5,6.0
107,T107,,John Huh,28,54.5,6.0
108,T107,,Rod Pampling,22,54.5,6.0
109,T107,,Robert Streb,30,54.5,6.0
110,T107,,Tyrone Van Aswegen,32,54.5,6.0
111,T112,,Kevin Kisner,28,53.8,7.0
112,T112,,Peter Malnati,29,53.8,7.0
113,114,,Vaughn Taylor,26,53.3,8.0
114,T115,,Mark Anderson,20,50.0,2.0
115,T115,,Ryan Brehm,25,50.0,6.0
116,T115,,Chad Campbell,29,50.0,4.0
117,T115,,Roberto Castro,25,50.0,4.0
118,T115,,Ken Duke,26,50.0,6.0
119,T115,,Fabián Gómez,21,50.0,3.0
120,T115,,Bill Haas,25,50.0,4.0
121,T115,,James Hahn,28,50.0,6.0
122,T115,,Morgan Hoffmann,29,50.0,4.0
123,T115,,David Lingmerth,23,50.0,4.0
124,T115,,Shane Lowry,16,50.0,2.0
125,T115,,Ryan Moore,24,50.0,3.0
126,T115,,Trey Mullinax,28,50.0,5.0
127,T115,,Kevin Na,26,50.0,6.0
128,T115,,Seung-Yul Noh,31,50.0,5.0
129,T115,,Scott Piercy,22,50.0,3.0
130,T115,,J.T. Poston,28,50.0,7.0
131,T115,,Jonathan Randolph,22,50.0,3.0
132,T115,,Patrick Rodgers,27,50.0,2.0
133,T115,,Scott Stallings,27,50.0,4.0
134,T115,,Shawn Stefani,26,50.0,4.0
135,T115,,Camilo Villegas,25,50.0,4.0
136,T115,,Boo Weekley,27,50.0,4.0
137,138,,Harold Varner III,31,46.2,6.0
138,T139,,Ryan Blaum,29,45.5,5.0
139,T139,,David Hearn,29,45.5,5.0
140,T139,,Ollie Schniederjans,28,45.5,5.0
141,T142,,Steven Alker,23,44.4,4.0
142,T142,,Charles Howell III,23,44.4,4.0
143,T142,,Zach Johnson,23,44.4,4.0
144,T142,,Geoff Ogilvy,25,44.4,4.0
145,T142,,Brett Stegmaier,27,44.4,4.0
146,T147,,Jim Furyk,18,42.9,3.0
147,T147,,Ryo Ishikawa,20,42.9,3.0
148,T147,,Nicholas Lindheim,21,42.9,3.0
149,T147,,Richy Werenski,26,42.9,3.0
150,151,,Michael Kim,28,41.7,5.0
151,T152,,J.B. Holmes,23,40.0,4.0
152,T152,,Mark Hubbard,27,40.0,4.0
153,T152,,Rick Lamb,19,40.0,2.0
154,T152,,Troy Merritt,28,40.0,2.0
155,T152,,Cameron Tringale,28,40.0,4.0
156,T152,,Jhonattan Vegas,29,40.0,4.0
157,T152,,Johnson Wagner,26,40.0,2.0
158,T152,,Jimmy Walker,21,40.0,2.0
159,T160,,Ryan Armour,20,37.5,3.0
160,T160,,Brad Fritsch,18,37.5,3.0
161,T160,,Kevin Streelman,26,37.5,3.0
162,T163,,J.J. Henry,29,36.4,4.0
163,T163,,Nick Taylor,29,36.4,4.0
164,T165,,Miguel Angel Carballo,22,33.3,3.0
165,T165,,Whee Kim,27,33.3,1.0
166,T165,,Si Woo Kim,30,33.3,3.0
167,T165,,Chris Kirk,28,33.3,3.0
168,T165,,Russell Knox,24,33.3,2.0
169,T165,,Justin Rose,18,33.3,1.0
170,T165,,Cameron Smith,26,33.3,2.0
171,T165,,Brian Stuard,31,33.3,3.0
172,T165,,Steve Wheatcroft,17,33.3,2.0
173,174,,Daniel Summerhays,29,31.3,5.0
174,175,,Billy Horschel,28,30.0,3.0
175,T176,,Daniel Berger,26,25.0,2.0
176,T176,,Chad Collins,26,25.0,1.0
177,T176,,Brian Gay,25,25.0,2.0
178,T176,,Cody Gribble,28,25.0,2.0
179,T176,,Sebastián Muñoz,17,25.0,1.0
180,T176,,Jon Rahm,23,25.0,1.0
181,T182,,Patton Kizzire,28,22.2,2.0
182,T182,,Bryce Molder,26,22.2,2.0
183,184,,Patrick Cantlay,13,20.0,1.0
184,185,,Jason Bohn,28,16.7,1.0
185,186,,Hunter Mahan,26,14.3,1.0
186,T187,,Steven Bowditch,27,0.0,
187,T187,,Matt Every,30,0.0,
188,T187,,Retief Goosen,19,0.0,
189,T187,,Carl Pettersson,27,0.0,
