,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,T1,,Daniel Berger,66.0,66,1
1,T1,,Phil Mickelson,66.0,66,1
2,3,,Patrick Cantlay,67.33,202,3
3,4,,Bryson DeChambeau,67.8,339,5
4,T5,,Gonzalo Fernandez-Castaño,68.0,204,3
5,T5,,Matt Kuchar,68.0,68,1
6,T5,,Rory McIlroy,68.0,68,1
7,T5,,Justin Rose,68.0,68,1
8,T5,,Bubba Watson,68.0,68,1
9,T10,,Ryan Armour,68.5,274,4
10,T10,,Louis Oosthuizen,68.5,274,4
11,T10,,Charl Schwartzel,68.5,137,2
12,13,,Seamus Power,68.67,412,6
13,T14,,Kevin Na,69.0,138,2
14,T14,,Seung-Yul Noh,69.0,138,2
15,T14,,Patrick Reed,69.0,207,3
16,T14,,Brandt Snedeker,69.0,69,1
17,18,,Lucas Glover,69.17,415,6
18,19,,Luke List,69.22,623,9
19,T20,,Kevin Kisner,69.25,277,4
20,T20,,Francesco Molinari,69.25,277,4
21,22,,Cameron Tringale,69.33,416,6
22,T23,,Charles Howell III,69.43,486,7
23,T23,,Nick Taylor,69.43,486,7
24,T25,,Robert Garrigus,69.5,278,4
25,T25,,Adam Hadwin,69.5,278,4
26,T25,,Matt Jones,69.5,139,2
27,T25,,Ollie Schniederjans,69.5,556,8
28,T25,,Richy Werenski,69.5,417,6
29,T30,,Morgan Hoffmann,69.67,209,3
30,T30,,C.T. Pan,69.67,418,6
31,T30,,Chez Reavie,69.67,627,9
32,33,,Alex Cejka,69.71,488,7
33,T34,,Fabián Gómez,69.75,279,4
34,T34,,Russell Henley,69.75,279,4
35,T34,,Zach Johnson,69.75,279,4
36,37,,Andrew Loupe,69.8,349,5
37,T38,,Mark Hubbard,69.83,419,6
38,T38,,Kyle Stanley,69.83,419,6
39,T40,,Kevin Tway,69.86,489,7
40,T40,,Harold Varner III,69.86,489,7
41,T42,,J.J. Henry,69.9,699,10
42,T42,,Sung Kang,69.9,699,10
43,T44,,Mark Anderson,70.0,210,3
44,T44,,Brooks Koepka,70.0,140,2
45,T44,,Trey Mullinax,70.0,70,1
46,T44,,D.A. Points,70.0,350,5
47,48,,Stewart Cink,70.17,421,6
48,T49,,Martin Flores,70.25,281,4
49,T49,,Billy Horschel,70.25,281,4
50,51,,Martin Laird,70.29,492,7
51,T52,,Emiliano Grillo,70.33,422,6
52,T52,,Tom Hoge,70.33,211,3
53,T52,,Scott Stallings,70.33,211,3
54,55,,Tyrone Van Aswegen,70.38,563,8
55,T56,,Andres Gonzales,70.43,493,7
56,T56,,Peter Malnati,70.43,493,7
57,T58,,Ernie Els,70.5,141,2
58,T58,,J.B. Holmes,70.5,564,8
59,T58,,Scott Piercy,70.5,282,4
60,61,,Smylie Kaufman,70.56,635,9
61,T62,,Charley Hoffman,70.57,494,7
62,T62,,Sam Saunders,70.57,494,7
63,T64,,Anirban Lahiri,70.6,353,5
64,T64,,Nicholas Lindheim,70.6,353,5
65,66,,Retief Goosen,70.63,565,8
66,T67,,Chris Kirk,70.67,636,9
67,T67,,Bryce Molder,70.67,424,6
68,T67,,Jhonattan Vegas,70.67,424,6
69,70,,Danny Lee,70.7,707,10
70,71,,Robert Streb,70.71,495,7
71,72,,Kevin Streelman,70.73,778,11
72,73,,Jason Dufner,70.75,283,4
73,74,,Brian Gay,70.78,637,9
74,T75,,Branden Grace,70.8,354,5
75,T75,,Carl Pettersson,70.8,354,5
76,T77,,Ryo Ishikawa,70.83,425,6
77,T77,,Patrick Rodgers,70.83,425,6
78,79,,David Lingmerth,70.86,496,7
79,80,,Mackenzie Hughes,70.88,567,8
80,81,,Ricky Barnes,70.91,780,11
81,T82,,Paul Casey,71.0,213,3
82,T82,,Roberto Castro,71.0,355,5
83,T82,,Greg Chalmers,71.0,710,10
84,T82,,Kevin Chappell,71.0,284,4
85,T82,,Graeme McDowell,71.0,213,3
86,T82,,William McGirt,71.0,568,8
87,T82,,Tag Ridings,71.0,355,5
88,T82,,Vaughn Taylor,71.0,497,7
89,T82,,Steve Wheatcroft,71.0,142,2
90,T91,,Tony Finau,71.1,711,10
91,T91,,James Hahn,71.1,711,10
92,T91,,Patton Kizzire,71.1,711,10
93,T94,,Billy Hurley III,71.14,498,7
94,T94,,Jason Kokrak,71.14,498,7
95,T94,,Sean O'Hair,71.14,498,7
96,T94,,Hudson Swafford,71.14,498,7
97,T94,,Camilo Villegas,71.14,498,7
98,99,,Shane Lowry,71.17,427,6
99,T100,,Byeong Hun An,71.2,356,5
100,T100,,Nick Watney,71.2,356,5
101,T102,,Keegan Bradley,71.25,570,8
102,T102,,Brad Fritsch,71.25,285,4
103,T102,,Jamie Lovemark,71.25,285,4
104,T102,,Ryan Moore,71.25,285,4
105,T102,,J.J. Spaun,71.25,285,4
106,T102,,Daniel Summerhays,71.25,285,4
107,T108,,Chad Campbell,71.29,499,7
108,T108,,Luke Donald,71.29,499,7
109,T108,,Brett Drewitt,71.29,499,7
110,T108,,Webb Simpson,71.29,499,7
111,T112,,Blayne Barber,71.4,357,5
112,T112,,Wesley Bryan,71.4,357,5
113,T112,,Brian Campbell,71.4,357,5
114,T112,,Ben Crane,71.4,357,5
115,T116,,Aaron Baddeley,71.5,286,4
116,T116,,Harris English,71.5,572,8
117,T116,,David Hearn,71.5,286,4
118,T116,,Russell Knox,71.5,429,6
119,T116,,Cameron Percy,71.5,143,2
120,T116,,Rory Sabbatini,71.5,572,8
121,122,,Ryan Blaum,71.55,787,11
122,123,,Boo Weekley,71.56,644,9
