,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,,Jordan Spieth,23,2.05,160,78
1,2,,Paul Casey,24,2.11,190,90
2,3,,Chad Campbell,29,2.18,211,97
3,T4,,Dustin Johnson,20,2.2,154,70
4,T4,,Chez Reavie,28,2.2,209,95
5,6,,Patrick Cantlay,13,2.21,106,48
6,T7,,Lucas Glover,26,2.23,201,90
7,T7,,Webb Simpson,28,2.23,221,99
8,9,,Rickie Fowler,21,2.24,170,76
9,10,,Hideki Matsuyama,22,2.26,172,76
10,11,,Zac Blair,32,2.3,228,99
11,T12,,Tony Finau,29,2.32,241,104
12,T12,,Adam Hadwin,28,2.32,227,98
13,T12,,Charles Howell III,23,2.32,190,82
14,T12,,Matt Kuchar,26,2.32,213,92
15,16,,Jon Rahm,23,2.33,193,83
16,17,,Sergio Garcia,17,2.34,145,62
17,T18,,Martin Flores,27,2.35,190,81
18,T18,,Ian Poulter,20,2.35,160,68
19,T20,,Louis Oosthuizen,18,2.37,147,62
20,T20,,Cameron Percy,23,2.37,154,65
21,T20,,Justin Thomas,25,2.37,187,79
22,23,,Pat Perez,26,2.39,215,90
23,T24,,Bill Haas,25,2.4,204,85
24,T24,,Brian Harman,30,2.4,240,100
25,T24,,John Huh,28,2.4,211,88
26,T27,,Tom Hoge,17,2.41,111,46
27,T27,,Marc Leishman,25,2.41,217,90
28,T27,,J.T. Poston,28,2.41,210,87
29,30,,Brian Gay,25,2.42,189,78
30,T31,,Seamus Power,25,2.43,194,80
31,T31,,Tim Wilkinson,22,2.43,141,58
32,33,,Vaughn Taylor,26,2.44,205,84
33,T34,,Daniel Berger,26,2.45,211,86
34,T34,,C.T. Pan,29,2.45,211,86
35,T36,,Andres Gonzales,24,2.46,170,69
36,T36,,Hudson Swafford,28,2.46,221,90
37,T36,,Richy Werenski,26,2.46,182,74
38,T39,,Ryan Armour,20,2.47,146,59
39,T39,,Jim Furyk,18,2.47,126,51
40,T41,,Mark Anderson,20,2.48,129,52
41,T41,,Blayne Barber,25,2.48,176,71
42,T41,,Gonzalo Fernandez-Castaño,22,2.48,139,56
43,T44,,Alex Cejka,28,2.49,192,77
44,T44,,Martin Laird,25,2.49,207,83
45,T44,,Geoff Ogilvy,25,2.49,179,72
46,T44,,Xander Schauffele,28,2.49,229,92
47,T44,,Gary Woodland,26,2.49,222,89
48,T49,,Bud Cauley,28,2.5,220,88
49,T49,,Francesco Molinari,21,2.5,180,72
50,T49,,Brandt Snedeker,15,2.5,125,50
51,T49,,J.J. Spaun,29,2.5,215,86
52,T53,,David Hearn,29,2.51,213,85
53,T53,,Mark Hubbard,27,2.51,186,74
54,55,,Russell Henley,27,2.52,244,97
55,T56,,Chris Kirk,28,2.53,210,83
56,T56,,Shawn Stefani,26,2.53,172,68
57,T58,,Graham DeLaet,25,2.54,193,76
58,T58,,Branden Grace,20,2.54,160,63
59,T58,,James Hahn,28,2.54,244,96
60,T58,,Jamie Lovemark,28,2.54,244,96
61,T58,,Rory McIlroy,14,2.54,122,48
62,63,,Ryo Ishikawa,20,2.55,143,56
63,T64,,Aaron Baddeley,20,2.56,146,57
64,T64,,Keegan Bradley,29,2.56,261,102
65,T64,,Stewart Cink,26,2.56,238,93
66,T64,,Kyle Stanley,29,2.56,256,100
67,T68,,Whee Kim,27,2.57,185,72
68,T68,,Kevin Na,26,2.57,211,82
69,T70,,Harris English,27,2.58,196,76
70,T70,,Kevin Streelman,26,2.58,227,88
71,T72,,Peter Malnati,29,2.59,220,85
72,T72,,Nick Watney,23,2.59,179,69
73,74,,Spencer Levin,31,2.6,221,85
74,T75,,K.J. Choi,25,2.61,172,66
75,T75,,Robert Garrigus,26,2.61,188,72
76,T75,,Morgan Hoffmann,29,2.61,230,88
77,T75,,Patrick Reed,29,2.61,261,100
78,T75,,Chris Stroud,22,2.61,154,59
79,T80,,Ben Crane,26,2.62,207,79
80,T80,,Adam Scott,16,2.62,152,58
81,T80,,Nick Taylor,29,2.62,249,95
82,T83,,Ryan Blaum,29,2.63,252,96
83,T83,,Scott Brown,29,2.63,239,91
84,T83,,Luke Donald,18,2.63,126,48
85,T83,,Ben Martin,27,2.63,208,79
86,T83,,Rory Sabbatini,23,2.63,171,65
87,T88,,Ricky Barnes,31,2.64,243,92
88,T88,,Matt Jones,20,2.64,148,56
89,T88,,Kevin Kisner,28,2.64,259,98
90,T88,,Rick Lamb,19,2.64,132,50
91,T88,,Justin Rose,18,2.64,169,64
92,T93,,Julián Etulain,22,2.65,167,63
93,T93,,J.J. Henry,29,2.65,228,86
94,T93,,David Lingmerth,23,2.65,199,75
95,T93,,Brendan Steele,25,2.65,223,84
96,T93,,Johnson Wagner,26,2.65,167,63
97,98,,Phil Mickelson,22,2.66,213,80
98,T99,,Luke List,31,2.67,262,98
99,T99,,William McGirt,28,2.67,222,83
100,T99,,Kevin Tway,27,2.67,235,88
101,T99,,Tyrone Van Aswegen,32,2.67,259,97
102,T103,,Jim Herman,25,2.68,201,75
103,T103,,Troy Merritt,28,2.68,204,76
104,T103,,Ollie Schniederjans,28,2.68,233,87
105,T103,,Camilo Villegas,25,2.68,193,72
106,T107,,Danny Lee,32,2.69,239,89
107,T107,,Robert Streb,30,2.69,253,94
108,T109,,Zach Johnson,23,2.7,208,77
109,T109,,Seung-Yul Noh,31,2.7,235,87
110,T109,,Sean O'Hair,25,2.7,227,84
111,T112,,Ryan Brehm,25,2.71,209,77
112,T112,,Fabián Gómez,21,2.71,160,59
113,T112,,Charley Hoffman,31,2.71,293,108
114,T112,,Billy Horschel,28,2.71,233,86
115,T112,,Shane Lowry,16,2.71,133,49
116,T112,,Harold Varner III,31,2.71,268,99
117,T118,,Retief Goosen,19,2.72,125,46
118,T118,,Michael Kim,28,2.72,245,90
119,T118,,Cameron Tringale,28,2.72,226,83
120,T118,,Jhonattan Vegas,29,2.72,245,90
121,T122,,Chad Collins,26,2.73,169,62
122,T122,,Kyle Reifers,32,2.73,240,88
123,T122,,Charl Schwartzel,18,2.73,164,60
