,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,,Jordan Spieth,85,34.37,2681,78
1,2,,Jason Day,71,34.64,2286,66
2,3,,Marc Leishman,94,34.66,3119,90
3,4,,Hideki Matsuyama,83,34.67,2635,76
4,T5,,Rickie Fowler,78,34.68,2636,76
5,T5,,Justin Thomas,86,34.68,2740,79
6,7,,Dustin Johnson,77,34.69,2428,70
7,8,,Rory McIlroy,51,34.71,1666,48
8,9,,Chad Campbell,97,34.73,3369,97
9,T10,,Seamus Power,86,34.75,2780,80
10,T10,,Jon Rahm,90,34.75,2884,83
11,T12,,Daniel Berger,91,34.78,2991,86
12,T12,,Justin Rose,66,34.78,2226,64
13,T14,,Tony Finau,106,34.8,3619,104
14,T14,,Sung Kang,104,34.8,3550,102
15,T14,,Ollie Schniederjans,92,34.8,3028,87
16,T17,,Patrick Cantlay,52,34.81,1671,48
17,T17,,Ian Poulter,72,34.81,2367,68
18,19,,Charley Hoffman,112,34.83,3762,108
19,20,,Robert Garrigus,78,34.85,2509,72
20,T21,,Bill Haas,92,34.87,2964,85
21,T21,,Russell Henley,99,34.87,3382,97
22,T21,,Tom Hoge,54,34.87,1604,46
23,24,,Rory Sabbatini,71,34.88,2267,65
24,25,,Brendan Steele,89,34.9,2932,84
25,T26,,Brian Harman,104,34.93,3493,100
26,T26,,Phil Mickelson,85,34.93,2794,80
27,T26,,Xander Schauffele,96,34.93,3214,92
28,T29,,Martin Laird,83,34.94,2900,83
29,T29,,Pat Perez,93,34.94,3145,90
30,31,,Charles Howell III,86,34.95,2866,82
31,32,,Stewart Cink,93,34.96,3251,93
32,T33,,Brandon Hagy,85,34.97,2693,77
33,T33,,Francesco Molinari,75,34.97,2518,72
34,T35,,Paul Casey,94,34.99,3149,90
35,T35,,Webb Simpson,102,34.99,3464,99
36,37,,Sam Saunders,76,35.0,2450,70
37,T38,,Luke List,102,35.01,3431,98
38,T38,,Chez Reavie,98,35.01,3326,95
39,T40,,Jamie Lovemark,98,35.02,3362,96
40,T40,,Adam Scott,58,35.02,2031,58
41,T42,,Kyle Stanley,104,35.03,3503,100
42,T42,,Chris Stroud,67,35.03,2067,59
43,T42,,Camilo Villegas,76,35.03,2522,72
44,T45,,Andres Gonzales,73,35.04,2418,69
45,T45,,Zach Johnson,81,35.04,2698,77
46,47,,Tim Wilkinson,64,35.05,2033,58
47,T48,,Keegan Bradley,104,35.07,3577,102
48,T48,,Kevin Kisner,105,35.07,3437,98
49,50,,Lucas Glover,93,35.08,3157,90
50,T51,,Michael Kim,94,35.09,3158,90
51,T51,,Cameron Percy,71,35.09,2281,65
52,T51,,Nick Watney,75,35.09,2421,69
53,T54,,Brian Campbell,55,35.1,1790,51
54,T54,,Sebastián Muñoz,51,35.1,1720,49
55,T54,,Trey Mullinax,88,35.1,2878,82
56,T54,,Scott Stallings,81,35.1,2703,77
57,T58,,Jim Herman,77,35.11,2633,75
58,T58,,Patrick Reed,107,35.11,3511,100
59,T60,,Anirban Lahiri,72,35.13,2529,72
60,T60,,Ryan Palmer,61,35.13,1862,53
61,T60,,Hudson Swafford,94,35.13,3162,90
62,T63,,Ben Crane,86,35.14,2776,79
63,T63,,Brian Gay,82,35.14,2741,78
64,T63,,Brooks Koepka,88,35.14,2811,80
65,66,,Shawn Stefani,72,35.15,2390,68
66,T67,,Alex Cejka,85,35.16,2707,77
67,T67,,J.B. Holmes,83,35.16,2672,76
68,T67,,Matt Kuchar,95,35.16,3235,92
69,T67,,Brandt Snedeker,53,35.16,1758,50
70,T67,,Kevin Tway,96,35.16,3094,88
71,T72,,Adam Hadwin,98,35.17,3447,98
72,T72,,J.T. Poston,95,35.17,3060,87
73,T74,,Gonzalo Fernandez-Castaño,63,35.18,1970,56
74,T74,,Cameron Smith,86,35.18,2885,82
75,T74,,Vaughn Taylor,90,35.18,2955,84
76,T77,,Sergio Garcia,65,35.19,2182,62
77,T77,,David Lingmerth,79,35.19,2639,75
78,T79,,Ryan Armour,63,35.2,2077,59
79,T79,,David Hearn,93,35.2,2992,85
80,T79,,Mark Hubbard,81,35.2,2605,74
81,T79,,Gary Woodland,94,35.2,3133,89
82,T83,,Blayne Barber,77,35.21,2500,71
83,T83,,Ryan Blaum,100,35.21,3380,96
84,T85,,Kevin Na,86,35.22,2888,82
85,T85,,Nick Taylor,97,35.22,3346,95
86,T87,,Chris Kirk,89,35.23,2924,83
87,T87,,Russell Knox,75,35.23,2466,70
88,T87,,J.J. Spaun,92,35.23,3030,86
89,T90,,Bryson DeChambeau,91,35.25,3137,89
90,T90,,Martin Flores,88,35.25,2855,81
91,T90,,Branden Grace,70,35.25,2221,63
92,T90,,Danny Lee,93,35.25,3137,89
93,T90,,Ben Martin,86,35.25,2785,79
94,T90,,Tag Ridings,67,35.25,2080,59
95,T96,,Graham DeLaet,82,35.26,2680,76
96,T96,,Harold Varner III,101,35.26,3491,99
97,98,,Bud Cauley,92,35.28,3105,88
98,T99,,Zac Blair,105,35.29,3494,99
99,T99,,Scott Brown,95,35.29,3211,91
100,T99,,Billy Hurley III,80,35.29,2823,80
101,T99,,Whee Kim,74,35.29,2541,72
102,T99,,Johnson Wagner,71,35.29,2223,63
103,T104,,Byeong Hun An,77,35.31,2542,72
104,T104,,Mark Anderson,54,35.31,1836,52
105,T104,,Scott Piercy,70,35.31,2366,67
106,T104,,Richy Werenski,81,35.31,2613,74
107,T108,,Graeme McDowell,56,35.32,1978,56
108,T108,,Geoff Ogilvy,80,35.32,2543,72
109,T108,,Robert Streb,98,35.32,3320,94
110,T111,,Retief Goosen,52,35.33,1625,46
111,T111,,J.J. Henry,92,35.33,3038,86
112,T111,,Jonathan Randolph,68,35.33,2226,63
113,T114,,Fabián Gómez,61,35.36,2086,59
114,T114,,Morgan Hoffmann,92,35.36,3112,88
115,T116,,Louis Oosthuizen,69,35.37,2193,62
116,T116,,Bubba Watson,71,35.37,2228,63
117,T116,,Boo Weekley,75,35.37,2582,73
118,T119,,Jason Dufner,89,35.38,2901,82
119,T119,,Hunter Mahan,73,35.38,2512,71
120,T119,,Seung-Yul Noh,91,35.38,3078,87
121,122,,Matt Jones,64,35.39,1982,56
122,123,,Spencer Levin,89,35.4,3009,85
123,124,,Julián Etulain,68,35.41,2231,63
124,T125,,Mackenzie Hughes,106,35.42,3684,104
125,T125,,John Huh,92,35.42,3117,88
126,T125,,Rick Lamb,54,35.42,1771,50
127,T125,,Troy Merritt,82,35.42,2692,76
128,T125,,Sean O'Hair,84,35.42,2975,84
129,T125,,Jhonattan Vegas,95,35.42,3188,90
130,T131,,Kevin Streelman,90,35.43,3118,88
131,T131,,Michael Thompson,60,35.43,1984,56
132,133,,Tyrone Van Aswegen,105,35.44,3438,97
133,T134,,K.J. Choi,72,35.45,2340,66
134,T134,,Brett Drewitt,57,35.45,1879,53
135,T134,,Jim Furyk,54,35.45,1808,51
136,T137,,Jonas Blixt,74,35.46,2482,70
137,T137,,Kelly Kraft,75,35.46,2518,71
138,T137,,Daniel Summerhays,100,35.46,3333,94
139,T140,,Ricky Barnes,100,35.48,3264,92
140,T140,,Ryan Brehm,83,35.48,2732,77
141,T140,,Luke Donald,50,35.48,1703,48
142,T140,,Brad Fritsch,56,35.48,1845,52
143,T140,,Peter Malnati,91,35.48,3016,85
144,T145,,Steven Alker,69,35.49,2236,63
145,T145,,Wesley Bryan,95,35.49,3230,91
146,T145,,Kevin Chappell,95,35.49,3194,90
147,T145,,Emiliano Grillo,90,35.49,3088,87
148,T145,,James Hahn,96,35.49,3407,96
149,T145,,Jason Kokrak,95,35.49,3372,95
150,151,,Harris English,84,35.5,2698,76
151,152,,Ryan Moore,82,35.51,2805,79
152,153,,Grayson Murray,94,35.52,3197,90
153,T154,,Patton Kizzire,84,35.54,2701,76
154,T154,,Bryce Molder,74,35.54,2630,74
155,T154,,Cameron Tringale,89,35.54,2950,83
156,157,,William McGirt,89,35.55,2951,83
157,158,,Aaron Baddeley,61,35.56,2027,57
158,159,,Charl Schwartzel,63,35.57,2134,60
159,T160,,Cody Gribble,79,35.58,2740,77
160,T160,,Smylie Kaufman,76,35.58,2526,71
161,T162,,Dominic Bozzelli,69,35.6,2314,65
162,T162,,Billy Horschel,88,35.6,3062,86
163,164,,Shane Lowry,52,35.61,1745,49
164,T165,,C.T. Pan,88,35.62,3063,86
165,T165,,D.A. Points,68,35.62,2422,68
166,T165,,Patrick Rodgers,76,35.62,2636,74
167,T168,,Ken Duke,77,35.63,2530,71
168,T168,,Nicholas Lindheim,58,35.63,1995,56
169,T170,,Greg Chalmers,75,35.65,2531,71
170,T170,,Rod Pampling,71,35.65,2531,71
171,172,,Derek Fathauer,81,35.68,2676,75
172,173,,Jimmy Walker,68,35.69,2320,65
173,T174,,Carl Pettersson,63,35.71,2107,59
174,T174,,Brett Stegmaier,78,35.71,2714,76
