,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,,Charley Hoffman,112,423
1,2,,Tony Finau,106,415
2,3,,Luke List,102,391
3,4,,Keegan Bradley,104,383
4,5,,Kyle Stanley,104,380
5,6,,Sung Kang,104,377
6,7,,Patrick Reed,107,375
7,8,,Mackenzie Hughes,106,374
8,9,,Russell Henley,99,373
9,10,,Brian Harman,104,367
10,11,,Webb Simpson,102,364
11,12,,Stewart Cink,93,359
12,13,,Jamie Lovemark,98,357
13,14,,Adam Hadwin,98,356
14,15,,Xander Schauffele,96,355
15,T16,,Justin Thomas,86,354
16,T16,,Harold Varner III,101,354
17,18,,Kevin Kisner,105,353
18,T19,,Ryan Blaum,100,350
19,T19,,Grayson Murray,94,350
20,T19,,Jordan Spieth,85,350
21,22,,Chez Reavie,98,349
22,23,,Paul Casey,94,348
23,24,,Jason Kokrak,95,347
24,25,,Marc Leishman,94,343
25,26,,Jon Rahm,90,341
26,27,,Danny Lee,93,337
27,28,,Brooks Koepka,88,336
28,29,,Pat Perez,93,335
29,T30,,Lucas Glover,93,333
30,T30,,Matt Kuchar,95,333
31,T30,,J.T. Poston,95,333
32,T30,,Tyrone Van Aswegen,105,333
33,T34,,Kevin Chappell,95,332
34,T34,,Hudson Swafford,94,332
35,36,,Daniel Berger,91,331
36,37,,Ollie Schniederjans,92,330
37,38,,Michael Kim,94,329
38,39,,Gary Woodland,94,328
39,T40,,Zac Blair,105,326
40,T40,,Chad Campbell,97,326
41,T40,,Hideki Matsuyama,83,326
42,T43,,Rickie Fowler,78,325
43,T43,,James Hahn,96,325
44,T45,,Scott Brown,95,324
45,T45,,Robert Streb,98,324
46,T45,,Jhonattan Vegas,95,324
47,48,,Nick Taylor,97,322
48,49,,Bryson DeChambeau,91,321
49,T50,,Brendan Steele,89,320
50,T50,,Kevin Tway,96,320
51,52,,Seung-Yul Noh,91,317
52,T53,,Bud Cauley,92,316
53,T53,,Emiliano Grillo,90,316
54,55,,Trey Mullinax,88,315
55,56,,Daniel Summerhays,100,314
56,57,,Cameron Smith,86,313
57,58,,Kevin Na,86,312
58,T59,,Jason Dufner,89,310
59,T59,,Vaughn Taylor,90,310
60,T61,,Wesley Bryan,95,309
61,T61,,Phil Mickelson,85,309
62,63,,Ricky Barnes,100,307
63,64,,Chris Kirk,89,306
64,65,,Morgan Hoffmann,92,305
65,66,,Kevin Streelman,90,303
66,67,,Sean O'Hair,84,302
67,68,,J.J. Spaun,92,301
68,69,,Seamus Power,86,299
69,70,,Peter Malnati,91,297
70,71,,Bill Haas,92,295
71,72,,John Huh,92,294
72,T73,,Billy Horschel,88,291
73,T73,,Brian Stuard,93,291
74,75,,Ben Martin,86,289
75,T76,,Charles Howell III,86,288
76,T76,,Martin Laird,83,288
77,T76,,Cameron Tringale,89,288
78,79,,Billy Hurley III,80,286
