,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,,Rickie Fowler,78,2.89,324,112
1,2,,Graeme McDowell,56,2.92,336,115
2,T3,,Tom Hoge,54,2.93,281,96
3,T3,,Jordan Spieth,85,2.93,357,122
4,5,,Retief Goosen,52,2.94,285,97
5,6,,Russell Henley,99,2.95,522,177
6,T7,,K.J. Choi,72,2.96,432,146
7,T7,,Peter Malnati,91,2.96,562,190
8,T7,,J.J. Spaun,92,2.96,489,165
9,T7,,Brett Stegmaier,78,2.96,491,166
10,T11,,Keegan Bradley,104,2.97,614,207
11,T11,,Sergio Garcia,65,2.97,356,120
12,T11,,Zach Johnson,81,2.97,452,152
13,T11,,Cameron Tringale,89,2.97,529,178
14,T15,,Blayne Barber,77,2.98,480,161
15,T15,,Stewart Cink,93,2.98,590,198
16,T15,,Jason Day,71,2.98,369,124
17,T15,,Luke Donald,50,2.98,265,89
18,T15,,Brian Harman,104,2.98,588,197
19,T15,,Whee Kim,74,2.98,385,129
20,T15,,Nicholas Lindheim,58,2.98,346,116
21,T22,,Ryan Blaum,100,2.99,690,231
22,T22,,Dominic Bozzelli,69,2.99,377,126
23,T22,,Brad Fritsch,56,2.99,326,109
24,T22,,Rory McIlroy,51,2.99,239,80
25,T22,,Troy Merritt,82,2.99,472,158
26,T22,,Brandt Snedeker,53,2.99,227,76
27,T28,,Steven Alker,69,3.0,420,140
28,T28,,Zac Blair,105,3.0,654,218
29,T28,,Ben Martin,86,3.0,477,159
30,T28,,Seung-Yul Noh,91,3.0,546,182
31,T28,,Chez Reavie,98,3.0,540,180
32,T28,,Camilo Villegas,76,3.0,444,148
33,T34,,Jonas Blixt,74,3.01,440,146
34,T34,,Chad Campbell,97,3.01,547,182
35,T34,,Paul Casey,94,3.01,409,136
36,T34,,Harris English,84,3.01,475,158
37,T34,,Martin Flores,88,3.01,488,162
38,T34,,Emiliano Grillo,90,3.01,578,192
39,T34,,Marc Leishman,94,3.01,529,176
