,First_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_4_Scoring_Average_ROUNDS,First_Tee_Early_Par_4_Scoring_Average_AVG,First_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
130,T124,,Sebastián Muñoz,51,4.07,700,172
131,T124,,Grayson Murray,94,4.07,1283,315
132,T124,,Seung-Yul Noh,91,4.07,744,183
133,T124,,Geoff Ogilvy,80,4.07,990,243
134,T124,,Tag Ridings,67,4.07,855,210
135,T124,,Charl Schwartzel,63,4.07,984,242
136,T124,,Brian Stuard,93,4.07,1756,431
137,T124,,Camilo Villegas,76,4.07,773,190
138,T124,,Nick Watney,75,4.07,1090,268
139,T124,,Bubba Watson,71,4.07,704,173
140,T124,,Tim Wilkinson,64,4.07,858,211
141,T142,,Jason Bohn,75,4.08,787,193
142,T142,,Rafa Cabrera Bello,63,4.08,836,205
143,T142,,Brian Gay,82,4.08,1135,278
144,T142,,Branden Grace,70,4.08,1013,248
145,T142,,Charles Howell III,86,4.08,1429,350
146,T142,,Brooks Koepka,88,4.08,746,183
147,T142,,Martin Laird,83,4.08,1254,307
148,T142,,Ryan Moore,82,4.08,1129,277
149,T142,,C.T. Pan,88,4.08,1307,320
150,T142,,Cameron Smith,86,4.08,1387,340
151,T152,,Miguel Angel Carballo,63,4.09,699,171
152,T152,,Ernie Els,52,4.09,483,118
153,T152,,J.J. Henry,92,4.09,1343,328
154,T152,,Peter Malnati,91,4.09,1150,281
155,T152,,Kevin Streelman,90,4.09,1231,301
156,T152,,Nick Taylor,97,4.09,1148,281
157,T152,,Jhonattan Vegas,95,4.09,1498,366
158,T159,,Brian Campbell,55,4.1,660,161
159,T159,,Derek Fathauer,81,4.1,717,175
160,T159,,Cody Gribble,79,4.1,1198,292
161,T159,,David Lingmerth,79,4.1,1178,287
162,T159,,Graeme McDowell,56,4.1,697,170
163,T164,,Brad Fritsch,56,4.11,682,166
164,T164,,Whee Kim,74,4.11,653,159
165,T164,,Danny Lee,93,4.11,1353,329
166,T164,,Rod Pampling,71,4.11,1335,325
167,T164,,Adam Scott,58,4.11,444,108
168,T169,,Jonas Blixt,74,4.12,1070,260
169,T169,,Roberto Castro,70,4.12,1068,259
170,T169,,Chad Collins,66,4.12,779,189
171,T169,,Kelly Kraft,75,4.12,1051,255
172,T169,,Scott Piercy,70,4.12,762,185
173,T169,,D.A. Points,68,4.12,965,234
174,T175,,Dominic Bozzelli,69,4.13,623,151
175,T175,,Wesley Bryan,95,4.13,1327,321
176,T175,,Anirban Lahiri,72,4.13,1044,253
177,T175,,Rick Lamb,54,4.13,619,150
178,T175,,Nicholas Lindheim,58,4.13,648,157
179,T175,,Troy Merritt,82,4.13,1003,243
180,T181,,Matt Every,76,4.14,894,216
181,T181,,Si Woo Kim,80,4.14,1069,258
182,T181,,Søren Kjeldsen,58,4.14,633,153
183,T181,,Brett Stegmaier,78,4.14,1059,256
184,185,,Jonathan Randolph,68,4.15,805,194
185,T186,,Carl Pettersson,63,4.16,774,186
186,T186,,Daniel Summerhays,100,4.16,1115,268
187,T188,,Ken Duke,77,4.17,496,119
188,T188,,Andrew Loupe,55,4.17,675,162
189,190,,Steven Bowditch,59,4.21,1002,238
