,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,,Jordan Spieth,69.33,2981,43
1,2,,Paul Casey,69.38,3261,47
2,3,,Patrick Cantlay,69.56,1739,25
3,4,,Seamus Power,69.65,3343,48
4,5,,Rickie Fowler,69.68,2787,40
5,6,,Marc Leishman,69.73,3347,48
6,7,,Charles Howell III,69.76,3139,45
7,8,,Jon Rahm,69.78,3210,46
8,9,,Justin Thomas,69.8,3211,46
9,10,,Hideki Matsuyama,69.83,2793,40
10,11,,Kyle Stanley,69.88,3913,56
11,12,,Justin Rose,69.91,2447,35
12,T13,,Jason Dufner,69.98,3149,45
13,T13,,Jamie Lovemark,69.98,3849,55
14,15,,Tony Finau,70.0,3990,57
15,16,,Russell Henley,70.02,3711,53
16,17,,Lucas Glover,70.06,3573,51
17,T18,,Kevin Kisner,70.09,3785,54
18,T18,,Chez Reavie,70.09,3925,56
19,T20,,Ian Poulter,70.11,2664,38
20,T20,,Webb Simpson,70.11,3926,56
21,22,,Chad Campbell,70.12,4137,59
22,T23,,Stewart Cink,70.13,3787,54
23,T23,,Sergio Garcia,70.13,2244,32
24,25,,Brandt Snedeker,70.17,2035,29
25,T26,,Tag Ridings,70.24,2669,38
26,T26,,Vaughn Taylor,70.24,3442,49
27,T28,,Daniel Berger,70.25,3372,48
28,T28,,Keegan Bradley,70.25,4004,57
29,T28,,Luke List,70.25,4285,61
30,31,,Ben Crane,70.27,3373,48
31,32,,Matt Jones,70.3,2601,37
32,33,,Bud Cauley,70.31,3867,55
33,T34,,Matt Kuchar,70.33,3587,51
34,T34,,Trey Mullinax,70.33,3798,54
35,T34,,Cameron Percy,70.33,2954,42
36,T34,,Pat Perez,70.33,3446,49
37,38,,Sung Kang,70.34,4502,64
38,39,,Graham DeLaet,70.35,3236,46
39,40,,Gary Woodland,70.37,3448,49
40,41,,Nick Taylor,70.38,4082,58
41,42,,Hudson Swafford,70.4,3872,55
42,43,,Adam Hadwin,70.41,4084,58
43,T44,,Phil Mickelson,70.43,3099,44
44,T44,,J.J. Spaun,70.43,3733,53
45,T46,,Brian Gay,70.44,3522,50
46,T46,,Dustin Johnson,70.44,2747,39
47,48,,Bill Haas,70.45,3452,49
48,T49,,Zac Blair,70.47,4369,62
49,T49,,Anirban Lahiri,70.47,3171,45
50,T51,,Martin Laird,70.49,3595,51
51,T51,,Brendan Steele,70.49,3313,47
52,T53,,Brooks Koepka,70.52,3103,44
53,T53,,Kevin Tway,70.52,3667,52
54,T55,,Francesco Molinari,70.54,2892,41
55,T55,,Richy Werenski,70.54,3527,50
56,57,,Ryan Brehm,70.56,3387,48
57,58,,Xander Schauffele,70.57,3952,56
58,T59,,John Huh,70.58,3882,55
59,T59,,David Lingmerth,70.58,3176,45
60,61,,Ryan Blaum,70.59,4094,58
61,T62,,Ryan Armour,70.6,2824,40
62,T62,,Ollie Schniederjans,70.6,3671,52
63,T64,,Brian Harman,70.61,4166,59
64,T64,,Tom Hoge,70.61,2189,31
65,T64,,Daniel Summerhays,70.61,3954,56
66,67,,Jason Day,70.62,2613,37
67,68,,Harold Varner III,70.64,4309,61
68,69,,Brandon Hagy,70.66,3533,50
69,70,,Charley Hoffman,70.68,4382,62
70,T71,,Martin Flores,70.69,3676,52
71,T71,,Michael Kim,70.69,3888,55
72,T71,,Kevin Streelman,70.69,3676,52
73,74,,Robert Garrigus,70.7,3535,50
74,T75,,Scott Brown,70.71,4101,58
75,T75,,Scott Stallings,70.71,3606,51
76,77,,J.T. Poston,70.72,3819,54
77,T78,,Shawn Stefani,70.73,3466,49
78,T78,,Tim Wilkinson,70.73,2829,40
79,T80,,Steven Alker,70.74,3042,43
80,T80,,Chris Kirk,70.74,3820,54
81,T82,,Seung-Yul Noh,70.75,4174,59
82,T82,,Nick Watney,70.75,3113,44
83,T84,,Andres Gonzales,70.76,3255,46
84,T84,,Sebastián Muñoz,70.76,2406,34
85,T86,,David Hearn,70.77,3963,56
86,T86,,Rory McIlroy,70.77,1840,26
87,T86,,Tyrone Van Aswegen,70.77,4388,62
88,89,,Ryan Moore,70.78,3185,45
89,90,,J.J. Henry,70.8,3823,54
90,T91,,Grayson Murray,70.81,4107,58
91,T91,,Robert Streb,70.81,4178,59
92,T91,,Camilo Villegas,70.81,3399,48
93,94,,Russell Knox,70.82,3116,44
94,T95,,Jonathan Randolph,70.83,2975,42
95,T95,,Cameron Tringale,70.83,3825,54
96,97,,Kevin Na,70.84,3471,49
97,T98,,Ricky Barnes,70.85,4251,60
98,T98,,Sam Saunders,70.85,3259,46
99,T100,,Gonzalo Fernandez-Castaño,70.86,2976,42
100,T100,,Rory Sabbatini,70.86,3047,43
101,T102,,Jason Kokrak,70.88,4040,57
102,T102,,Graeme McDowell,70.88,2410,34
103,T104,,James Hahn,70.89,4041,57
104,T104,,Zach Johnson,70.89,3190,45
105,106,,Luke Donald,70.91,2482,35
106,107,,Ben Martin,70.94,3618,51
107,108,,Patrick Reed,70.96,3974,56
108,T109,,Mackenzie Hughes,70.98,4330,61
109,T109,,Chris Stroud,70.98,2910,41
110,T111,,Alex Cejka,71.0,3692,52
111,T111,,Julián Etulain,71.0,2982,42
112,T111,,Scott Piercy,71.0,3124,44
113,T111,,D.A. Points,71.0,3266,46
114,T111,,Cameron Smith,71.0,3692,52
115,116,,Bryson DeChambeau,71.03,4333,61
116,T117,,Harris English,71.04,3552,50
117,T117,,William McGirt,71.04,3765,53
118,T119,,Blayne Barber,71.06,3340,47
119,T119,,Brad Fritsch,71.06,2558,36
120,121,,Morgan Hoffmann,71.07,4051,57
121,T122,,Ken Duke,71.1,3555,50
122,T122,,Whee Kim,71.1,3697,52
123,124,,Peter Malnati,71.11,3982,56
124,125,,C.T. Pan,71.12,4125,58
125,126,,Jim Herman,71.14,3486,49
126,127,,Mark Anderson,71.15,2846,40
127,128,,J.B. Holmes,71.16,3060,43
128,T129,,Emiliano Grillo,71.18,3488,49
129,T129,,Charl Schwartzel,71.18,2420,34
130,T129,,Boo Weekley,71.18,3630,51
131,132,,Geoff Ogilvy,71.19,3417,48
132,T133,,Jonas Blixt,71.22,3561,50
133,T133,,Troy Merritt,71.22,3846,54
134,T135,,Derek Fathauer,71.25,3634,51
135,T135,,Kyle Reifers,71.25,4346,61
136,T137,,Kevin Chappell,71.27,3635,51
137,T137,,Mark Hubbard,71.27,3706,52
138,T137,,Billy Hurley III,71.27,3635,51
139,T137,,Spencer Levin,71.27,4276,60
140,T137,,Sean O'Hair,71.27,3706,52
141,T142,,Aaron Baddeley,71.28,2780,39
142,T142,,Louis Oosthuizen,71.28,2281,32
143,T144,,Danny Lee,71.29,4135,58
144,T144,,Johnson Wagner,71.29,3493,49
145,146,,Wesley Bryan,71.33,3923,55
146,T147,,Byeong Hun An,71.35,2854,40
147,T147,,Fabián Gómez,71.35,2854,40
148,T149,,Dominic Bozzelli,71.38,3426,48
149,T149,,Greg Chalmers,71.38,3783,53
150,T149,,Smylie Kaufman,71.38,3569,50
151,152,,Ryan Palmer,71.39,2713,38
152,153,,Adam Scott,71.44,2286,32
153,154,,Hunter Mahan,71.46,3716,52
154,T155,,K.J. Choi,71.47,3359,47
155,T155,,Shane Lowry,71.47,2144,30
156,T155,,Brian Stuard,71.47,4288,60
157,T158,,Retief Goosen,71.53,2432,34
158,T158,,Michael Thompson,71.53,2861,40
159,160,,Chad Collins,71.54,3577,50
160,161,,Jhonattan Vegas,71.55,3935,55
161,T162,,Cody Gribble,71.58,3937,55
162,T162,,Patton Kizzire,71.58,3794,53
163,164,,Bryce Molder,71.6,3795,53
164,165,,Rick Lamb,71.61,2721,38
165,166,,Jim Furyk,71.63,2507,35
166,167,,Bubba Watson,71.64,2794,39
167,168,,Jimmy Walker,71.66,2938,41
168,T169,,Rafa Cabrera Bello,71.67,2580,36
169,T169,,Nicholas Lindheim,71.67,2795,39
170,171,,Steve Wheatcroft,71.72,2295,32
171,172,,Ryo Ishikawa,71.73,2941,41
172,T173,,Miguel Angel Carballo,71.74,3013,42
173,T173,,Billy Horschel,71.74,3874,54
174,175,,Brian Campbell,71.76,2727,38
175,176,,Branden Grace,71.77,2512,35
176,177,,Carl Pettersson,71.8,3518,49
177,178,,Kelly Kraft,71.86,3593,50
178,T179,,Brett Drewitt,71.87,2731,38
179,T179,,Ernie Els,71.87,2731,38
180,T179,,Rod Pampling,71.87,3234,45
181,182,,Søren Kjeldsen,71.94,2230,31
182,183,,Patrick Rodgers,71.98,3743,52
183,184,,Jason Bohn,72.0,3888,54
184,185,,Brett Stegmaier,72.04,3890,54
185,186,,Roberto Castro,72.22,3611,50
186,187,,Andrew Loupe,72.57,3048,42
187,188,,Matt Every,72.75,4074,56
188,189,,Si Woo Kim,72.88,3717,51
189,190,,Steven Bowditch,74.35,3866,52
