,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,,Tony Finau,29
1,2,,Paul Casey,24
2,3,,Luke List,31
3,4,,Brian Harman,30
4,T5,,Charley Hoffman,31
5,T5,,Chez Reavie,28
6,T7,,Keegan Bradley,29
7,T7,,Jon Rahm,23
8,T9,,Zac Blair,32
9,T9,,Matt Kuchar,26
10,T9,,Marc Leishman,25
11,T12,,Stewart Cink,26
12,T12,,Mackenzie Hughes,31
13,T12,,Kevin Kisner,28
14,T12,,Patrick Reed,29
15,T16,,Chad Campbell,29
16,T16,,Lucas Glover,26
17,T16,,Russell Henley,27
18,T16,,Jamie Lovemark,28
19,T16,,Webb Simpson,28
20,T16,,Jordan Spieth,23
21,T22,,Kevin Na,26
22,T22,,Pat Perez,26
23,T24,,Daniel Berger,26
24,T24,,Adam Hadwin,28
25,T24,,Sung Kang,32
26,T24,,Kyle Stanley,29
27,T24,,Nick Taylor,29
28,T29,,J.T. Poston,28
29,T29,,Xander Schauffele,28
30,T31,,Ryan Blaum,29
31,T31,,Charles Howell III,23
32,T31,,Martin Laird,25
33,T31,,Hideki Matsuyama,22
34,T31,,Brendan Steele,25
35,T31,,Tyrone Van Aswegen,32
36,T37,,Bill Haas,25
37,T37,,John Huh,28
38,T37,,Michael Kim,28
39,T37,,Justin Thomas,25
40,T41,,Seamus Power,25
41,T41,,Cameron Smith,26
42,T41,,Jhonattan Vegas,29
43,T44,,James Hahn,28
44,T44,,Morgan Hoffmann,29
45,T44,,Phil Mickelson,22
46,T44,,Seung-Yul Noh,31
47,T44,,Hudson Swafford,28
48,T44,,Harold Varner III,31
49,T50,,Jason Dufner,24
50,T50,,Dustin Johnson,20
51,T50,,Kevin Tway,27
52,T53,,Scott Brown,29
53,T53,,Kevin Chappell,27
54,T53,,David Hearn,29
55,T53,,Chris Kirk,28
56,T53,,Brooks Koepka,24
57,T53,,Ollie Schniederjans,28
58,T53,,Robert Streb,30
59,T53,,Kevin Streelman,26
60,T61,,Ricky Barnes,31
61,T61,,Rickie Fowler,21
62,T61,,Jason Kokrak,28
63,T61,,Gary Woodland,26
64,T65,,Wesley Bryan,28
65,T65,,Bud Cauley,28
66,T65,,Martin Flores,27
67,T65,,Emiliano Grillo,25
68,T65,,Trey Mullinax,28
69,T65,,Vaughn Taylor,26
70,T71,,Peter Malnati,29
71,T71,,J.J. Spaun,29
72,T73,,Jason Day,20
73,T73,,Bryson DeChambeau,31
74,T73,,Robert Garrigus,26
75,T73,,Francesco Molinari,21
76,T77,,Ryan Brehm,25
77,T77,,Brian Gay,25
78,T77,,J.J. Henry,29
79,T77,,Zach Johnson,23
80,T77,,William McGirt,28
81,T77,,Grayson Murray,30
82,T77,,Sean O'Hair,25
83,T77,,Brian Stuard,31
84,T85,,Ben Crane,26
85,T85,,Danny Lee,32
86,T85,,Justin Rose,18
87,T85,,Daniel Summerhays,29
88,T85,,Cameron Tringale,28
89,T85,,Richy Werenski,26
90,T91,,Graham DeLaet,25
91,T91,,Kyle Reifers,32
92,T91,,Rory Sabbatini,23
93,T94,,Harris English,27
94,T94,,Sergio Garcia,17
95,T94,,Billy Horschel,28
96,T94,,David Lingmerth,23
97,T94,,Ben Martin,27
98,T94,,Ryan Moore,24
99,T94,,C.T. Pan,29
100,T94,,Ian Poulter,20
101,T102,,Julián Etulain,22
102,T102,,Brandon Hagy,26
103,T102,,J.B. Holmes,23
104,T102,,Spencer Levin,31
105,T102,,Troy Merritt,28
106,T107,,Blayne Barber,25
107,T107,,Andres Gonzales,24
108,T107,,Whee Kim,27
109,T107,,Sam Saunders,24
110,T107,,Camilo Villegas,25
111,T112,,Billy Hurley III,25
112,T112,,Smylie Kaufman,26
113,T112,,Russell Knox,24
114,T112,,Shawn Stefani,26
115,T112,,Nick Watney,23
116,T117,,Jim Herman,25
117,T117,,Louis Oosthuizen,18
118,T117,,Adam Scott,16
119,T117,,Scott Stallings,27
120,T121,,Steven Alker,23
121,T121,,Ryan Armour,20
122,T121,,Alex Cejka,28
123,T121,,Derek Fathauer,27
124,T121,,Cody Gribble,28
125,T121,,Anirban Lahiri,22
126,T121,,Cameron Percy,23
127,T121,,Chris Stroud,22
128,T129,,Dominic Bozzelli,24
129,T129,,Patrick Cantlay,13
130,T129,,Mark Hubbard,27
131,T129,,Graeme McDowell,17
132,T129,,Scott Piercy,22
133,T129,,Johnson Wagner,26
134,T135,,Ken Duke,26
135,T135,,Gonzalo Fernandez-Castaño,22
136,T135,,Branden Grace,20
137,T135,,Patton Kizzire,28
138,T135,,Tag Ridings,20
139,T135,,Charl Schwartzel,18
140,T135,,Brandt Snedeker,15
141,T135,,Boo Weekley,27
142,T135,,Tim Wilkinson,22
143,T144,,Byeong Hun An,22
144,T144,,K.J. Choi,25
145,T144,,Rory McIlroy,14
146,T144,,Jonathan Randolph,22
147,T148,,Jonas Blixt,25
148,T148,,Rafa Cabrera Bello,19
149,T148,,Fabián Gómez,21
150,T148,,Matt Jones,20
151,T148,,Hunter Mahan,26
152,T148,,Bryce Molder,26
153,T148,,Geoff Ogilvy,25
154,T155,,Aaron Baddeley,20
155,T155,,Brian Campbell,20
156,T155,,Kelly Kraft,27
157,T155,,D.A. Points,22
158,T155,,Brett Stegmaier,27
159,T155,,Bubba Watson,22
