,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
0,T1,,Chad Collins,66,60
1,T1,,Rod Pampling,71,60
2,T3,,Matt Every,76,61
3,T3,,Mackenzie Hughes,106,61
4,T3,,Bryce Molder,74,61
5,T6,,Chad Campbell,97,62
6,T6,,Robert Garrigus,78,62
7,T6,,Branden Grace,70,62
8,T6,,Marc Leishman,94,62
9,T6,,Rory Sabbatini,71,62
10,T11,,Daniel Berger,91,63
11,T11,,Jason Day,71,63
12,T11,,Brian Gay,82,63
13,T11,,Brian Harman,104,63
14,T11,,Russell Knox,75,63
15,T11,,Brooks Koepka,88,63
16,T11,,Jason Kokrak,95,63
17,T11,,Davis Love III,39,63
18,T11,,Grayson Murray,94,63
19,T11,,Kevin Na,86,63
20,T11,,John Peterson,42,63
21,T11,,Thomas Pieters,37,63
22,T11,,Chez Reavie,98,63
23,T11,,Xander Schauffele,96,63
24,T11,,J.J. Spaun,92,63
25,T11,,Steve Stricker,48,63
26,T11,,Vaughn Taylor,90,63
27,T28,,Arjun Atwal,18,64
28,T28,,Aaron Baddeley,61,64
29,T28,,Ricky Barnes,100,64
30,T28,,Kevin Chappell,95,64
31,T28,,Stewart Cink,93,64
32,T28,,Graham DeLaet,82,64
33,T28,,Derek Fathauer,81,64
34,T28,,Tony Finau,106,64
35,T28,,Rickie Fowler,78,64
36,T28,,Sergio Garcia,65,64
37,T28,,Retief Goosen,52,64
38,T28,,Cody Gribble,79,64
39,T28,,Adam Hadwin,98,64
40,T28,,Brandon Hagy,85,64
41,T28,,James Hahn,96,64
42,T28,,Russell Henley,99,64
43,T28,,Morgan Hoffmann,92,64
44,T28,,Billy Horschel,88,64
45,T28,,Zach Johnson,81,64
46,T28,,Dustin Johnson,77,64
47,T28,,Patton Kizzire,84,64
48,T28,,Matt Kuchar,95,64
49,T28,,Rick Lamb,54,64
50,T28,,Grant Leaver,4,64
51,T28,,Jamie Lovemark,98,64
52,T28,,Ben Martin,86,64
53,T28,,Rory McIlroy,51,64
54,T28,,Phil Mickelson,85,64
55,T28,,Joaquin Niemann,6,64
56,T28,,Seamus Power,86,64
57,T28,,Cameron Smith,86,64
58,T28,,Brandt Snedeker,53,64
59,T28,,Kyle Stanley,104,64
60,T28,,Kevin Streelman,90,64
61,T28,,Jhonattan Vegas,95,64
62,T28,,Johnson Wagner,71,64
63,T28,,Nick Watney,75,64
64,T28,,Charlie Wi,20,64
65,T66,,Steven Alker,69,65
66,T66,,Ryan Blaum,100,65
67,T66,,Jason Bohn,75,65
68,T66,,Keegan Bradley,104,65
69,T66,,Scott Brown,95,65
70,T66,,Jonathan Byrd,31,65
71,T66,,Patrick Cantlay,52,65
72,T66,,Paul Casey,94,65
73,T66,,Ben Crane,86,65
74,T66,,Bryson DeChambeau,91,65
75,T66,,Luke Donald,50,65
76,T66,,Jason Dufner,89,65
77,T66,,Harris English,84,65
78,T66,,Matthew Fitzpatrick,41,65
79,T66,,Martin Flores,88,65
80,T66,,Lucas Glover,93,65
81,T66,,Emiliano Grillo,90,65
82,T66,,Chesson Hadley,23,65
83,T66,,Scott Hend,22,65
84,T66,,J.J. Henry,92,65
85,T66,,Jim Herman,77,65
86,T66,,Charley Hoffman,112,65
87,T66,,Mark Hubbard,81,65
88,T66,,Michael Johnson,6,65
89,T66,,Matt Jones,64,65
90,T66,,Sung Kang,104,65
91,T66,,Chris Kirk,89,65
92,T66,,Anirban Lahiri,72,65
93,T66,,Scott Langley,10,65
94,T66,,David Lingmerth,79,65
95,T66,,Luke List,102,65
96,T66,,Shane Lowry,52,65
97,T66,,Hunter Mahan,73,65
98,T66,,Hideki Matsuyama,83,65
99,T66,,Troy Merritt,82,65
100,T66,,Francesco Molinari,75,65
101,T66,,Trey Mullinax,88,65
102,T66,,Shaun Norris,8,65
103,T66,,C.T. Pan,88,65
104,T66,,Scott Piercy,70,65
105,T66,,Patrick Reed,107,65
106,T66,,Patrick Rodgers,76,65
107,T66,,Andres Romero,32,65
108,T66,,Justin Rose,66,65
109,T66,,Charl Schwartzel,63,65
110,T66,,Webb Simpson,102,65
111,T66,,Vijay Singh,48,65
112,T66,,Jordan Spieth,85,65
113,T66,,Scott Stallings,81,65
114,T66,,Brendan Steele,89,65
115,T66,,Robert Streb,98,65
116,T66,,Chris Stroud,67,65
117,T66,,Andy Sullivan,25,65
118,T66,,Hudson Swafford,94,65
119,T66,,Cameron Tringale,89,65
120,T66,,Tyrone Van Aswegen,105,65
121,T66,,Harold Varner III,101,65
122,T66,,Camilo Villegas,76,65
123,T66,,Jimmy Walker,68,65
124,T66,,Richy Werenski,81,65
125,T66,,Mark Wilson,39,65
126,T66,,Aaron Wise,20,65
127,T66,,Gary Woodland,94,65
128,T129,,Robert Allenby,12,66
129,T129,,Byeong Hun An,77,66
130,T129,,Ryan Armour,63,66
131,T129,,Zac Blair,105,66
132,T129,,Rafa Cabrera Bello,63,66
133,T129,,Brian Campbell,55,66
