,First_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_3_Scoring_Average_ROUNDS,First_Tee_Late_Par_3_Scoring_Average_AVG,First_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,,Tag Ridings,67,2.88,141,49
1,T2,,Chad Collins,66,2.89,162,56
2,T2,,Nicholas Lindheim,58,2.89,127,44
3,4,,Danny Lee,93,2.93,249,85
4,5,,Wesley Bryan,95,2.94,312,106
5,T6,,Adam Scott,58,2.95,354,120
6,T6,,Brandt Snedeker,53,2.95,295,100
7,T6,,J.J. Spaun,92,2.95,313,106
8,T6,,Tim Wilkinson,64,2.95,168,57
9,10,,Richy Werenski,81,2.96,201,68
10,T11,,Matt Kuchar,95,2.97,544,183
11,T11,,Peter Malnati,91,2.97,190,64
12,T11,,Cameron Tringale,89,2.97,276,93
13,T11,,Nick Watney,75,2.97,196,66
14,T15,,Brian Campbell,55,2.98,131,44
15,T15,,Patrick Cantlay,52,2.98,244,82
16,T15,,Graham DeLaet,82,2.98,325,109
17,T15,,Julián Etulain,68,2.98,119,40
18,T15,,Robert Garrigus,78,2.98,238,80
19,T15,,Brian Gay,82,2.98,241,81
20,T15,,Billy Hurley III,80,2.98,191,64
21,T22,,Ryan Brehm,83,2.99,254,85
22,T22,,Harris English,84,2.99,242,81
23,T22,,Adam Hadwin,98,2.99,418,140
24,T22,,Seung-Yul Noh,91,2.99,362,121
25,T22,,Cameron Percy,71,2.99,266,89
26,T22,,Xander Schauffele,96,2.99,386,129
27,T22,,Justin Thomas,86,2.99,553,185
28,T29,,Ryan Armour,63,3.0,207,69
29,T29,,Chad Campbell,97,3.0,363,121
30,T29,,Miguel Angel Carballo,63,3.0,183,61
31,T29,,Jim Herman,77,3.0,207,69
32,T29,,Dustin Johnson,77,3.0,444,148
33,T29,,Matt Jones,64,3.0,171,57
34,T29,,Michael Kim,94,3.0,252,84
35,T29,,Kevin Kisner,105,3.0,432,144
36,T29,,Patton Kizzire,84,3.0,120,40
37,T29,,Marc Leishman,94,3.0,456,152
38,T29,,Spencer Levin,89,3.0,204,68
39,T29,,C.T. Pan,88,3.0,267,89
40,T29,,Chez Reavie,98,3.0,360,120
41,T42,,Paul Casey,94,3.01,589,196
42,T42,,Russell Knox,75,3.01,316,105
43,T42,,Troy Merritt,82,3.01,229,76
44,T42,,Grayson Murray,94,3.01,337,112
45,T42,,Jon Rahm,90,3.01,530,176
46,T42,,Tyrone Van Aswegen,105,3.01,274,91
47,T48,,Mark Anderson,54,3.02,193,64
48,T48,,Scott Brown,95,3.02,377,125
49,T48,,Rafa Cabrera Bello,63,3.02,314,104
50,T48,,Martin Flores,88,3.02,266,88
51,T48,,Rickie Fowler,78,3.02,580,192
52,T48,,Bill Haas,92,3.02,450,149
53,T48,,Martin Laird,83,3.02,341,113
54,T48,,Kevin Na,86,3.02,293,97
55,T48,,Scott Piercy,70,3.02,260,86
56,T48,,Patrick Reed,107,3.02,477,158
57,T48,,Steve Wheatcroft,51,3.02,160,53
58,T59,,Daniel Berger,91,3.03,561,185
59,T59,,Alex Cejka,85,3.03,212,70
60,T59,,Kevin Chappell,95,3.03,355,117
61,T59,,Ben Crane,86,3.03,233,77
