,Back_9_Round_4_Scoring_Average_RANK THIS WEEK,Back_9_Round_4_Scoring_Average_RANK LAST WEEK,Back_9_Round_4_Scoring_Average_PLAYER NAME,Back_9_Round_4_Scoring_Average_AVG,Back_9_Round_4_Scoring_Average_TOTAL STROKES,Back_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,,Jon Rahm,34.16,649,19
1,T2,,Hideki Matsuyama,34.17,615,18
2,T2,,Xander Schauffele,34.17,615,18
3,4,,Brandt Snedeker,34.18,376,11
4,5,,Francesco Molinari,34.25,548,16
5,6,,Jordan Spieth,34.28,617,18
6,7,,Harris English,34.31,446,13
7,8,,Justin Thomas,34.44,551,16
8,T9,,Wesley Bryan,34.5,621,18
9,T9,,Rafa Cabrera Bello,34.5,414,12
10,T9,,Chad Collins,34.5,207,6
11,T9,,Gonzalo Fernandez-Castaño,34.5,207,6
12,T9,,Danny Lee,34.5,552,16
13,T14,,Bud Cauley,34.59,588,17
14,T14,,Kevin Na,34.59,588,17
15,16,,Matt Kuchar,34.6,692,20
16,17,,Kyle Stanley,34.64,762,22
17,T18,,Dominic Bozzelli,34.67,312,9
18,T18,,Scott Piercy,34.67,416,12
19,20,,Dustin Johnson,34.69,555,16
20,T21,,Matt Every,34.71,243,7
21,T21,,Martin Flores,34.71,486,14
22,T21,,Steve Wheatcroft,34.71,243,7
23,24,,Brooks Koepka,34.72,625,18
24,25,,Sergio Garcia,34.73,521,15
25,T26,,Derek Fathauer,34.75,417,12
26,T26,,Robert Garrigus,34.75,417,12
27,T26,,Michael Thompson,34.75,278,8
28,29,,Seung-Yul Noh,34.79,487,14
29,30,,Chez Reavie,34.8,696,20
30,31,,Troy Merritt,34.82,383,11
31,T32,,Spencer Levin,34.83,418,12
32,T32,,Brian Stuard,34.83,418,12
33,T32,,Hudson Swafford,34.83,627,18
34,T35,,Jim Furyk,34.88,279,8
35,T35,,Billy Horschel,34.88,558,16
36,37,,Bill Haas,34.89,628,18
37,T38,,Rory McIlroy,34.91,384,11
38,T38,,Webb Simpson,34.91,768,22
39,40,,Peter Malnati,34.93,489,14
40,41,,Rickie Fowler,34.94,629,18
41,T42,,Ricky Barnes,35.0,560,16
42,T42,,Fabián Gómez,35.0,315,9
43,T42,,Jim Herman,35.0,455,13
44,T42,,Smylie Kaufman,35.0,385,11
45,T42,,Kelly Kraft,35.0,385,11
46,T42,,Pat Perez,35.0,735,21
47,T42,,Ian Poulter,35.0,525,15
48,49,,Tony Finau,35.04,841,24
49,T50,,Ryan Blaum,35.06,631,18
50,T50,,Michael Kim,35.06,631,18
51,52,,Trey Mullinax,35.07,526,15
52,53,,Kyle Reifers,35.08,456,13
53,54,,Mackenzie Hughes,35.09,772,22
54,T55,,Shane Lowry,35.1,351,10
55,T55,,Tag Ridings,35.1,351,10
56,T57,,Luke List,35.11,667,19
57,T57,,Jamie Lovemark,35.11,667,19
58,T57,,Vaughn Taylor,35.11,632,18
59,T57,,Kevin Tway,35.11,632,18
60,T61,,Keegan Bradley,35.13,808,23
61,T61,,Graham DeLaet,35.13,527,15
62,T61,,Sean O'Hair,35.13,562,16
63,T64,,Paul Casey,35.14,773,22
64,T64,,Brian Harman,35.14,738,21
65,T64,,Sebastián Muñoz,35.14,246,7
66,T67,,Adam Hadwin,35.19,739,21
67,T67,,Marc Leishman,35.19,739,21
68,69,,Gary Woodland,35.2,704,20
69,T70,,Bryson DeChambeau,35.21,493,14
70,T70,,Brian Gay,35.21,493,14
71,T72,,Kevin Streelman,35.22,634,18
72,T72,,Jhonattan Vegas,35.22,634,18
73,74,,Charl Schwartzel,35.23,458,13
74,T75,,J.T. Poston,35.24,599,17
75,T75,,J.J. Spaun,35.24,599,17
76,T77,,Alex Cejka,35.25,423,12
77,T77,,Tom Hoge,35.25,282,8
78,79,,Louis Oosthuizen,35.27,529,15
79,T80,,Steven Alker,35.3,353,10
80,T80,,Shawn Stefani,35.3,353,10
81,T80,,Brett Stegmaier,35.3,353,10
82,T83,,Adam Scott,35.31,459,13
83,T83,,Nick Watney,35.31,459,13
84,T85,,Ryan Brehm,35.33,530,15
85,T85,,Greg Chalmers,35.33,318,9
86,T85,,Si Woo Kim,35.33,424,12
87,T85,,D.A. Points,35.33,424,12
88,T85,,Richy Werenski,35.33,424,12
89,T90,,Lucas Glover,35.35,707,20
90,T90,,James Hahn,35.35,707,20
91,T90,,Robert Streb,35.35,601,17
92,93,,Cody Gribble,35.36,389,11
93,94,,John Huh,35.38,566,16
94,T95,,Kevin Chappell,35.4,708,20
95,T95,,Stewart Cink,35.4,708,20
96,T97,,Phil Mickelson,35.42,673,19
97,T97,,Rory Sabbatini,35.42,425,12
98,T97,,Bubba Watson,35.42,425,12
99,T100,,Luke Donald,35.43,248,7
100,T100,,Brandon Hagy,35.43,496,14
101,T100,,Ryan Palmer,35.43,248,7
102,T100,,Johnson Wagner,35.43,248,7
103,T104,,K.J. Choi,35.44,319,9
104,T104,,Nicholas Lindheim,35.44,319,9
105,106,,Cameron Percy,35.45,390,11
106,T107,,Charles Howell III,35.47,674,19
107,T107,,Ryan Moore,35.47,603,17
108,T107,,Brendan Steele,35.47,674,19
109,T110,,Ryan Armour,35.5,355,10
110,T110,,Jonas Blixt,35.5,355,10
111,T110,,Julián Etulain,35.5,355,10
112,T113,,Jason Dufner,35.53,675,19
113,T113,,Emiliano Grillo,35.53,675,19
114,T113,,J.B. Holmes,35.53,604,17
115,T113,,Cameron Smith,35.53,533,15
116,T117,,Daniel Berger,35.58,676,19
117,T117,,Patrick Cantlay,35.58,427,12
118,T119,,Russell Henley,35.59,783,22
119,T119,,Tyrone Van Aswegen,35.59,605,17
120,T121,,Charley Hoffman,35.61,819,23
121,T121,,Patrick Reed,35.61,819,23
122,123,,Ben Martin,35.64,499,14
123,T124,,Jason Day,35.67,535,15
124,T124,,Morgan Hoffmann,35.67,535,15
125,T124,,Jonathan Randolph,35.67,321,9
126,127,,Zac Blair,35.68,678,19
127,T128,,Russell Knox,35.69,464,13
128,T128,,Geoff Ogilvy,35.69,464,13
129,130,,Tim Wilkinson,35.7,357,10
130,T131,,Scott Brown,35.71,607,17
131,T131,,Brian Campbell,35.71,250,7
132,T131,,C.T. Pan,35.71,500,14
133,T134,,Patrick Rodgers,35.73,393,11
134,T134,,Justin Rose,35.73,536,15
135,136,,Miguel Angel Carballo,35.75,286,8
136,T137,,Aaron Baddeley,35.78,322,9
137,T137,,Roberto Castro,35.78,322,9
138,T137,,Chris Stroud,35.78,322,9
139,T140,,Chad Campbell,35.79,680,19
140,T140,,Anirban Lahiri,35.79,501,14
141,142,,Matt Jones,35.8,358,10
142,T143,,Mark Anderson,35.83,215,6
143,T143,,Camilo Villegas,35.83,430,12
