,Back_9_Round_1_Scoring_Average_RANK THIS WEEK,Back_9_Round_1_Scoring_Average_RANK LAST WEEK,Back_9_Round_1_Scoring_Average_PLAYER NAME,Back_9_Round_1_Scoring_Average_AVG,Back_9_Round_1_Scoring_Average_TOTAL STROKES,Back_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,,Paul Casey,34.13,785,23
1,2,,Rickie Fowler,34.35,687,20
2,3,,Lucas Glover,34.44,861,25
3,4,,Seamus Power,34.48,793,23
4,5,,Matt Kuchar,34.64,866,25
5,6,,Charles Howell III,34.68,763,22
6,7,,Jason Dufner,34.73,764,22
7,8,,John Huh,34.74,938,27
8,9,,Sergio Garcia,34.75,556,16
9,T10,,Ben Crane,34.79,835,24
10,T10,,Dustin Johnson,34.79,661,19
11,T10,,Marc Leishman,34.79,835,24
12,T13,,Chad Campbell,34.83,1010,29
13,T13,,Graham DeLaet,34.83,801,23
14,15,,Hideki Matsuyama,34.85,697,20
15,16,,Jon Rahm,34.86,767,22
16,17,,Russell Henley,34.88,907,26
17,T18,,David Lingmerth,34.95,769,22
18,T18,,Jordan Spieth,34.95,734,21
19,T20,,Ollie Schniederjans,34.96,909,26
20,T20,,Justin Thomas,34.96,804,23
21,T22,,Tony Finau,35.0,980,28
22,T22,,Ian Poulter,35.0,665,19
23,T22,,Webb Simpson,35.0,945,27
24,T22,,Kevin Streelman,35.0,875,25
25,T22,,Harold Varner III,35.0,1050,30
26,T22,,Gary Woodland,35.0,840,24
27,28,,Tim Wilkinson,35.05,666,19
28,29,,Tag Ridings,35.06,631,18
29,T30,,Brandt Snedeker,35.07,491,14
30,T30,,Nick Taylor,35.07,982,28
31,32,,Martin Flores,35.08,877,25
32,33,,Tyrone Van Aswegen,35.1,1053,30
33,34,,Daniel Summerhays,35.11,948,27
34,35,,Keegan Bradley,35.14,984,28
35,36,,Stewart Cink,35.15,914,26
36,T37,,Blayne Barber,35.17,809,23
37,T37,,Zac Blair,35.17,1055,30
38,T37,,Brian Harman,35.17,1020,29
39,T37,,Richy Werenski,35.17,844,24
40,41,,Trey Mullinax,35.19,915,26
41,T42,,Matt Jones,35.22,634,18
42,T42,,Michael Kim,35.22,951,27
43,T42,,Chez Reavie,35.22,951,27
44,T45,,Kevin Kisner,35.23,916,26
45,T45,,J.T. Poston,35.23,916,26
46,T45,,Cameron Tringale,35.23,916,26
47,T48,,Sean O'Hair,35.24,881,25
48,T48,,Boo Weekley,35.24,881,25
49,T50,,Ryan Blaum,35.25,987,28
50,T50,,Patrick Cantlay,35.25,423,12
51,T50,,C.T. Pan,35.25,987,28
52,T50,,Vaughn Taylor,35.25,846,24
53,54,,Whee Kim,35.27,917,26
54,55,,Jonas Blixt,35.29,847,24
55,56,,Chris Stroud,35.3,706,20
56,57,,Brian Stuard,35.31,1024,29
57,T58,,Ryan Armour,35.32,671,19
58,T58,,Kyle Stanley,35.32,989,28
59,T60,,Phil Mickelson,35.33,742,21
60,T60,,Shawn Stefani,35.33,848,24
61,T62,,Jonathan Randolph,35.35,707,20
62,T62,,J.J. Spaun,35.35,919,26
63,T64,,James Hahn,35.36,990,28
64,T64,,Anirban Lahiri,35.36,778,22
65,T64,,Ben Martin,35.36,884,25
66,T64,,D.A. Points,35.36,778,22
67,T64,,Sam Saunders,35.36,778,22
68,T69,,J.J. Henry,35.37,955,27
69,T69,,Luke List,35.37,1061,30
70,T69,,Michael Thompson,35.37,672,19
71,T72,,Spencer Levin,35.38,1026,29
72,T72,,Camilo Villegas,35.38,849,24
73,T74,,Jamie Lovemark,35.41,956,27
74,T74,,Patrick Reed,35.41,956,27
75,T74,,Justin Rose,35.41,602,17
76,77,,Chris Kirk,35.42,921,26
77,T78,,Billy Hurley III,35.44,886,25
78,T78,,Hudson Swafford,35.44,957,27
79,T80,,Sung Kang,35.45,1099,31
80,T80,,Brooks Koepka,35.45,780,22
81,82,,Grayson Murray,35.46,993,28
82,83,,Mark Anderson,35.47,674,19
83,T84,,Steven Alker,35.48,745,21
84,T84,,Dominic Bozzelli,35.48,816,23
85,T84,,Xander Schauffele,35.48,958,27
86,T87,,Robert Garrigus,35.5,852,24
87,T87,,Bill Haas,35.5,852,24
88,T87,,Brandon Hagy,35.5,852,24
89,T87,,Mackenzie Hughes,35.5,1065,30
90,T87,,William McGirt,35.5,923,26
91,T87,,Adam Scott,35.5,568,16
92,T87,,Steve Wheatcroft,35.5,568,16
93,94,,Kevin Chappell,35.52,888,25
94,95,,Kevin Na,35.54,853,24
95,T96,,Ernie Els,35.55,711,20
96,T96,,Ryo Ishikawa,35.55,711,20
97,T96,,Russell Knox,35.55,782,22
98,99,,Louis Oosthuizen,35.56,569,16
99,T100,,Charl Schwartzel,35.59,605,17
100,T100,,Robert Streb,35.59,1032,29
101,T102,,Cameron Percy,35.6,712,20
102,T102,,Scott Stallings,35.6,890,25
