,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,,Paul Casey,68.65,1579,23
1,2,,Jordan Spieth,69.0,1449,21
2,3,,Seamus Power,69.13,1590,23
3,4,,Rickie Fowler,69.2,1384,20
4,5,,Marc Leishman,69.21,1661,24
5,6,,Jon Rahm,69.27,1524,22
6,7,,Charles Howell III,69.41,1527,22
7,T8,,Stewart Cink,69.58,1809,26
8,T8,,Russell Henley,69.58,1809,26
9,10,,Sam Saunders,69.68,1533,22
10,T11,,Patrick Cantlay,69.83,838,12
11,T11,,Justin Thomas,69.83,1606,23
12,T13,,Phil Mickelson,69.86,1467,21
13,T13,,Kyle Stanley,69.86,1956,28
14,15,,Dustin Johnson,69.89,1328,19
15,16,,Tom Hoge,69.93,1049,15
16,17,,Ben Crane,69.96,1679,24
17,18,,Ian Poulter,70.0,1330,19
18,T19,,Graham DeLaet,70.04,1611,23
19,T19,,Lucas Glover,70.04,1751,25
20,T19,,Michael Kim,70.04,1891,27
21,T19,,Kevin Streelman,70.04,1751,25
22,T19,,Vaughn Taylor,70.04,1681,24
23,T19,,Nick Taylor,70.04,1961,28
24,25,,Justin Rose,70.06,1191,17
25,26,,Chad Campbell,70.07,2032,29
26,27,,Matt Kuchar,70.08,1752,25
27,28,,David Lingmerth,70.09,1542,22
28,T29,,Ryan Blaum,70.14,1964,28
29,T29,,Brian Harman,70.14,2034,29
30,31,,Martin Flores,70.16,1754,25
31,T32,,John Huh,70.22,1896,27
32,T32,,Hudson Swafford,70.22,1896,27
33,34,,J.T. Poston,70.23,1826,26
34,T35,,Jim Herman,70.25,1686,24
35,T35,,Jonathan Randolph,70.25,1405,20
36,T35,,Gary Woodland,70.25,1686,24
37,38,,Jason Dufner,70.27,1546,22
38,39,,Tag Ridings,70.28,1265,18
39,T40,,Keegan Bradley,70.29,1968,28
40,T40,,Brandon Hagy,70.29,1687,24
41,42,,Webb Simpson,70.3,1898,27
42,43,,Kevin Kisner,70.31,1828,26
43,T44,,Matt Jones,70.33,1266,18
44,T44,,Xander Schauffele,70.33,1899,27
45,T44,,Shawn Stefani,70.33,1688,24
46,47,,Cameron Percy,70.35,1407,20
47,48,,Ben Martin,70.36,1759,25
48,49,,Harold Varner III,70.37,2111,30
49,50,,Tony Finau,70.39,1971,28
50,51,,Brian Gay,70.42,1690,24
51,T52,,Sergio Garcia,70.44,1127,16
52,T52,,Sebastián Muñoz,70.44,1127,16
53,T54,,Brooks Koepka,70.45,1550,22
54,T54,,D.A. Points,70.45,1550,22
55,56,,Cameron Tringale,70.46,1832,26
56,T57,,Seung-Yul Noh,70.48,2044,29
57,T57,,Daniel Summerhays,70.48,1903,27
58,T57,,Nick Watney,70.48,1480,21
59,T60,,Daniel Berger,70.5,1692,24
60,T60,,Robert Garrigus,70.5,1692,24
61,T60,,Luke List,70.5,2115,30
62,T60,,Ollie Schniederjans,70.5,1833,26
63,T64,,Jamie Lovemark,70.52,1904,27
64,T64,,Brendan Steele,70.52,1622,23
65,66,,Hideki Matsuyama,70.55,1411,20
66,T67,,Zac Blair,70.57,2117,30
67,T67,,Brandt Snedeker,70.57,988,14
68,T69,,Michael Thompson,70.58,1341,19
69,T69,,Tim Wilkinson,70.58,1341,19
70,71,,David Hearn,70.59,1906,27
71,72,,Scott Brown,70.61,1977,28
72,T73,,Bud Cauley,70.63,1907,27
73,T73,,Charley Hoffman,70.63,2119,30
74,T73,,Adam Scott,70.63,1130,16
75,T73,,Richy Werenski,70.63,1695,24
76,T77,,Dominic Bozzelli,70.65,1625,23
77,T77,,Sung Kang,70.65,2190,31
78,T77,,Chris Kirk,70.65,1837,26
79,80,,Ricky Barnes,70.66,2049,29
80,T81,,Bill Haas,70.67,1696,24
