,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
0,1,,Hideki Matsuyama,69.1,1382,20
1,2,,Patrick Cantlay,69.17,830,12
2,3,,Jamie Lovemark,69.19,1868,27
3,4,,Chez Reavie,69.52,1877,27
4,5,,Tony Finau,69.54,1947,28
5,6,,Jason Dufner,69.55,1530,22
6,7,,Justin Thomas,69.78,1605,23
7,8,,Pat Perez,69.79,1675,24
8,9,,Gonzalo Fernandez-Castaño,69.8,1396,20
9,T10,,Sergio Garcia,69.81,1117,16
10,T10,,Kevin Kisner,69.81,1815,26
11,12,,Jordan Spieth,69.86,1467,21
12,13,,Ryan Brehm,69.87,1607,23
13,14,,Justin Rose,69.88,1188,17
14,15,,Kyle Stanley,69.89,1957,28
15,16,,Zach Johnson,69.95,1539,22
16,T17,,Webb Simpson,69.96,1889,27
17,T17,,Kevin Tway,69.96,1749,25
18,T19,,Daniel Berger,70.0,1680,24
19,T19,,Luke List,70.0,2100,30
20,T19,,Rory McIlroy,70.0,910,13
21,T19,,Seamus Power,70.0,1610,23
22,T19,,Brandt Snedeker,70.0,980,14
23,T24,,Paul Casey,70.04,1611,23
24,T24,,Trey Mullinax,70.04,1821,26
25,26,,Jason Day,70.06,1261,18
26,27,,J.J. Spaun,70.08,1752,25
27,28,,Charles Howell III,70.09,1542,22
28,29,,Lucas Glover,70.12,1753,25
29,30,,Sung Kang,70.13,2174,31
30,31,,Ryan Moore,70.14,1543,22
31,32,,Rickie Fowler,70.15,1403,20
32,33,,Martin Laird,70.17,1684,24
33,34,,Bud Cauley,70.19,1895,27
34,35,,Ian Poulter,70.21,1334,19
35,T36,,Matt Jones,70.22,1264,18
36,T36,,Tag Ridings,70.22,1264,18
37,T38,,Brian Gay,70.25,1686,24
38,T38,,Adam Hadwin,70.25,1967,28
39,T38,,Marc Leishman,70.25,1686,24
40,T41,,Keegan Bradley,70.29,1968,28
41,T41,,Graeme McDowell,70.29,1195,17
42,T41,,Scott Stallings,70.29,1687,24
43,T44,,Chad Campbell,70.31,2039,29
44,T44,,Russell Henley,70.31,1828,26
45,46,,Bill Haas,70.33,1688,24
46,47,,Brad Fritsch,70.35,1196,17
47,48,,Anirban Lahiri,70.36,1548,22
48,49,,Tyrone Van Aswegen,70.37,2111,30
49,T50,,Julián Etulain,70.4,1408,20
50,T50,,Cameron Percy,70.4,1408,20
51,T52,,Andres Gonzales,70.41,1549,22
52,T52,,Jon Rahm,70.41,1549,22
53,T54,,Mark Anderson,70.42,1338,19
54,T54,,Ryan Armour,70.42,1338,19
55,56,,Zac Blair,70.43,2113,30
56,T57,,Harris English,70.44,1761,25
57,T57,,Matt Kuchar,70.44,1761,25
58,T57,,Cameron Smith,70.44,1761,25
59,60,,Steven Alker,70.45,1409,20
60,61,,J.J. Henry,70.46,1832,26
61,62,,Charley Hoffman,70.47,2114,30
62,63,,Brendan Steele,70.48,1621,23
63,T64,,Ben Crane,70.52,1622,23
64,T64,,Peter Malnati,70.52,1904,27
65,T64,,Vaughn Taylor,70.52,1622,23
66,67,,Stewart Cink,70.54,1834,26
67,68,,Francesco Molinari,70.55,1411,20
68,69,,Hudson Swafford,70.56,1905,27
69,70,,Emiliano Grillo,70.58,1694,24
70,T71,,Russell Knox,70.59,1553,22
71,T71,,Brooks Koepka,70.59,1553,22
72,T73,,Xander Schauffele,70.63,1907,27
73,T73,,Gary Woodland,70.63,1695,24
74,T75,,Smylie Kaufman,70.67,1696,24
75,T75,,Kevin Na,70.67,1696,24
76,T75,,Richy Werenski,70.67,1696,24
77,78,,Graham DeLaet,70.68,1555,22
78,T79,,Harold Varner III,70.7,2121,30
79,T79,,Camilo Villegas,70.7,1626,23
80,81,,Luke Donald,70.71,1202,17
81,82,,Tim Wilkinson,70.74,1344,19
82,T83,,Scott Brown,70.75,1981,28
83,T83,,Derek Fathauer,70.75,1698,24
84,T83,,Morgan Hoffmann,70.75,1981,28
85,T83,,Jason Kokrak,70.75,1981,28
86,T87,,Ollie Schniederjans,70.76,1769,25
87,T87,,Robert Streb,70.76,2052,29
88,89,,Daniel Summerhays,70.78,1911,27
89,T90,,John Huh,70.81,1912,27
90,T90,,Sebastián Muñoz,70.81,1133,16
91,T92,,Grayson Murray,70.82,1983,28
92,T92,,Nick Taylor,70.82,1983,28
93,94,,Bryson DeChambeau,70.83,2054,29
94,95,,Fabián Gómez,70.84,1346,19
95,96,,Patrick Reed,70.85,1913,27
96,T97,,Ricky Barnes,70.86,2055,29
97,T97,,Ryan Blaum,70.86,1984,28
98,99,,Louis Oosthuizen,70.88,1134,16
99,100,,Rory Sabbatini,70.9,1418,20
100,101,,Phil Mickelson,70.95,1490,21
101,102,,David Hearn,70.96,1916,27
102,T103,,Blayne Barber,71.0,1633,23
103,T103,,Geoff Ogilvy,71.0,1633,23
104,T105,,Alex Cejka,71.04,1705,24
105,T105,,William McGirt,71.04,1776,25
106,T105,,Seung-Yul Noh,71.04,1989,28
107,T108,,David Lingmerth,71.05,1563,22
108,T108,,Chris Stroud,71.05,1421,20
109,T108,,Nick Watney,71.05,1492,21
110,T111,,James Hahn,71.07,1990,28
111,T111,,Mackenzie Hughes,71.07,2132,30
112,T111,,Danny Lee,71.07,1990,28
113,T111,,C.T. Pan,71.07,1990,28
114,T115,,Ken Duke,71.08,1706,24
115,T115,,Chris Kirk,71.08,1848,26
116,117,,Kyle Reifers,71.1,2133,30
117,T118,,Robert Garrigus,71.13,1707,24
118,T118,,Brandon Hagy,71.13,1707,24
119,120,,Brian Harman,71.14,2063,29
120,121,,Martin Flores,71.16,1779,25
121,T122,,Cody Gribble,71.19,1922,27
122,T122,,Cameron Tringale,71.19,1851,26
123,124,,Dustin Johnson,71.21,1353,19
124,125,,Wesley Bryan,71.22,1923,27
125,126,,Troy Merritt,71.23,1852,26
126,T127,,Scott Piercy,71.24,1496,21
127,T127,,Charl Schwartzel,71.24,1211,17
128,T129,,Jonas Blixt,71.25,1710,24
129,T129,,Chad Collins,71.25,1710,24
130,T131,,Greg Chalmers,71.27,1853,26
131,T131,,Tom Hoge,71.27,1069,15
132,T133,,Retief Goosen,71.29,1212,17
133,T133,,Shawn Stefani,71.29,1711,24
134,135,,Jonathan Randolph,71.3,1426,20
135,136,,Bryce Molder,71.32,1783,25
136,T137,,Rafa Cabrera Bello,71.33,1284,18
137,T137,,Michael Kim,71.33,1926,27
138,T139,,Byeong Hun An,71.35,1427,20
139,T139,,J.T. Poston,71.35,1855,26
140,141,,Kevin Streelman,71.36,1784,25
141,142,,Johnson Wagner,71.38,1713,24
142,T143,,Miguel Angel Carballo,71.4,1428,20
143,T143,,Boo Weekley,71.4,1785,25
144,145,,Ben Martin,71.42,1714,24
145,146,,J.B. Holmes,71.43,1500,21
146,T147,,Hunter Mahan,71.52,1788,25
147,T147,,Jhonattan Vegas,71.52,1931,27
148,149,,Spencer Levin,71.55,2075,29
149,150,,Kevin Chappell,71.56,1789,25
150,T151,,Branden Grace,71.59,1217,17
151,T151,,D.A. Points,71.59,1575,22
152,153,,Billy Hurley III,71.6,1790,25
153,154,,Rick Lamb,71.61,1289,18
154,155,,Bubba Watson,71.63,1361,19
155,T156,,Mark Hubbard,71.64,1791,25
156,T156,,Shane Lowry,71.64,1003,14
157,158,,Whee Kim,71.67,1720,24
158,159,,Patton Kizzire,71.69,1864,26
159,160,,Jimmy Walker,71.7,1434,20
160,161,,Jason Bohn,71.73,1865,26
161,162,,Sam Saunders,71.77,1579,22
162,163,,Ryan Palmer,71.78,1292,18
163,164,,Billy Horschel,71.81,1939,27
164,165,,Sean O'Hair,71.84,1796,25
165,T166,,Roberto Castro,71.88,1725,24
166,T166,,Jim Furyk,71.88,1222,17
167,T166,,Carl Pettersson,71.88,1725,24
168,T166,,Patrick Rodgers,71.88,1869,26
169,170,,Aaron Baddeley,71.89,1366,19
170,171,,Si Woo Kim,71.91,1654,23
171,172,,Nicholas Lindheim,71.94,1223,17
172,173,,Andrew Loupe,71.95,1439,20
173,T174,,K.J. Choi,72.0,1656,23
174,T174,,Brian Stuard,72.0,2088,29
175,T174,,Steve Wheatcroft,72.0,1152,16
176,177,,Jim Herman,72.04,1729,24
177,178,,Dominic Bozzelli,72.13,1659,23
178,T179,,Ernie Els,72.17,1299,18
179,T179,,Kelly Kraft,72.17,1660,23
180,181,,Søren Kjeldsen,72.2,1083,15
181,182,,Michael Thompson,72.21,1372,19
182,183,,Brett Drewitt,72.22,1300,18
183,T184,,Ryo Ishikawa,72.25,1445,20
184,T184,,Adam Scott,72.25,1156,16
185,186,,Matt Every,72.35,1881,26
186,187,,Brian Campbell,72.44,1304,18
187,188,,Rod Pampling,72.55,1596,22
188,189,,Brett Stegmaier,72.77,1892,26
189,190,,Steven Bowditch,74.2,1855,25
