,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,,Rickie Fowler,78,68.64,1922,28
1,2,,Paul Casey,94,69.03,2347,34
2,3,,Marc Leishman,94,69.09,3040,44
3,4,,Russell Henley,99,69.11,3041,44
4,5,,Jordan Spieth,85,69.13,2143,31
5,6,,Sergio Garcia,65,69.27,2078,30
6,7,,Tony Finau,106,69.32,3674,53
7,8,,Rory McIlroy,51,69.4,1388,20
8,9,,Brandt Snedeker,53,69.42,1319,19
9,10,,Justin Rose,66,69.5,1946,28
10,11,,Keegan Bradley,104,69.59,3549,51
11,12,,Francesco Molinari,75,69.61,2297,33
12,13,,Stewart Cink,93,69.71,3416,49
13,T14,,Rory Sabbatini,71,69.74,2162,31
14,T14,,Chris Stroud,67,69.74,2162,31
15,16,,Luke List,102,69.77,3698,53
16,17,,Chez Reavie,98,69.8,3071,44
17,T18,,Dustin Johnson,77,69.81,2164,31
18,T18,,Sam Saunders,76,69.81,2234,32
19,20,,Bill Haas,92,69.84,2654,38
20,21,,Lucas Glover,93,69.86,3004,43
21,22,,Xander Schauffele,96,69.87,3214,46
22,23,,Seamus Power,86,69.9,2796,40
23,24,,Bud Cauley,92,69.91,3006,43
24,25,,Webb Simpson,102,69.92,3566,51
25,26,,Chad Campbell,97,69.96,3148,45
26,27,,Jason Day,71,69.97,2169,31
27,28,,Kyle Stanley,104,69.98,3849,55
28,T29,,Andres Gonzales,73,70.03,2381,34
29,T29,,Phil Mickelson,85,70.03,2731,39
30,T29,,Jon Rahm,90,70.03,2661,38
31,32,,Pat Perez,93,70.07,3013,43
32,33,,Brian Harman,104,70.08,3434,49
33,34,,Cameron Smith,86,70.1,2874,41
34,35,,Emiliano Grillo,90,70.15,3367,48
35,36,,Matt Kuchar,95,70.19,2948,42
36,T37,,Jason Dufner,89,70.22,2528,36
37,T37,,Ian Poulter,72,70.22,2598,37
38,39,,Patrick Cantlay,52,70.24,1475,21
39,40,,Sung Kang,104,70.26,3794,54
40,T41,,J.T. Poston,95,70.28,3233,46
41,T41,,Patrick Reed,107,70.28,3514,50
