,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,,Luke List,102,98.0,1764,18
1,2,,Justin Thomas,86,101.6,1422,14
2,3,,Andrew Loupe,55,104.0,936,9
3,4,,Martin Laird,83,106.7,1494,14
4,5,,Jason Day,71,108.0,1188,11
5,T6,,Miguel Angel Carballo,63,114.0,1026,9
6,T6,,Hideki Matsuyama,83,114.0,1368,12
7,8,,Brandon Hagy,85,115.5,1386,12
8,9,,Tony Finau,106,117.0,1872,16
9,10,,Phil Mickelson,85,120.0,1440,12
10,11,,Shawn Stefani,72,122.4,1224,10
11,12,,Cameron Smith,86,123.0,1476,12
12,13,,Brooks Koepka,88,130.9,1440,11
13,14,,Jamie Lovemark,98,132.9,1728,13
14,T15,,Kevin Chappell,95,135.0,1620,12
15,T15,,Marc Leishman,94,135.0,1620,12
16,17,,Jon Rahm,90,135.8,1494,11
17,T18,,Graham DeLaet,82,136.8,1368,10
18,T18,,J.B. Holmes,83,136.8,1368,10
19,20,,Andres Gonzales,73,138.0,1242,9
20,21,,Kyle Stanley,104,138.5,1800,13
21,22,,Sergio Garcia,65,139.5,1116,8
22,T23,,Jonas Blixt,74,140.0,1260,9
23,T23,,Matt Every,76,140.0,1260,9
24,T23,,Dustin Johnson,77,140.0,1260,9
25,26,,Keegan Bradley,104,141.2,1836,13
26,T27,,Patrick Cantlay,52,144.0,864,6
27,T27,,Kyle Reifers,96,144.0,1584,11
28,29,,Martin Flores,88,145.8,1458,10
29,30,,Rory Sabbatini,71,146.3,1170,8
30,31,,Jason Dufner,89,147.6,1476,10
31,32,,Charley Hoffman,112,149.5,1944,13
32,33,,Rick Lamb,54,150.0,900,6
33,T34,,Carl Pettersson,63,151.7,1062,7
34,T34,,Tag Ridings,67,151.7,1062,7
35,T36,,Ryan Brehm,83,154.0,1386,9
36,T36,,Scott Stallings,81,154.0,1386,9
37,38,,Ernie Els,52,156.0,936,6
38,39,,Kevin Tway,96,158.4,1584,10
39,40,,Louis Oosthuizen,69,159.4,1116,7
40,41,,Hunter Mahan,73,159.8,1278,8
41,T42,,Paul Casey,94,162.0,1620,10
42,T42,,Whee Kim,74,162.0,1296,8
43,T42,,Anirban Lahiri,72,162.0,1296,8
44,T42,,Bubba Watson,71,162.0,1134,7
45,46,,Wesley Bryan,95,163.8,1638,10
46,47,,Boo Weekley,75,164.3,1314,8
47,48,,Xander Schauffele,96,165.6,1656,10
48,49,,Mark Hubbard,81,166.5,1332,8
49,50,,Sung Kang,104,166.9,1836,11
50,51,,Stewart Cink,93,167.4,1674,10
51,T52,,Brendan Steele,89,168.0,1512,9
52,T52,,Michael Thompson,60,168.0,1008,6
53,T54,,Brett Stegmaier,78,171.0,1368,8
54,T54,,Nick Taylor,97,171.0,1710,10
55,T56,,Daniel Berger,91,172.0,1548,9
56,T56,,J.J. Spaun,92,172.0,1548,9
57,58,,Rory McIlroy,51,172.8,864,5
58,59,,D.A. Points,68,174.9,1224,7
59,60,,Jordan Spieth,85,175.5,1404,8
60,61,,Morgan Hoffmann,92,176.0,1584,9
61,62,,Ryan Armour,63,177.0,1062,6
62,63,,Nick Watney,75,177.4,1242,7
63,64,,Webb Simpson,102,178.2,1782,10
64,T65,,Robert Garrigus,78,185.1,1296,7
65,T65,,Francesco Molinari,75,185.1,1296,7
66,67,,Chad Collins,66,186.0,1116,6
67,68,,Daniel Summerhays,100,188.0,1692,9
68,69,,Sean O'Hair,84,189.0,1512,8
69,70,,Chez Reavie,98,190.0,1710,9
70,71,,Justin Rose,66,192.0,1152,6
71,72,,J.J. Henry,92,193.5,1548,8
72,73,,Cameron Percy,71,195.0,1170,6
73,74,,Seung-Yul Noh,91,195.8,1566,8
