,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,,Shawn Stefani,72,10.45,23,220
1,2,,Charles Howell III,86,10.79,30,278
2,3,,Kevin Na,86,11.15,34,305
3,4,,Jordan Spieth,85,11.64,39,335
4,5,,Adam Hadwin,98,11.7,40,342
5,6,,Hideki Matsuyama,83,11.97,37,309
6,7,,Brian Harman,104,12.04,43,357
7,8,,Michael Thompson,60,12.05,20,166
8,9,,Tyrone Van Aswegen,105,12.19,39,320
9,10,,Matt Kuchar,95,12.23,40,327
10,11,,Cody Gribble,79,12.41,33,266
11,T12,,Pat Perez,93,12.54,40,319
12,T12,,Webb Simpson,102,12.54,44,351
13,14,,Rafa Cabrera Bello,63,12.63,25,198
14,15,,David Hearn,93,12.73,34,267
15,16,,Richy Werenski,81,12.75,32,251
16,17,,Marc Leishman,94,12.84,43,335
17,18,,Scott Stallings,81,12.94,33,255
18,19,,Jon Rahm,90,12.95,43,332
19,20,,Chris Kirk,89,12.97,38,293
20,21,,Retief Goosen,52,12.99,20,154
21,22,,Ian Poulter,72,13.04,30,230
22,23,,Chad Campbell,97,13.06,41,314
23,24,,Russell Henley,99,13.24,47,355
24,25,,Alex Cejka,85,13.33,30,225
25,26,,Matt Jones,64,13.37,25,187
26,27,,Robert Streb,98,13.55,42,310
27,28,,Nick Taylor,97,13.69,43,314
28,29,,J.J. Henry,92,13.71,34,248
29,30,,Daniel Berger,91,13.85,45,325
30,31,,Brian Gay,82,13.89,35,252
31,32,,Ben Martin,86,13.98,39,279
32,T33,,Paul Casey,94,14.02,46,328
33,T33,,William McGirt,89,14.02,37,264
34,T35,,Bill Haas,92,14.03,39,278
35,T35,,Chez Reavie,98,14.03,47,335
36,37,,Tim Wilkinson,64,14.06,27,192
37,38,,David Lingmerth,79,14.12,37,262
38,39,,Shane Lowry,52,14.36,26,181
39,40,,Ricky Barnes,100,14.43,43,298
40,41,,Martin Laird,83,14.44,41,284
41,42,,Russell Knox,75,14.52,36,248
42,43,,Rory McIlroy,51,14.53,26,179
43,44,,Zac Blair,105,14.56,46,316
44,45,,Hudson Swafford,94,14.6,46,315
45,46,,Jhonattan Vegas,95,14.61,45,308
46,47,,Rickie Fowler,78,14.65,46,314
47,48,,Tony Finau,106,14.71,59,401
48,T49,,Chad Collins,66,14.75,27,183
49,T49,,Emiliano Grillo,90,14.75,45,305
50,T51,,Graham DeLaet,82,14.76,40,271
51,T51,,Jason Kokrak,95,14.76,49,332
52,53,,Michael Kim,94,14.78,47,318
53,54,,Geoff Ogilvy,80,14.86,33,222
54,T55,,Blayne Barber,77,14.89,39,262
55,T55,,Jason Bohn,75,14.89,28,188
56,57,,Chris Stroud,67,14.95,32,214
57,58,,J.J. Spaun,92,14.97,44,294
58,59,,Peter Malnati,91,14.98,43,287
59,60,,Gonzalo Fernandez-Castaño,63,15.0,27,180
60,61,,J.T. Poston,95,15.05,48,319
61,62,,Kyle Reifers,96,15.12,39,258
62,63,,Luke Donald,50,15.17,22,145
63,64,,Nicholas Lindheim,58,15.18,29,191
64,65,,Rory Sabbatini,71,15.23,37,243
65,66,,Mark Anderson,54,15.29,26,170
66,67,,Luke List,102,15.32,59,385
67,68,,Vaughn Taylor,90,15.36,45,293
68,69,,Troy Merritt,82,15.42,39,253
69,70,,Sebastián Muñoz,51,15.43,27,175
70,71,,Bud Cauley,92,15.53,48,309
71,72,,Ryan Armour,63,15.54,30,193
72,73,,Seamus Power,86,15.57,45,289
73,T74,,Martin Flores,88,15.67,42,268
74,T74,,Patrick Reed,107,15.67,55,351
75,T76,,Jim Herman,77,15.69,40,255
76,T76,,Brendan Steele,89,15.69,48,306
77,78,,Sean O'Hair,84,15.72,47,299
78,79,,Dustin Johnson,77,15.73,42,267
79,T80,,Louis Oosthuizen,69,15.82,31,196
80,T80,,Ollie Schniederjans,92,15.82,50,316
81,82,,Steven Alker,69,15.84,32,202
82,83,,Justin Thomas,86,15.88,54,340
83,84,,Mark Hubbard,81,15.91,35,220
84,85,,Trey Mullinax,88,15.95,48,301
85,T86,,Kevin Kisner,105,16.07,54,336
86,T86,,D.A. Points,68,16.07,36,224
87,88,,Harris English,84,16.15,42,260
88,89,,Steve Wheatcroft,51,16.2,23,142
89,90,,Roberto Castro,70,16.23,31,191
90,91,,Steven Bowditch,59,16.28,21,129
91,T92,,Andres Gonzales,73,16.33,40,245
92,T92,,Justin Rose,66,16.33,40,245
93,94,,Kyle Stanley,104,16.35,60,367
94,95,,Kevin Tway,96,16.4,51,311
95,96,,Jonathan Randolph,68,16.43,35,213
96,T97,,Aaron Baddeley,61,16.49,32,194
97,T97,,John Huh,92,16.49,46,279
98,99,,Daniel Summerhays,100,16.56,51,308
99,100,,Julián Etulain,68,16.59,34,205
100,101,,Xander Schauffele,96,16.62,57,343
101,102,,Phil Mickelson,85,16.67,50,300
102,103,,Jamie Lovemark,98,16.71,59,353
103,T104,,Robert Garrigus,78,16.73,46,275
104,T104,,Cameron Tringale,89,16.73,47,281
105,106,,Anirban Lahiri,72,16.79,46,274
106,T107,,Sergio Garcia,65,16.82,37,220
107,T107,,Brooks Koepka,88,16.82,55,327
108,109,,Seung-Yul Noh,91,16.83,52,309
109,110,,Cameron Smith,86,16.84,50,297
110,111,,Ryan Blaum,100,16.87,55,326
111,112,,Francesco Molinari,75,16.92,45,266
112,113,,Scott Brown,95,16.93,53,313
113,114,,Cameron Percy,71,16.98,36,212
114,115,,Lucas Glover,93,17.03,55,323
115,116,,Branden Grace,70,17.09,34,199
116,117,,Spencer Levin,89,17.12,44,257
117,118,,Tag Ridings,67,17.13,37,216
118,119,,Charley Hoffman,112,17.2,70,407
119,120,,Patrick Rodgers,76,17.24,40,232
120,121,,Brandon Hagy,85,17.27,48,278
121,122,,Danny Lee,93,17.28,56,324
122,123,,Kevin Streelman,90,17.36,50,288
123,124,,Smylie Kaufman,76,17.41,43,247
124,125,,Gary Woodland,94,17.42,54,310
125,126,,Mackenzie Hughes,106,17.45,63,361
126,127,,Derek Fathauer,81,17.47,47,269
127,128,,Morgan Hoffmann,92,17.53,51,291
128,129,,James Hahn,96,17.65,54,306
129,130,,Stewart Cink,93,17.68,61,345
130,131,,C.T. Pan,88,17.76,46,259
131,132,,Camilo Villegas,76,17.87,47,263
132,133,,Dominic Bozzelli,69,17.94,40,223
133,134,,Søren Kjeldsen,58,17.95,28,156
134,135,,Rick Lamb,54,17.96,30,167
135,136,,Ken Duke,77,17.97,39,217
