,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,,Cameron Smith,86,67.67,609,9
1,2,,Russell Henley,99,67.71,948,14
2,3,,Anirban Lahiri,72,67.82,746,11
3,4,,Tony Finau,106,68.5,685,10
4,5,,Martin Laird,83,68.54,891,13
5,6,,Rickie Fowler,78,68.63,1098,16
6,7,,Charles Howell III,86,68.8,688,10
7,8,,Brandt Snedeker,53,68.92,827,12
8,9,,Paul Casey,94,68.94,1172,17
9,10,,Keegan Bradley,104,68.95,1517,22
10,T11,,Webb Simpson,102,69.0,897,13
11,T11,,Kyle Stanley,104,69.0,1173,17
12,13,,Jason Dufner,89,69.1,691,10
13,14,,Bill Haas,92,69.21,969,14
14,15,,Jordan Spieth,85,69.24,1177,17
15,T16,,Justin Rose,66,69.31,901,13
16,T16,,Sam Saunders,76,69.31,901,13
17,18,,Rory Sabbatini,71,69.38,902,13
18,19,,John Huh,92,69.39,1249,18
19,20,,Luke List,102,69.4,1041,15
20,T21,,Andres Gonzales,73,69.43,972,14
21,T21,,Pat Perez,93,69.43,972,14
22,23,,Gonzalo Fernandez-Castaño,63,69.44,1111,16
23,T24,,Francesco Molinari,75,69.5,695,10
24,T24,,Hudson Swafford,94,69.5,834,12
25,T26,,Stewart Cink,93,69.53,1043,15
26,T26,,Sung Kang,104,69.53,1182,17
27,28,,Marc Leishman,94,69.54,904,13
28,29,,Ryan Blaum,100,69.55,1391,20
29,30,,Morgan Hoffmann,92,69.58,1322,19
30,T31,,Wesley Bryan,95,69.62,1462,21
31,T31,,Scott Piercy,70,69.62,905,13
32,T31,,Robert Streb,98,69.62,1462,21
33,34,,Camilo Villegas,76,69.63,1323,19
34,35,,Sebastián Muñoz,51,69.64,766,11
35,36,,Chad Campbell,97,69.68,1324,19
36,37,,Whee Kim,74,69.71,1185,17
37,T38,,Bud Cauley,92,69.72,1255,18
38,T38,,Jimmy Walker,68,69.72,1255,18
39,40,,Chris Stroud,67,69.73,1046,15
40,T41,,Brian Harman,104,69.75,1116,16
41,T41,,Brendan Steele,89,69.75,837,12
42,T41,,Vaughn Taylor,90,69.75,1116,16
43,T44,,Chez Reavie,98,69.77,907,13
44,T44,,Daniel Summerhays,100,69.77,1535,22
45,46,,Gary Woodland,94,69.85,908,13
46,47,,David Lingmerth,79,69.91,769,11
47,48,,Robert Garrigus,78,69.94,1189,17
48,49,,Seamus Power,86,69.95,1329,19
49,T50,,Brian Campbell,55,70.0,770,11
50,T50,,Sergio Garcia,65,70.0,840,12
51,T50,,Lucas Glover,93,70.0,1120,16
52,T50,,Kevin Kisner,105,70.0,1190,17
53,T50,,Brooks Koepka,88,70.0,1260,18
54,T50,,Louis Oosthuizen,69,70.0,840,12
55,56,,Harold Varner III,101,70.05,1541,22
56,57,,Justin Thomas,86,70.06,1191,17
57,T58,,Martin Flores,88,70.11,1332,19
58,T58,,Phil Mickelson,85,70.11,1332,19
59,T60,,Emiliano Grillo,90,70.13,1052,15
60,T60,,Rory McIlroy,51,70.13,561,8
61,T60,,Troy Merritt,82,70.13,1122,16
62,T60,,Ian Poulter,72,70.13,1052,15
63,64,,Branden Grace,70,70.17,842,12
64,65,,Danny Lee,93,70.18,772,11
65,66,,Adam Hadwin,98,70.2,1053,15
66,T67,,Matt Jones,64,70.25,1124,16
67,T67,,Michael Kim,94,70.25,1405,20
68,T67,,Jon Rahm,90,70.25,1405,20
69,70,,Bryson DeChambeau,91,70.26,1335,19
70,T71,,Zach Johnson,81,70.27,1054,15
71,T71,,Jonathan Randolph,68,70.27,1054,15
72,T71,,Patrick Reed,107,70.27,1546,22
73,T71,,Xander Schauffele,96,70.27,1054,15
74,75,,Kevin Tway,96,70.28,1265,18
75,76,,Ryan Moore,82,70.3,703,10
76,77,,Michael Thompson,60,70.31,1125,16
77,T78,,Jonas Blixt,74,70.33,844,12
78,T78,,Cody Gribble,79,70.33,1055,15
79,T78,,Tom Hoge,54,70.33,633,9
80,T78,,C.T. Pan,88,70.33,1266,18
81,T78,,Nick Taylor,97,70.33,1477,21
82,83,,Ken Duke,77,70.35,1829,26
83,T84,,Kevin Chappell,95,70.36,774,11
84,T84,,J.T. Poston,95,70.36,985,14
85,86,,Dustin Johnson,77,70.41,1197,17
86,87,,Daniel Berger,91,70.44,1268,18
87,88,,Trey Mullinax,88,70.45,1550,22
88,89,,Zac Blair,105,70.46,1691,24
89,90,,Jhonattan Vegas,95,70.5,1269,18
90,T91,,Graham DeLaet,82,70.53,1058,15
91,T91,,Geoff Ogilvy,80,70.53,1199,17
92,T93,,Smylie Kaufman,76,70.54,917,13
93,T93,,D.A. Points,68,70.54,917,13
94,T95,,Derek Fathauer,81,70.57,1482,21
95,T95,,Shawn Stefani,72,70.57,988,14
96,T97,,Matt Kuchar,95,70.58,1341,19
97,T97,,Rick Lamb,54,70.58,847,12
98,99,,Mackenzie Hughes,106,70.59,1200,17
99,100,,Spencer Levin,89,70.61,1624,23
100,101,,Søren Kjeldsen,58,70.64,777,11
101,102,,Patrick Cantlay,52,70.67,424,6
102,T103,,Billy Hurley III,80,70.71,990,14
103,T103,,Jason Kokrak,95,70.71,990,14
104,T103,,Cameron Percy,71,70.71,1485,21
105,T103,,Nick Watney,75,70.71,990,14
106,T103,,Boo Weekley,75,70.71,990,14
107,108,,Jim Herman,77,70.73,778,11
108,109,,Jason Bohn,75,70.77,1557,22
109,T110,,K.J. Choi,72,70.79,991,14
110,T110,,Brian Gay,82,70.79,991,14
111,T112,,J.J. Spaun,92,70.81,1133,16
