,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Tiger Woods,6,3782.5,22695.0
1,2,2,Padraig Harrington,12,1296.257,15555.081
2,3,3,Phil Mickelson,17,1073.021,18241.351000000002
3,4,4,Kenny Perry,22,949.015,20878.323
4,5,5,Anthony Kim,18,843.212,15177.821000000002
5,6,6,Stewart Cink,18,840.318,15125.722
6,7,7,Vijay Singh,19,791.24,15033.562
7,8,8,Sergio Garcia,15,686.7310000000001,10300.963
8,9,9,Geoff Ogilvy,17,639.184,10866.123
9,10,10,Justin Leonard,20,636.696,12733.91
10,11,11,Adam Scott,12,629.813,7557.7519999999995
11,12,12,Ernie Els,12,585.244,7022.932
12,13,13,Ryuji Imada,19,573.856,10903.271
13,14,14,Lee Westwood,10,562.567,5625.670999999999
14,15,15,Luke Donald,11,545.5459999999999,6001.008000000001
15,16,16,K.J. Choi,17,520.1519999999999,8842.581
16,17,17,Robert Allenby,21,502.58099999999996,10554.198
17,18,18,Boo Weekley,20,482.73400000000004,9654.67
18,19,19,Trevor Immelman,18,456.038,8208.686
19,20,20,Sean O'Hair,20,451.466,9029.325
20,21,21,Steve Stricker,18,449.01099999999997,8082.196999999999
21,22,22,Andres Romero,16,447.24199999999996,7155.8730000000005
22,23,23,Carl Pettersson,22,446.38800000000003,9820.54
23,24,24,Stuart Appleby,19,442.246,8402.674
24,25,25,Jim Furyk,22,429.00199999999995,9438.04
25,26,26,Greg Norman,4,398.75,1595.0
26,27,27,Ben Curtis,18,394.711,7104.793000000001
27,28,28,Ian Poulter,13,390.23400000000004,5073.043
28,29,29,Stephen Ames,18,384.065,6913.164000000001
29,30,30,J.B. Holmes,21,373.055,7834.1630000000005
30,31,31,D.J. Trahan,23,369.418,8496.607
31,32,32,Bart Bryant,19,363.19,6900.606
32,33,33,Steve Lowery,17,362.56300000000005,6163.571
33,34,34,Chad Campbell,22,344.279,7574.147
34,35,35,Rory Sabbatini,16,343.01099999999997,5488.169
35,36,36,Camilo Villegas,18,341.175,6141.142
36,37,37,Retief Goosen,16,335.726,5371.62
37,38,38,Aaron Baddeley,18,328.04400000000004,5904.786
38,39,39,Jeff Quinney,23,318.66,7329.179
39,40,40,Tommy Armour III,18,315.035,5670.638000000001
40,41,41,Hunter Mahan,22,313.78700000000003,6903.305
41,42,42,Rod Pampling,22,311.65,6856.31
42,43,43,Woody Austin,22,307.381,6762.374
43,44,44,Daniel Chopra,21,303.551,6374.573
44,45,45,Briny Baird,23,302.436,6956.019
45,46,46,Mike Weir,20,301.29,6025.793000000001
46,47,47,Brian Gay,22,291.48400000000004,6412.658
47,48,48,Freddie Jacobson,20,290.689,5813.778
48,49,49,Justin Rose,15,285.16700000000003,4277.5
49,50,50,Dudley Hart,17,282.26099999999997,4798.43
50,51,51,Jerry Kelly,23,281.33,6470.593000000001
51,52,52,Billy Mayfair,23,281.094,6465.156999999999
52,53,53,Jason Bohn,13,275.513,3581.664
53,54,54,Fred Couples,14,274.091,3837.2740000000003
