,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Tiger Woods,6,80.05,22695,28350,4.0,6.0
1,2,2,Padraig Harrington,15,27.43,15555,56700,2.0,6.0
2,3,3,Phil Mickelson,21,22.97,18241,79425,2.0,7.0
3,4,4,Kenny Perry,26,21.33,20878,97875,3.0,7.0
4,5,5,Anthony Kim,22,18.28,15178,83025,2.0,6.0
5,6,6,Stewart Cink,23,18.02,15126,83925,1.0,7.0
6,7,7,Vijay Singh,23,17.0,15034,88425,1.0,6.0
7,8,8,Sergio Garcia,19,14.63,10301,70425,1.0,3.0
8,9,9,Justin Leonard,25,13.7,12734,92925,1.0,5.0
9,10,10,Geoff Ogilvy,20,13.68,10866,79425,1.0,6.0
10,11,11,Adam Scott,15,13.28,7558,56925,1.0,3.0
11,12,12,Ryuji Imada,25,12.46,10903,87525,1.0,4.0
12,13,13,Ernie Els,16,12.34,7023,56925,1.0,3.0
13,14,14,Lee Westwood,10,11.74,5626,47925,,2.0
14,15,15,Luke Donald,11,11.7,6001,51300,,3.0
15,16,16,K.J. Choi,21,11.13,8843,79425,1.0,3.0
16,17,17,Robert Allenby,28,10.83,10554,97425,,7.0
17,18,18,Boo Weekley,24,10.39,9655,92925,1.0,5.0
18,19,19,Greg Norman,4,9.85,1595,16200,,1.0
19,20,20,Trevor Immelman,22,9.83,8209,83475,1.0,2.0
20,T21,T21,Sean O'Hair,25,9.79,9029,92250,1.0,3.0
21,T21,T21,Carl Pettersson,29,9.79,9821,100350,1.0,5.0
22,23,23,Steve Stricker,22,9.63,8082,83925,,5.0
23,24,24,Andres Romero,20,9.55,7156,74925,1.0,3.0
24,25,25,Stuart Appleby,23,9.5,8403,88425,,6.0
25,26,26,Jim Furyk,26,9.26,9438,101925,,6.0
26,27,27,Ben Curtis,22,8.77,7105,81000,,3.0
27,28,28,Ian Poulter,15,8.26,5073,61425,,1.0
28,29,29,Stephen Ames,24,8.24,6913,83925,,5.0
29,30,30,D.J. Trahan,27,8.21,8497,103500,1.0,3.0
30,31,31,J.B. Holmes,26,8.04,7834,97425,1.0,3.0
31,32,32,Bart Bryant,23,7.9,6901,87300,,2.0
32,33,33,Steve Lowery,25,7.89,6164,78075,1.0,2.0
33,34,34,Chad Campbell,28,7.7,7574,98325,,5.0
34,35,35,Camilo Villegas,22,7.34,6141,83700,,4.0
35,36,36,Tommy Armour III,25,7.33,5671,77400,,5.0
36,37,37,Rory Sabbatini,23,7.32,5488,74925,,2.0
37,38,38,Retief Goosen,18,7.17,5372,74925,,2.0
38,39,39,Briny Baird,30,7.12,6956,97650,,3.0
39,40,40,Aaron Baddeley,22,7.04,5905,83925,,2.0
40,41,41,Jeff Quinney,28,6.96,7329,105300,,3.0
41,T42,T42,Hunter Mahan,27,6.77,6903,101925,,4.0
42,T42,T42,Rod Pampling,28,6.77,6856,101250,,5.0
43,44,44,Brian Gay,31,6.72,6413,95400,1.0,4.0
44,45,45,Woody Austin,30,6.63,6762,101925,,4.0
45,46,46,Daniel Chopra,27,6.57,6375,96975,1.0,1.0
46,47,47,Mike Weir,26,6.5,6026,92700,,3.0
47,48,48,Dudley Hart,22,6.42,4798,74700,,4.0
48,49,49,Freddie Jacobson,24,6.32,5814,92025,,2.0
49,T50,T50,Jerry Kelly,31,6.24,6471,103725,,4.0
