,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,8817667
1,2,2,Phil Mickelson,6809025
2,3,3,Justin Leonard,5215187
3,4,4,Anthony Kim,4788166
4,5,5,Kenny Perry,4751077
5,6,6,Stewart Cink,4516636
6,7,7,Steve Stricker,4493304
7,8,8,Jim Furyk,3811494
8,9,9,Chad Campbell,3153330
9,10,10,Sean O'Hair,2890504
10,11,11,Boo Weekley,2815370
11,12,12,D.J. Trahan,2772151
12,13,13,Brandt Snedeker,2686275
13,14,14,Kevin Sutherland,2658131
14,15,15,Ben Curtis,2628668
15,16,16,Hunter Mahan,2617042
16,17,17,Ken Duke,2608153
17,18,18,Billy Mayfair,2558575
18,19,19,Steve Flesch,2556372
19,20,20,Woody Austin,2542607
20,21,21,Brian Gay,2453677
21,22,22,Briny Baird,2374091
22,23,23,Zach Johnson,2349840
23,24,24,J.B. Holmes,2338091
24,25,25,George McNeill,2287325
25,26,26,Dudley Hart,2218817
26,27,27,Steve Marino,2204593
27,28,28,Heath Slocum,2203841
28,29,29,Jeff Quinney,2182998
29,30,30,Pat Perez,2015798
30,31,31,Johnson Wagner,2002834
31,32,32,Jerry Kelly,1988362
32,33,33,Scott Verplank,1939283
33,34,34,Bart Bryant,1892724
34,35,35,Cameron Beckman,1873033
35,36,36,Nicholas Thompson,1869329
36,37,37,John Mallinger,1820194
37,38,38,Tommy Armour III,1799301
38,39,39,Mark Calcavecchia,1789923
39,40,40,Dustin Johnson,1789895
40,41,41,Mark Wilson,1767119
41,42,42,Davis Love III,1719737
42,43,43,Paul Goydos,1696512
43,44,44,Bubba Watson,1694695
44,45,45,Charles Howell III,1687474
45,46,46,Michael Allen,1685918
46,47,47,Dean Wilson,1671868
47,48,48,Steve Lowery,1670433
48,49,49,Jeff Overton,1643355
49,50,50,Parker McLachlin,1636390
50,51,51,Ben Crane,1576834
51,52,52,Ryan Palmer,1554112
52,53,53,Matt Kuchar,1548008
53,54,54,Tim Petrovic,1515581
54,55,55,Rocco Mediate,1515025
55,56,56,Ryan Moore,1500291
56,57,57,Jonathan Byrd,1481298
57,58,58,John Merrick,1467203
58,59,59,Tom Pernice Jr.,1455839
59,60,60,Chez Reavie,1444102
60,61,61,Bill Haas,1426216
61,62,62,Troy Matteson,1424352
62,63,63,Greg Kraft,1404399
63,64,64,Bo Van Pelt,1395908
64,65,65,Lucas Glover,1353027
65,66,66,Kevin Streelman,1352705
66,67,67,Charley Hoffman,1351845
67,68,68,Robert Garrigus,1347722
68,69,69,Marc Turnesa,1329920
69,70,70,Tim Herron,1322994
70,71,71,Cliff Kresge,1283860
71,72,72,Vaughn Taylor,1272234
72,73,73,John Rollins,1269618
73,74,74,Joe Ogilvie,1216304
74,75,75,Jason Gore,1188673
75,76,76,Kevin Na,1188250
76,77,77,Michael Letzig,1166977
77,78,78,Nick Watney,1165662
78,79,79,Rich Beem,1147603
79,80,80,Will MacKenzie,1121621
80,81,81,Arron Oberholser,1114005
81,82,82,J.J. Henry,1106762
82,83,83,Charles Warren,1087498
83,84,84,Bob Estes,1067128
84,85,85,Eric Axley,968241
85,86,86,Corey Pavin,964175
86,87,87,Scott McCarron,952070
87,88,88,Fred Couples,949281
88,89,89,Joe Durant,947297
89,90,90,Brett Quigley,927251
90,91,91,Chris Stroud,885967
91,92,92,David Toms,884374
92,93,93,Brett Wetterich,871329
93,94,94,Jason Bohn,866786
94,95,95,Brad Adamonis,862413
95,96,96,Jay Williamson,849339
96,97,97,Tag Ridings,843834
97,98,98,Bob Tway,841858
98,99,99,Shane Bertsch,841248
99,100,100,Kevin Stadler,837920
100,101,101,Patrick Sheehan,805897
101,102,102,Frank Lickliter II,726368
102,103,103,Kent Jones,710050
103,104,104,James Driscoll,708549
104,105,105,Ryan Armour,700969
105,106,106,Tom Lehman,676651
106,107,107,Robert Gamez,674364
107,108,108,Jeff Maggert,654114
108,109,109,Marco Dawson,626599
109,110,110,Scott Sterling,624822
110,111,111,John Huston,608772
111,112,112,Chris DiMarco,590744
112,113,113,Chris Riley,575266
113,114,114,Todd Hamilton,570468
114,115,115,Tommy Gainey,562205
115,116,116,Harrison Frazar,537779
116,117,117,J.P. Hayes,533167
117,118,118,Lee Janzen,526435
118,119,119,Glen Day,472331
119,120,120,Jeff Gove,466765
120,121,121,Justin Bolli,458022
121,122,122,Craig Kanada,455067
122,123,123,Bob Heintz,451891
123,124,124,Roland Thatcher,445212
124,125,125,Jason Dufner,419193
125,126,126,Doug LaBelle II,409710
126,127,127,Dicky Pride,408458
127,128,128,Omar Uresti,346285
128,129,129,Chad Collins,339959
129,130,130,Shaun Micheel,338387
130,131,131,Garrett Willis,334107
131,132,132,Dan Forsman,319271
132,133,133,Fred Funk,318607
133,134,134,Billy Andrade,306640
134,135,135,Ted Purdy,297500
135,136,136,Brandt Jobe,293214
136,137,137,John Riegger,289501
137,138,138,Tom Scherrer,288391
138,139,139,Bob May,285290
139,140,140,Jimmy Walker,282249
140,141,141,Brad Elder,270365
