,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,13,11365.627
1,2,2,Phil Mickelson,22,5342.5
2,3,3,Stewart Cink,27,4952.665
3,4,4,Kenny Perry,27,4480.7
4,5,5,Jim Furyk,31,4423.892
5,6,6,Anthony Kim,22,4035.297
6,7,7,Justin Leonard,30,3379.2729999999997
7,8,8,Ben Curtis,28,3120.062
8,9,9,Boo Weekley,23,2785.0959999999995
9,10,10,Steve Stricker,26,2663.571
10,11,11,Woody Austin,31,2422.9829999999997
11,12,12,D.J. Trahan,32,2372.5660000000003
12,13,13,Hunter Mahan,33,2304.5170000000003
13,14,14,Sean O'Hair,29,2282.822
14,15,15,Rocco Mediate,30,2273.66
15,16,16,Brandt Snedeker,24,2248.887
16,17,17,Zach Johnson,28,2184.508
17,18,18,J.B. Holmes,26,2126.047
18,19,19,Jeff Quinney,23,2024.1870000000001
19,20,20,Bart Bryant,28,1900.256
20,21,21,Chad Campbell,32,1827.43
21,22,22,Jerry Kelly,34,1774.9920000000002
22,23,23,Steve Flesch,31,1720.5279999999998
23,24,24,Heath Slocum,28,1665.654
24,25,25,Paul Goydos,31,1614.467
25,26,26,Briny Baird,28,1586.664
26,27,27,Bubba Watson,31,1547.3410000000001
27,28,28,Steve Lowery,24,1517.986
28,29,29,Pat Perez,27,1456.9160000000002
29,30,30,Ken Duke,26,1427.965
30,31,31,Billy Mayfair,31,1416.8529999999998
31,32,32,Kevin Sutherland,30,1412.536
32,33,33,Nicholas Thompson,36,1391.7379999999998
33,34,34,Scott Verplank,28,1369.3770000000002
34,35,35,Chez Reavie,24,1366.1689999999999
35,36,36,Brian Gay,30,1362.828
36,37,37,Ben Crane,25,1345.619
37,38,38,Tom Pernice Jr.,34,1337.3029999999999
38,39,39,David Toms,24,1334.639
39,40,40,Tommy Armour III,23,1329.8210000000001
40,41,41,Johnson Wagner,23,1326.796
41,42,42,Steve Marino,24,1296.91
42,43,43,Charles Howell III,35,1290.458
43,44,44,Dean Wilson,36,1264.775
44,45,45,John Merrick,21,1244.653
45,46,46,Ryan Moore,26,1229.33
46,47,47,Dudley Hart,25,1140.803
47,48,48,Troy Matteson,34,1118.443
48,49,49,Jonathan Byrd,31,1109.085
49,50,50,Lucas Glover,33,1106.598
50,51,51,Nick Watney,30,1101.2830000000001
51,52,52,Eric Axley,36,1073.997
52,53,53,Joe Durant,32,1051.325
53,54,54,Parker McLachlin,21,1004.99
54,55,55,Jason Bohn,20,1001.7860000000001
55,56,56,Cliff Kresge,22,985.74
56,57,57,John Rollins,32,981.5889999999999
57,58,58,Mark Calcavecchia,31,971.252
58,59,59,Fred Couples,17,963.308
59,60,60,Brett Quigley,29,947.237
60,61,61,Matt Kuchar,24,916.9730000000001
61,62,62,John Mallinger,22,914.212
62,63,63,Corey Pavin,21,903.962
63,64,64,Kevin Na,24,872.7560000000001
64,65,65,Davis Love III,24,842.823
65,66,66,Charley Hoffman,32,832.6460000000001
66,67,67,Mark Wilson,30,831.184
67,68,68,Tom Lehman,21,789.172
68,69,69,Joe Ogilvie,28,765.77
69,70,70,George McNeill,22,751.878
70,71,71,Vaughn Taylor,32,735.625
71,72,72,Michael Letzig,21,723.035
72,73,73,Brad Adamonis,20,717.0310000000001
73,74,74,Bill Haas,31,696.2869999999999
74,75,75,Arron Oberholser,17,687.1189999999999
75,76,76,Frank Lickliter II,31,683.5989999999999
76,77,77,Charles Warren,26,654.132
77,78,78,Jay Williamson,23,638.315
78,79,79,Dustin Johnson,23,624.545
79,80,80,Greg Kraft,23,614.529
80,81,81,Bob Estes,28,604.946
81,82,82,Kevin Streelman,23,579.67
82,83,83,Chris DiMarco,30,563.9169999999999
83,84,84,James Driscoll,28,560.003
84,85,85,Shane Bertsch,30,559.7959999999999
85,86,86,Tim Petrovic,32,553.045
86,87,87,Bo Van Pelt,30,547.456
87,88,88,Todd Hamilton,32,545.901
88,89,89,Tim Herron,28,540.268
89,90,90,Michael Allen,29,518.396
90,91,91,Bob Tway,21,513.556
91,92,92,Patrick Sheehan,35,507.647
92,93,93,Lee Janzen,28,481.379
93,94,94,Jason Gore,30,474.586
94,95,95,J.J. Henry,34,471.24800000000005
95,96,96,Ryan Palmer,22,457.973
96,97,97,Jeff Overton,32,448.841
97,98,98,Kevin Stadler,24,420.667
98,99,99,Brian Bateman,27,420.506
99,100,100,Roland Thatcher,15,396.212
100,101,101,Tag Ridings,31,383.999
101,102,102,Will MacKenzie,24,381.217
102,103,103,Rich Beem,30,371.565
103,104,104,Scott McCarron,16,370.75699999999995
104,105,105,Marco Dawson,26,367.43699999999995
105,106,106,Brett Wetterich,21,359.092
106,107,107,Glen Day,15,356.551
107,108,108,Craig Kanada,17,332.20300000000003
108,109,109,Robert Garrigus,29,325.032
109,110,110,Fred Funk,22,318.38599999999997
110,111,111,John Huston,22,316.904
111,112,112,Brandt Jobe,23,302.844
112,113,113,Justin Bolli,19,300.319
113,114,114,Ryan Armour,24,290.546
114,115,115,J.P. Hayes,26,283.198
115,116,116,Jeff Maggert,26,278.64799999999997
116,117,117,Chris Riley,20,260.15
117,118,118,Jeff Gove,22,258.291
118,119,119,Ted Purdy,28,257.10200000000003
119,120,120,Shaun Micheel,26,257.018
120,121,121,Doug LaBelle II,16,250.31
121,122,122,Cameron Beckman,25,245.97799999999998
122,123,123,Omar Uresti,24,237.12
123,124,124,Marc Turnesa,22,234.662
124,125,125,Bob Heintz,11,222.74400000000003
125,126,126,Harrison Frazar,24,209.668
126,127,127,Scott Sterling,20,203.96200000000002
127,128,128,Jason Dufner,12,194.165
128,129,129,Billy Andrade,23,175.01
129,130,130,Kent Jones,23,167.55200000000002
130,131,131,Brent Geiberger,19,162.275
131,132,132,Olin Browne,32,161.984
132,133,133,Robert Gamez,27,154.749
133,134,134,D.A. Points,11,142.696
134,135,135,Jimmy Walker,19,141.621
135,136,136,Dan Forsman,15,135.129
136,137,137,John Riegger,20,131.082
137,138,138,Craig Barlow,19,129.732
138,139,139,Jeff Brehaut,11,128.88
139,140,140,Chad Collins,16,118.94200000000001
140,141,141,Larry Mize,20,114.52799999999999
141,142,142,Jim McGovern,20,101.991
142,143,143,Todd Demsey,17,100.58200000000001
143,144,144,Paul Stankowski,17,92.87
144,145,145,Chris Stroud,22,89.603
145,146,146,Robert Damron,17,86.478
146,147,147,Bob May,13,81.835
147,148,148,David Duval,19,79.553
148,149,149,Michael Bradley,11,77.584
149,150,150,Dicky Pride,15,73.63
150,151,151,Paul Claxton,15,72.678
151,152,152,Kyle Thompson,18,71.031
152,153,153,Garrett Willis,13,67.32
153,154,154,Bob Sowards,14,63.282
154,155,155,John Daly,20,60.026
155,156,156,Paul Azinger,17,57.09
156,157,157,Jason Allred,15,55.812
157,158,158,Mark Brooks,25,55.729
158,159,159,Tom Byrum,11,53.806000000000004
159,160,160,Tom Gillis,4,51.38399999999999
160,161,161,Tom Scherrer,13,50.256
161,162,162,Ron Whittaker,24,49.793
162,163,163,Bubba Dickerson,10,45.89
163,164,164,D.J. Brigman,2,45.313
164,165,165,Brad Elder,15,44.431000000000004
165,166,166,Jonathan Kaye,18,41.375
166,167,167,Joey Sindelar,12,39.145
167,168,168,Chip Sullivan,6,38.141999999999996
168,169,169,Cody Freeman,18,34.568000000000005
169,170,170,Mark O'Meara,11,32.514
170,171,171,Neal Lancaster,13,31.523000000000003
171,172,172,Travis Perkins,16,30.435
172,173,173,Justin Hicks,1,28.612
173,174,174,Ryan Blaum,1,27.125
174,175,175,John Cook,6,26.344
175,176,176,J.L. Lewis,14,25.318
176,177,177,Jay Delsing,10,24.0
177,178,178,Len Mattiace,15,20.165
178,179,179,Tommy Gainey,17,19.995
179,180,180,Michael Putnam,3,18.829
180,181,181,John Morse,6,18.6
181,T182,T182,Jeff Sluman,12,18.56
182,T182,T182,Craig Stadler,3,18.56
183,184,184,Ben Crenshaw,2,16.53
184,185,185,Notah Begay III,10,16.39
185,186,186,Fuzzy Zoeller,2,15.95
186,187,187,Spencer Levin,2,15.517999999999999
187,188,188,Kirk Triplett,5,13.491
188,189,189,Mike Small,5,13.05
189,190,190,Ryan Benzel,2,12.9
190,191,191,Guy Boros,7,12.485
191,192,192,Andrew Magee,8,12.238
192,193,193,Chris Smith,10,11.388
193,194,194,Scott Hoch,1,11.385
194,195,195,Alan Morin,2,10.505
195,196,196,Derek Lamely,1,10.494000000000002
196,197,197,Colt Knost,5,8.065
197,198,198,Ronnie Black,2,6.147
198,199,199,Jon Turcott,2,4.18
199,200,200,Skip Kendall,14,3.955
200,201,201,Scott Piercy,5,3.815
201,202,202,"Jim Gallagher, Jr.",7,3.76
202,203,203,Duffy Waldorf,12,3.675
203,204,204,Bob Burns,10,3.325
204,T205,T205,Dennis Paulson,1,3.21
205,T205,T205,Ted Schulz,1,3.21
206,207,207,Spike McRoy,6,3.075
207,208,208,Rick Fehr,1,2.97
