,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Henrik Stenson,9,4031
1,2,2,Robert Karlsson,8,3079
2,3,3,Miguel Angel Jiménez,8,1858
3,4,4,Jeev Milkha Singh,5,1011
4,5,5,Niclas Fasth,10,885
5,6,6,Alastair Forsyth,2,774
6,7,7,Graeme McDowell,4,699
7,8,8,David Howell,3,692
8,9,9,WC Liang,6,578
9,10,10,Richard Sterne,8,532
10,11,11,D.A. Points,3,517
11,12,12,Prayad Marksaeng,4,440
12,13,13,Esteban Toledo,3,413
13,14,14,Anders Hansen,6,394
14,15,15,Richard Green,9,329
15,T16,T16,Grégory Havret,2,259
16,T16,T16,Alex Noren,1,259
17,T16,T16,Jean Van de Velde,1,259
18,T16,T16,Simon Wakefield,1,259
19,T16,T16,Paul Waring,1,259
20,21,21,Pablo Martin Benavides,3,253
21,22,22,Mark Brown,3,228
22,23,23,Soren Hansen,9,207
23,24,24,Nick Dougherty,8,206
24,25,25,Rob Grube,1,200
25,26,26,Ryan Blaum,1,194
26,27,27,Chip Sullivan,5,181
27,28,28,Alvaro Quiros,2,161
28,29,29,Michael Campbell,6,161
29,30,30,Webb Simpson,6,160
30,31,31,Chris Kirk,3,156
31,32,32,Peter Hanson,4,125
32,33,33,Tom Gillis,3,123
33,34,34,Stephen Poole,1,118
34,35,35,Martin Kaymer,8,113
35,T36,T36,Robert Dinwiddie,1,110
36,T36,T36,Oliver Wilson,4,110
37,38,38,Yusaku Miyazato,1,98
38,39,39,Ian Woosnam,1,96
39,T40,T40,Thomas Aiken,1,94
40,T40,T40,Grégory Bourdy,1,94
41,T40,T40,Ariel Cañete,1,94
42,T40,T40,Ross Fisher,6,94
43,T40,T40,Simon Khan,1,94
44,T40,T40,Graeme Storm,3,94
45,46,46,Diego Vanegas,1,81
46,47,47,Spencer Levin,1,73
47,48,48,Jarrod Lyle,1,70
48,49,49,Toru Taniguchi,7,65
49,50,50,Charl Schwartzel,1,65
50,51,51,Anthony Wall,1,64
51,52,52,Robert Floyd,3,64
52,53,53,James Kingston,5,63
53,T54,T54,Richard Finch,2,60
54,T54,T54,Colin Montgomerie,7,60
55,56,56,Stuart Deane,1,59
56,57,57,Jonathan Lomas,1,58
57,58,58,Colt Knost,5,58
58,59,59,Kiyoshi Miyazato,1,56
59,T60,T60,Jean Baptiste Gonnet,1,56
60,T60,T60,David Horsey,1,56
61,62,62,Hiroyuki Fujita,1,56
62,63,63,Jonathan Moore,2,56
63,T64,T64,Bubba Dickerson,1,55
64,T64,T64,David Hearn,2,55
65,66,66,Mitsuhiro Tateyama,1,54
66,T67,T67,Andrew Dresser,1,54
67,T67,T67,Andrew Svoboda,1,54
68,69,69,Louis Oosthuizen,3,53
69,T70,T70,Brendan Jones,5,53
70,T70,T70,Pablo Larrazabal,3,53
71,T70,T70,Jose-Filipe Lima,1,53
72,T70,T70,Martin Wiegele,1,53
73,74,74,Bryan DeCorso,1,53
74,75,75,Justin Hicks,1,52
75,76,76,Ross McGowan,1,51
76,77,77,Derek Lamely,1,50
77,78,78,Peter Karmis,1,49
78,79,79,Philip Archer,2,49
79,80,80,Pete Jordan,1,49
80,81,81,Chih-Bing Lam,1,48
81,82,82,Alan Morin,2,48
82,T83,T83,Reid Edstrom,1,47
83,T83,T83,Anton Haig,2,47
84,85,85,Keiichiro Fukabori,1,46
85,86,86,Dustin Risdon,1,45
86,87,87,Deane Pappas,2,30
87,88,88,Scott Piercy,2,27
88,89,89,Miguel Suarez,1,26
89,90,90,Jon Turcott,2,26
90,91,91,Wilfredo Morales,1,23
