,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Vijay Singh,23,41635,2.0,2.0,,98500.0
1,2,2,Camilo Villegas,22,34541,2.0,3.0,7094.0,96150.0
2,3,3,Sergio Garcia,19,31726,,3.0,9909.0,97975.0
3,4,4,Phil Mickelson,21,31192,,1.0,10443.0,99250.0
4,5,5,Anthony Kim,22,30847,,2.0,10788.0,98750.0
5,6,6,Kenny Perry,26,29468,3.0,7.0,12167.0,99500.0
6,7,7,Justin Leonard,24,25997,,3.0,15638.0,98375.0
7,8,8,Jim Furyk,26,24868,,3.0,16767.0,97750.0
8,9,9,Stewart Cink,22,23908,1.0,7.0,17727.0,98625.0
9,10,10,Mike Weir,24,23033,,3.0,18602.0,96110.0
10,11,11,Tiger Woods,6,22695,4.0,6.0,18940.0,100000.0
11,12,12,K.J. Choi,21,21889,,2.0,19746.0,97600.0
12,13,13,Ben Curtis,22,20956,,2.0,20679.0,96850.0
13,14,14,Robert Allenby,25,20205,,7.0,21430.0,98050.0
14,15,15,Carl Pettersson,26,19315,1.0,5.0,22320.0,97900.0
15,16,16,Kevin Sutherland,24,19242,,1.0,22393.0,95550.0
16,17,17,Steve Stricker,22,19163,,1.0,22472.0,97300.0
17,18,18,Stuart Appleby,23,18977,,1.0,22658.0,97450.0
18,19,19,Trevor Immelman,22,18861,,1.0,22774.0,97375.0
19,20,20,Ryuji Imada,23,18856,1.0,4.0,22779.0,98250.0
20,21,21,Ernie Els,16,18723,,2.0,22912.0,96775.0
21,22,22,Dudley Hart,21,18620,,2.0,23015.0,95110.0
22,23,23,Hunter Mahan,26,18312,,1.0,23323.0,96590.0
23,24,24,Padraig Harrington,15,17668,2.0,6.0,23967.0,99000.0
24,25,25,D.J. Trahan,27,17274,,1.0,24361.0,97525.0
25,26,26,Ken Duke,29,16886,,1.0,24749.0,95790.0
26,27,27,Billy Mayfair,27,16805,,1.0,24830.0,96350.0
27,28,28,Briny Baird,27,15865,,3.0,25770.0,96700.0
28,29,29,Chad Campbell,26,15686,,1.0,25949.0,97150.0
29,30,30,Tim Clark,24,15649,,1.0,25986.0,95430.0
30,31,31,Andres Romero,20,15609,1.0,3.0,26026.0,96925.0
31,32,32,Geoff Ogilvy,20,15304,1.0,6.0,26331.0,98125.0
32,33,33,Bubba Watson,27,14850,,3.0,26785.0,95590.0
33,34,34,Boo Weekley,23,14342,1.0,5.0,27293.0,97825.0
34,35,35,Stephen Ames,21,12853,,1.0,28782.0,96630.0
35,36,36,J.B. Holmes,24,12500,1.0,3.0,29135.0,97225.0
36,37,37,Brandt Snedeker,26,12211,,5.0,29424.0,95870.0
37,38,38,Steve Marino,27,12160,,1.0,29475.0,96310.0
38,39,39,Kevin Streelman,27,12048,,1.0,29587.0,93750.0
39,40,40,Adam Scott,15,11777,1.0,3.0,29858.0,97075.0
40,41,41,John Senden,25,11731,,3.0,29904.0,95270.0
41,42,42,Brian Gay,25,11465,1.0,4.0,30170.0,96270.0
42,43,43,Dean Wilson,29,11372,,3.0,30263.0,95030.0
43,44,44,Bart Bryant,22,11356,,2.0,30279.0,96550.0
44,45,45,Charlie Wi,24,11345,,3.0,30290.0,95190.0
45,46,46,John Merrick,24,11344,,4.0,30291.0,95070.0
46,47,47,Nicholas Thompson,30,11302,,1.0,30333.0,95950.0
47,48,48,Aaron Baddeley,21,11250,,1.0,30385.0,96030.0
48,49,49,Jerry Kelly,26,11185,,4.0,30450.0,96390.0
49,50,50,Freddie Jacobson,23,11166,,1.0,30469.0,95990.0
50,51,51,Woody Austin,25,11067,,4.0,30568.0,96470.0
51,52,52,Mark Wilson,25,10913,,4.0,30722.0,94630.0
52,53,53,Chez Reavie,27,10869,1.0,2.0,30766.0,96430.0
53,54,54,Lucas Glover,26,10781,,2.0,30854.0,94030.0
54,55,55,Scott Verplank,21,10779,,2.0,30856.0,93830.0
55,56,56,Mathew Goggin,23,10734,,1.0,30901.0,94790.0
56,57,57,Tim Herron,24,10663,,1.0,30972.0,92510.0
57,58,58,Ben Crane,22,10578,,1.0,31057.0,95230.0
58,59,59,Jonathan Byrd,25,10500,,2.0,31135.0,94430.0
59,60,60,Johnson Wagner,25,10446,1.0,1.0,31189.0,95750.0
60,61,61,Brian Davis,27,10431,,2.0,31204.0,94390.0
61,62,62,Heath Slocum,24,10429,,5.0,31206.0,95710.0
62,63,63,Tommy Armour III,21,10382,,5.0,31253.0,95910.0
63,64,64,Eric Axley,28,10218,,3.0,31417.0,93870.0
64,65,65,John Mallinger,25,10136,,3.0,31499.0,94150.0
65,66,66,Ángel Cabrera,17,10088,,1.0,31547.0,92590.0
66,67,67,Rory Sabbatini,19,10035,,2.0,31600.0,95630.0
67,68,68,Martin Laird,22,9986,,1.0,31649.0,92710.0
68,69,69,Jay Williamson,26,9974,,1.0,31661.0,93910.0
69,70,70,Charley Hoffman,26,9833,,3.0,31802.0,93630.0
70,71,71,Sean O'Hair,22,9029,1.0,3.0,32606.0,97675.0
71,72,72,Pat Perez,23,7611,,3.0,34024.0,95350.0
72,73,73,Bill Haas,26,7384,,1.0,34251.0,93550.0
73,74,74,Brett Quigley,19,7353,,2.0,34282.0,93110.0
74,75,75,Peter Lonard,24,7343,,3.0,34292.0,95470.0
75,76,76,Jeff Quinney,25,7329,,3.0,34306.0,97000.0
76,77,77,Paul Casey,16,7259,,1.0,34376.0,94230.0
77,78,78,Rocco Mediate,25,7251,,2.0,34384.0,95390.0
78,79,79,Richard Johnson,17,7111,1.0,1.0,34524.0,92950.0
79,80,80,Tom Pernice Jr.,25,7069,,5.0,34566.0,95150.0
80,81,81,Bo Van Pelt,25,7006,,1.0,34629.0,93190.0
81,82,82,Rod Pampling,24,6856,,5.0,34779.0,96510.0
82,83,83,Steve Flesch,25,6821,,2.0,34814.0,94470.0
83,84,84,Tim Petrovic,25,6790,,2.0,34845.0,92790.0
84,85,85,Steve Elkington,20,6744,,3.0,34891.0,94990.0
85,86,86,Jason Day,21,6726,,2.0,34909.0,92750.0
86,87,87,Nick O'Hern,22,6671,,3.0,34964.0,94870.0
87,88,88,Paul Goydos,22,6665,,2.0,34970.0,94950.0
88,89,89,Ryan Moore,20,6651,,3.0,34984.0,94910.0
89,90,90,Michael Allen,22,6583,,1.0,35052.0,92470.0
90,91,91,Scott McCarron,19,6538,,2.0,35097.0,94750.0
91,92,92,J.J. Henry,27,6485,,1.0,35150.0,92430.0
92,93,93,Jesper Parnevik,22,6472,,,35163.0,92270.0
93,94,94,Ryan Palmer,17,6381,,2.0,35254.0,92550.0
94,95,95,Daniel Chopra,23,6375,1.0,1.0,35260.0,96230.0
95,96,96,Kevin Na,25,6336,,3.0,35299.0,94510.0
96,97,97,Charles Howell III,25,6323,,2.0,35312.0,94670.0
97,98,98,John Rollins,24,6274,,2.0,35361.0,94550.0
98,99,99,Frank Lickliter II,25,6192,,,35443.0,92390.0
99,100,100,Steve Lowery,19,6164,1.0,2.0,35471.0,96190.0
100,101,101,Jeff Overton,26,6050,,1.0,35585.0,92150.0
101,102,102,Luke Donald,11,6001,,3.0,35634.0,96070.0
102,103,103,Corey Pavin,20,5989,,2.0,35646.0,94350.0
103,104,104,Justin Bolli,22,5979,,1.0,35656.0,92190.0
104,105,105,George McNeill,24,5693,,2.0,35942.0,93790.0
105,106,106,Lee Westwood,10,5626,,2.0,36009.0,95830.0
106,107,107,Parker McLachlin,23,5502,1.0,3.0,36133.0,95670.0
107,108,108,Retief Goosen,18,5372,,2.0,36263.0,95510.0
108,109,109,Nick Watney,22,5144,,1.0,36491.0,93390.0
109,110,110,Ian Poulter,15,5073,,1.0,36562.0,95310.0
110,111,111,Rich Beem,22,4945,,1.0,36690.0,93270.0
111,112,112,Patrick Sheehan,28,4936,,2.0,36699.0,93030.0
112,113,113,Cliff Kresge,24,4487,,4.0,37148.0,94830.0
113,114,114,Justin Rose,15,4278,,2.0,37357.0,94710.0
114,115,115,Glen Day,16,4123,,1.0,37512.0,92110.0
115,116,116,Matt Kuchar,24,4084,,4.0,37551.0,94590.0
116,117,117,Michael Letzig,24,3879,,4.0,37756.0,94310.0
117,118,118,Lee Janzen,22,3846,,1.0,37789.0,92070.0
118,119,119,Fred Couples,16,3837,,3.0,37798.0,94270.0
119,120,120,Alex Cejka,23,3802,,4.0,37833.0,94190.0
120,121,121,Brad Adamonis,22,3707,,2.0,37928.0,94110.0
