,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Pat Perez,27,323
1,2,2,Anthony Kim,22,394
2,3,3,Phil Mickelson,21,399
3,4,4,Bob Tway,20,402
4,5,5,Stewart Cink,23,406
5,6,6,Chad Campbell,28,420
6,7,7,Mathew Goggin,27,427
7,8,8,Camilo Villegas,22,440
8,9,9,Mark Wilson,29,444
9,10,10,Justin Leonard,25,467
10,11,11,Kevin Streelman,32,468
11,12,12,Ben Crane,25,478
12,13,13,Kevin Sutherland,26,480
13,14,14,Kenny Perry,26,489
14,15,15,John Huston,18,498
15,16,16,Bill Haas,31,500
16,17,17,Jason Gore,33,502
17,18,18,Charlie Wi,27,503
18,19,19,Padraig Harrington,15,505
19,T20,T20,Robert Allenby,28,508
20,T20,T20,Steve Marino,32,508
21,22,22,Michael Allen,28,518
22,23,23,George McNeill,29,523
23,24,24,Brenden Pappas,24,526
24,25,25,Martin Laird,29,535
25,26,26,Kevin Na,29,543
26,27,27,Mike Weir,26,545
27,T28,T28,Sergio Garcia,19,547
28,T28,T28,Adam Scott,15,547
29,30,30,Ryan Palmer,22,551
30,31,31,Vijay Singh,23,558
31,32,32,Brian Davis,34,571
32,33,33,Hunter Mahan,27,574
33,34,34,Aaron Baddeley,22,593
34,35,35,Joe Ogilvie,29,594
35,36,36,Nick Watney,27,595
36,37,37,Brian Gay,31,605
37,38,38,Tommy Gainey,24,608
38,39,39,Rory Sabbatini,23,617
39,40,40,Briny Baird,30,625
40,41,41,Jim Furyk,26,628
41,42,42,Rich Beem,29,633
42,43,43,Vaughn Taylor,32,636
43,44,44,Ken Duke,33,637
44,45,45,Scott Verplank,24,638
45,46,46,Tim Clark,27,639
46,47,47,Ben Curtis,22,641
47,48,48,D.J. Trahan,27,645
48,49,49,Carl Pettersson,29,646
49,50,50,Michael Letzig,29,651
50,51,51,Jason Day,28,655
51,52,52,John Merrick,28,662
52,T53,T53,Gavin Coles,16,663
53,T53,T53,John Senden,28,663
54,55,55,Steve Elkington,25,664
55,56,56,Stephen Ames,24,665
56,57,57,Nicholas Thompson,36,667
57,58,58,Daniel Chopra,27,671
58,59,59,Kent Jones,23,675
59,T60,T60,Robert Garrigus,29,677
60,T60,T60,Bo Van Pelt,32,677
61,T62,T62,Frank Lickliter II,32,679
62,T62,T62,Rod Pampling,28,679
63,64,64,Cameron Beckman,29,682
64,65,65,Billy Mayfair,29,683
65,66,66,Dudley Hart,22,688
66,T67,T67,Carlos Franco,25,691
67,T67,T67,John Riegger,24,691
68,69,69,Boo Weekley,24,694
69,70,70,Stuart Appleby,23,702
70,71,71,J.B. Holmes,26,703
71,72,72,Jonathan Byrd,27,705
72,73,73,Davis Love III,23,706
73,74,74,Parker McLachlin,27,712
74,T75,T75,Fred Couples,18,715
75,T75,T75,Tom Pernice Jr.,30,715
76,T77,T77,Lucas Glover,26,723
77,T77,T77,Charley Hoffman,29,723
78,79,79,David Toms,20,729
79,80,80,Tag Ridings,29,730
80,81,81,Marc Turnesa,29,741
81,82,82,Shane Bertsch,29,748
82,83,83,Kevin Stadler,30,749
83,84,84,Charles Howell III,31,751
84,85,85,Bubba Watson,29,755
85,86,86,Todd Demsey,25,756
86,87,87,Bob Estes,28,757
87,88,88,Zach Johnson,25,759
88,T89,T89,Nick O'Hern,26,763
89,T89,T89,Corey Pavin,20,763
90,91,91,Tim Herron,28,764
91,92,92,Brad Adamonis,29,769
92,93,93,Steve Flesch,29,777
93,94,94,K.J. Choi,21,779
94,95,95,Troy Matteson,30,781
95,96,96,Woody Austin,30,782
96,97,97,John Mallinger,29,783
97,98,98,Heath Slocum,29,788
98,T99,T99,Steve Allan,21,791
99,T99,T99,Jeff Maggert,28,791
100,101,101,Freddie Jacobson,24,792
101,102,102,Mark Hensby,26,794
102,103,103,Tommy Armour III,25,795
103,104,104,Dustin Johnson,30,796
104,105,105,Brett Quigley,25,797
105,106,106,Tim Petrovic,32,799
106,107,107,Nathan Green,30,803
107,108,108,Steve Stricker,22,804
108,T109,T109,Joe Durant,28,805
109,T109,T109,Matt Kuchar,27,805
110,111,111,Tim Wilkinson,29,813
111,112,112,John Rollins,28,814
112,T113,T113,Ryan Armour,32,819
113,T113,T113,Sean O'Hair,25,819
114,115,115,Tom Scherrer,20,830
115,116,116,Glen Day,19,831
116,117,117,Bart Bryant,23,832
117,118,118,Charles Warren,29,836
118,119,119,Craig Kanada,23,838
119,T120,T120,Chez Reavie,30,841
120,T120,T120,Y.E. Yang,29,841
121,122,122,Jeff Overton,32,845
122,123,123,Brandt Snedeker,26,846
123,T124,T124,Mathias Grönberg,30,847
124,T124,T124,Ryuji Imada,25,847
125,126,126,Omar Uresti,24,853
126,127,127,Marco Dawson,21,857
127,128,128,Ryan Moore,24,860
128,T129,T129,Matt Jones,31,862
129,T129,T129,Chris Riley,17,862
130,131,131,Patrick Sheehan,35,866
131,132,132,Paul Casey,16,867
132,T133,T133,Ernie Els,16,868
133,T133,T133,Harrison Frazar,23,868
134,135,135,James Driscoll,28,869
135,T136,T136,Alejandro Cañizares,16,871
136,T136,T136,Jeff Gove,18,871
137,T136,T136,Chris Stroud,29,871
138,139,139,Dean Wilson,32,881
139,T140,T140,Robert Gamez,26,882
140,T140,T140,Geoff Ogilvy,20,882
141,142,142,Jeff Quinney,28,883
142,143,143,Jesper Parnevik,29,884
143,144,144,Richard Johnson,29,889
144,145,145,Peter Lonard,30,892
145,T146,T146,Eric Axley,35,897
146,T146,T146,Andres Romero,20,897
147,148,148,Scott McCarron,22,898
148,149,149,Ian Poulter,15,902
149,150,150,Scott Sterling,28,903
150,151,151,Jay Williamson,33,920
151,152,152,Ted Purdy,25,929
152,153,153,J.J. Henry,34,932
153,154,154,Rocco Mediate,27,960
154,155,155,Jim McGovern,26,962
155,T156,T156,Mark Calcavecchia,25,972
156,T156,T156,Will MacKenzie,21,972
157,T156,T156,Jimmy Walker,24,972
158,159,159,Chad Collins,24,977
159,160,160,Richard Johnson,21,989
