,Last_5_Events_-_Scoring_RANK THIS WEEK,Last_5_Events_-_Scoring_RANK LAST WEEK,Last_5_Events_-_Scoring_PLAYER NAME,Last_5_Events_-_Scoring_EVENTS,Last_5_Events_-_Scoring_RATING
0,T1,T1,Retief Goosen,1,9.2
1,T1,T1,Greg Owen,1,9.2
2,T1,T1,Roland Thatcher,1,9.2
3,T1,T1,Lee Westwood,1,9.2
4,5,5,Tiger Woods,2,9.1
5,6,6,Camilo Villegas,3,9.0
6,T7,T7,Cameron Beckman,3,8.8
7,T7,T7,Sergio Garcia,4,8.8
8,T7,T7,Danny Lee,1,8.8
9,T7,T7,Davis Love III,3,8.8
10,T7,T7,Ryan Moore,2,8.8
11,T12,T12,Brad Adamonis,1,8.7
12,T12,T12,Steve Allan,3,8.7
13,T12,T12,Aaron Baddeley,2,8.7
14,T12,T12,Miguel Angel Jiménez,1,8.7
15,T12,T12,George McNeill,4,8.7
16,T12,T12,Casey Wittenberg,2,8.7
17,T18,T18,Tommy Gainey,2,8.6
18,T18,T18,Bill Haas,3,8.6
19,T18,T18,Brandt Jobe,2,8.6
20,T18,T18,Dustin Johnson,3,8.6
21,T18,T18,Søren Kjeldsen,1,8.6
22,T18,T18,Joe Ogilvie,3,8.6
23,T18,T18,Jesper Parnevik,2,8.6
24,T18,T18,Rory Sabbatini,3,8.6
25,T18,T18,Graeme Storm,1,8.6
26,T18,T18,Marc Turnesa,2,8.6
27,T28,T28,Michael Allen,4,8.5
28,T28,T28,Woody Austin,4,8.5
29,T28,T28,Paul Casey,2,8.5
30,T28,T28,Daniel Chopra,1,8.5
31,T28,T28,Darren Clarke,1,8.5
32,T28,T28,Ernie Els,3,8.5
33,T28,T28,Jim Furyk,3,8.5
34,T28,T28,Brian Gay,2,8.5
35,T28,T28,Mathew Goggin,4,8.5
36,T28,T28,Anthony Kim,3,8.5
37,T28,T28,Tom Lehman,1,8.5
38,T28,T28,Justin Leonard,4,8.5
39,T28,T28,WC Liang,1,8.5
40,T28,T28,Ryan Palmer,3,8.5
41,T28,T28,Tim Petrovic,3,8.5
42,T43,T43,Stephen Ames,2,8.4
43,T43,T43,Jay Delsing,1,8.4
44,T43,T43,Luke Donald,2,8.4
45,T43,T43,Joe Durant,4,8.4
46,T43,T43,Harrison Frazar,2,8.4
47,T43,T43,Rob Grube,1,8.4
48,T43,T43,Todd Hamilton,3,8.4
49,T43,T43,Charles Howell III,4,8.4
50,T43,T43,Zach Johnson,3,8.4
51,T43,T43,Matt Kuchar,2,8.4
52,T43,T43,Steve Marino,5,8.4
53,T43,T43,Pablo Martin Benavides,1,8.4
54,T43,T43,Phil Mickelson,3,8.4
55,T43,T43,Pat Perez,5,8.4
56,T43,T43,Henrik Stenson,1,8.4
57,T43,T43,Scott Sterling,2,8.4
58,T59,T59,Craig Barlow,1,8.3
59,T59,T59,Ángel Cabrera,4,8.3
60,T59,T59,K.J. Choi,3,8.3
61,T59,T59,Fred Couples,1,8.3
62,T59,T59,Ben Curtis,3,8.3
63,T59,T59,Steve Elkington,3,8.3
64,T59,T59,Grégory Havret,1,8.3
65,T59,T59,John Huston,3,8.3
66,T59,T59,Troy Matteson,4,8.3
67,T59,T59,Nick O'Hern,4,8.3
68,T59,T59,Corey Pavin,1,8.3
69,T59,T59,Stephen Poole,1,8.3
70,T59,T59,Kevin Streelman,4,8.3
71,T59,T59,Chris Stroud,4,8.3
72,T59,T59,David Toms,3,8.3
73,T59,T59,Garrett Willis,3,8.3
74,T75,T75,Jason Bohn,2,8.2
75,T75,T75,Chris DiMarco,4,8.2
76,T75,T75,James Driscoll,2,8.2
77,T75,T75,Ken Duke,5,8.2
78,T75,T75,Bob Estes,5,8.2
