,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
0,1,1,Brad Elder,1,9.0
1,2,2,Ryan Palmer,2,8.7
2,3,3,Henrik Stenson,1,8.6
3,4,4,Webb Simpson,1,8.5
4,T5,T5,Tom Lehman,1,8.4
5,T5,T5,Jimmy Walker,1,8.4
6,7,7,Paul McGinley,1,8.2
7,8,8,Oliver Wilson,1,8.0
8,9,9,Mathias Grönberg,3,7.9
9,T10,T10,Chip Deason,1,7.8
10,T10,T10,Rocco Mediate,1,7.8
11,T10,T10,Steve Stricker,3,7.8
12,T13,T13,Jason Allred,2,7.7
13,T13,T13,Brian Gay,2,7.7
14,T13,T13,Tom Scherrer,2,7.7
15,T16,T16,Guy Boros,2,7.6
16,T16,T16,Padraig Harrington,1,7.6
17,T16,T16,Charlie Wi,4,7.6
18,T19,T19,Michael Allen,3,7.5
19,T19,T19,Harrison Frazar,1,7.5
20,T19,T19,Ted Schulz,1,7.5
21,T19,T19,Boo Weekley,3,7.5
22,T23,T23,Stephen Ames,2,7.4
23,T23,T23,Michael Bradley,2,7.4
24,T23,T23,Andrew Buckle,1,7.4
25,T23,T23,K.J. Choi,2,7.4
26,T23,T23,Luke Donald,2,7.4
27,T23,T23,Jerry Kelly,2,7.4
28,T23,T23,Jonathan Moore,1,7.4
29,T23,T23,José María Olazábal,2,7.4
30,T23,T23,Tag Ridings,1,7.4
31,T23,T23,Roland Thatcher,1,7.4
32,T23,T23,Scott Verplank,2,7.4
33,T34,T34,Shane Bertsch,3,7.3
34,T34,T34,Gavin Coles,2,7.3
35,T34,T34,Yusaku Miyazato,2,7.3
36,T34,T34,Arron Oberholser,2,7.3
37,T34,T34,Heath Slocum,2,7.3
38,T34,T34,Mike Weir,4,7.3
39,T40,T40,Billy Andrade,3,7.2
40,T40,T40,Bart Bryant,3,7.2
41,T40,T40,Ben Curtis,3,7.2
42,T40,T40,Bill Haas,2,7.2
43,T40,T40,Scott Hoch,1,7.2
44,T40,T40,Neal Lancaster,3,7.2
45,T40,T40,Parker McLachlin,2,7.2
46,T40,T40,Kevin Na,3,7.2
47,T40,T40,Dean Wilson,3,7.2
48,T49,T49,José Coceres,2,7.1
49,T49,T49,Brian Davis,4,7.1
50,T49,T49,Todd Demsey,2,7.1
51,T49,T49,Bob Estes,5,7.1
52,T49,T49,Retief Goosen,1,7.1
53,T49,T49,J.B. Holmes,3,7.1
54,T49,T49,Greg Owen,1,7.1
55,T49,T49,Corey Pavin,1,7.1
56,T49,T49,Justin Rose,2,7.1
57,T49,T49,Tiger Woods,2,7.1
58,T59,T59,Stuart Appleby,4,7.0
59,T59,T59,Jason Bohn,2,7.0
60,T59,T59,Ernie Els,3,7.0
61,T59,T59,Ryuji Imada,4,7.0
62,T59,T59,Davis Love III,3,7.0
63,T59,T59,Pat Perez,4,7.0
64,T59,T59,Stephen Poole,1,7.0
65,T59,T59,D.J. Trahan,3,7.0
66,T59,T59,Casey Wittenberg,2,7.0
67,T68,T68,Brad Adamonis,1,6.9
68,T68,T68,Olin Browne,4,6.9
69,T68,T68,Ángel Cabrera,4,6.9
70,T68,T68,Daniel Chopra,1,6.9
71,T68,T68,Nick Dougherty,1,6.9
72,T68,T68,David Duval,3,6.9
73,T68,T68,Sean O'Hair,3,6.9
74,T68,T68,Nick O'Hern,4,6.9
75,T68,T68,Scott Sterling,2,6.9
76,T77,T77,Eric Axley,2,6.8
77,T77,T77,Aaron Baddeley,1,6.8
78,T77,T77,Brandt Jobe,2,6.8
79,T77,T77,Brendan Jones,2,6.8
80,T77,T77,David Lutterus,1,6.8
81,T77,T77,George McNeill,3,6.8
82,T77,T77,Dicky Pride,2,6.8
83,T77,T77,Garrett Willis,3,6.8
84,T85,T85,Jay Delsing,1,6.7
85,T85,T85,Jim Furyk,3,6.7
86,T85,T85,Will MacKenzie,3,6.7
87,T85,T85,Billy Mayfair,2,6.7
88,T85,T85,Paul Sheehan,1,6.7
89,T85,T85,Nick Taylor,1,6.7
90,T91,T91,Briny Baird,4,6.6
91,T91,T91,Tom Byrum,3,6.6
92,T91,T91,Alejandro Cañizares,2,6.6
93,T91,T91,Tim Clark,4,6.6
94,T91,T91,Steve Flesch,4,6.6
95,T91,T91,Robert Garrigus,3,6.6
96,T91,T91,Steve Lowery,3,6.6
97,T91,T91,Hunter Mahan,2,6.6
98,T91,T91,Troy Matteson,3,6.6
99,T91,T91,Mark O'Meara,1,6.6
100,T91,T91,Brett Quigley,3,6.6
101,T91,T91,Bob Tway,4,6.6
102,T103,T103,Steve Allan,2,6.5
103,T103,T103,Justin Bolli,1,6.5
104,T103,T103,Tommy Gainey,1,6.5
105,T103,T103,Jason Gore,3,6.5
106,T103,T103,Rob Grube,1,6.5
107,T103,T103,Todd Hamilton,2,6.5
108,T103,T103,Trevor Immelman,4,6.5
109,T103,T103,Miguel Angel Jiménez,1,6.5
110,T103,T103,Jamie Lovemark,2,6.5
