,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Camilo Villegas,22,62.42,28400,45500,2.0,3.0
1,2,2,Vijay Singh,23,58.46,26601,45500,2.0,2.0
2,3,3,Sergio Garcia,19,47.09,21425,45500,,3.0
3,4,4,Mike Weir,26,37.38,17008,45500,,3.0
4,5,5,Anthony Kim,22,34.44,15669,45500,,2.0
5,6,6,Jim Furyk,26,33.91,15430,45500,,3.0
6,7,7,Ben Curtis,22,30.44,13852,45500,,2.0
7,8,8,Kevin Sutherland,26,30.39,13828,45500,,1.0
8,9,9,Dudley Hart,22,30.38,13821,45500,,2.0
9,10,10,Justin Leonard,25,29.15,13263,45500,,3.0
10,11,11,K.J. Choi,21,28.67,13046,45500,,2.0
11,12,12,Phil Mickelson,21,28.46,12951,45500,,1.0
12,13,13,Kevin Streelman,32,26.2,8646,33000,,1.0
13,14,14,Tim Herron,28,25.77,8506,33000,,1.0
14,15,15,Ernie Els,16,25.71,11700,45500,,2.0
15,16,16,Hunter Mahan,27,25.07,11409,45500,,1.0
16,17,17,Ken Duke,33,24.82,11292,45500,,1.0
17,18,18,Steve Stricker,22,24.35,11081,45500,,1.0
18,19,19,Ángel Cabrera,17,23.77,7845,33000,,
19,20,20,Trevor Immelman,22,23.41,10653,45500,,1.0
20,21,21,Martin Laird,29,23.28,7683,33000,,1.0
21,22,22,Stuart Appleby,23,23.24,10575,45500,,1.0
22,23,23,Tim Clark,27,23.05,10490,45500,,1.0
23,24,24,Billy Mayfair,29,22.72,10339,45500,,1.0
24,25,25,Scott Verplank,24,22.32,7367,33000,,
25,26,26,Lucas Glover,26,21.71,7165,33000,,
26,27,27,Brett Quigley,25,21.32,4690,22000,,
27,28,28,Robert Allenby,28,21.21,9651,45500,,
28,29,29,Jesper Parnevik,29,21.16,4654,22000,,
29,30,30,Richard Johnson,21,20.92,4602,22000,,
30,31,31,Carl Pettersson,29,20.87,9494,45500,,
31,32,32,Bubba Watson,29,20.69,9413,45500,,
32,33,33,Eric Axley,35,20.42,6740,33000,,
33,34,34,Mark Wilson,29,20.31,6701,33000,,
34,35,35,J.J. Henry,34,20.27,4460,22000,,
35,36,36,Dean Wilson,32,20.25,6683,33000,,
36,37,37,Michael Allen,28,20.23,4452,22000,,
37,38,38,John Senden,28,20.2,6667,33000,,
38,39,39,Jason Day,28,19.99,4399,22000,,
39,40,40,Tim Petrovic,32,19.95,4390,22000,,
40,41,41,Brandt Snedeker,26,19.88,6562,33000,,
41,T42,T42,Charley Hoffman,29,19.87,6557,33000,,
42,T42,T42,John Merrick,28,19.87,6557,33000,,
43,44,44,Brian Davis,34,19.74,6515,33000,,
44,45,45,Jay Williamson,33,19.67,6491,33000,,
45,46,46,Jonathan Byrd,27,19.66,6489,33000,,
46,47,47,Briny Baird,30,19.58,8909,45500,,
47,48,48,Jeff Overton,32,19.53,4296,22000,,
48,49,49,Bo Van Pelt,32,19.32,4250,22000,,
49,50,50,Stewart Cink,23,19.3,8782,45500,,
50,51,51,D.J. Trahan,27,19.29,8778,45500,,1.0
51,52,52,Charlie Wi,27,19.27,6360,33000,,
52,53,53,John Mallinger,29,19.22,6343,33000,,
53,54,54,Ryan Palmer,22,19.19,4223,22000,,
54,55,55,Bill Haas,31,19.15,4212,22000,,
55,56,56,Justin Bolli,28,19.14,4210,22000,,
56,57,57,Frank Lickliter II,32,19.12,4206,22000,,
57,58,58,Mathew Goggin,27,19.02,6277,33000,,1.0
58,59,59,Kenny Perry,26,18.88,8590,45500,,
59,60,60,Andres Romero,20,18.58,8453,45500,,
60,61,61,Stephen Ames,24,18.0,5940,33000,,1.0
61,62,62,Chad Campbell,28,17.83,8112,45500,,1.0
62,63,63,Ryuji Imada,25,17.48,7953,45500,,
63,64,64,Steve Marino,32,17.32,5714,33000,,1.0
64,65,65,Nicholas Thompson,36,16.99,5606,33000,,1.0
65,66,66,Ben Crane,25,16.73,5520,33000,,1.0
66,67,67,Freddie Jacobson,24,16.22,5353,33000,,1.0
67,68,68,Aaron Baddeley,22,16.2,5345,33000,,1.0
68,69,69,Paul Casey,16,15.7,3455,22000,,1.0
69,70,70,Brian Gay,31,15.31,5053,33000,,
70,71,71,Heath Slocum,29,14.93,4926,33000,,
71,72,72,Johnson Wagner,26,14.83,4893,33000,,
72,73,73,Jerry Kelly,31,14.29,4715,33000,,
73,74,74,Tommy Armour III,25,14.28,4711,33000,,
74,75,75,Boo Weekley,24,14.2,4688,33000,,
75,76,76,J.B. Holmes,26,14.14,4666,33000,,
76,77,77,Rory Sabbatini,23,13.78,4547,33000,,
77,78,78,Bart Bryant,23,13.5,4455,33000,,
78,79,79,Geoff Ogilvy,20,13.45,4438,33000,,
79,80,80,Chez Reavie,30,13.26,4376,33000,,
80,81,81,Woody Austin,30,13.05,4305,33000,,
81,82,82,Adam Scott,15,12.79,4220,33000,,
82,83,83,Steve Flesch,29,12.61,2775,22000,,
