,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Vijay Singh,4,125101,2.0,2.0,,98500
1,2,2,Camilo Villegas,4,124550,2.0,3.0,551.0,96150
2,3,3,Sergio Garcia,4,119400,,3.0,5701.0,97975
3,4,4,Anthony Kim,4,114419,,2.0,10682.0,98750
4,5,5,Jim Furyk,4,113180,,3.0,11921.0,97750
5,6,6,Mike Weir,4,113118,,3.0,11983.0,96110
6,7,7,Phil Mickelson,4,112201,,1.0,12900.0,99250
7,8,8,Justin Leonard,4,111638,,3.0,13463.0,98375
8,9,9,Ben Curtis,4,110702,,2.0,14399.0,96850
9,10,10,K.J. Choi,4,110646,,2.0,14455.0,97600
10,11,11,Kevin Sutherland,4,109378,,1.0,15723.0,95550
11,12,12,Dudley Hart,4,108931,,2.0,16170.0,95110
12,13,13,Ernie Els,4,108475,,2.0,16626.0,96775
13,14,14,Steve Stricker,4,108381,,1.0,16720.0,97300
14,15,15,Kenny Perry,4,108090,,,17011.0,99500
15,16,16,Trevor Immelman,4,108028,,1.0,17073.0,97375
16,17,17,Stuart Appleby,4,108025,,1.0,17076.0,97450
17,18,18,Hunter Mahan,4,107999,,1.0,17102.0,96590
18,19,19,Robert Allenby,4,107701,,,17400.0,98050
19,20,20,Stewart Cink,4,107407,,,17694.0,98625
20,21,21,Carl Pettersson,4,107394,,,17707.0,97900
21,22,22,Ken Duke,4,107082,,1.0,18019.0,95790
22,23,23,Billy Mayfair,4,106689,,1.0,18412.0,96350
23,24,24,D.J. Trahan,4,106303,,1.0,18798.0,97525
24,25,25,Ryuji Imada,4,106203,,,18898.0,98250
25,26,26,Tim Clark,4,105920,,1.0,19181.0,95430
26,27,27,Briny Baird,4,105609,,,19492.0,96700
27,28,28,Andres Romero,4,105378,,,19723.0,96925
28,29,29,Chad Campbell,4,105262,,1.0,19839.0,97150
29,30,30,Bubba Watson,4,105003,,,20098.0,95590
30,31,31,Stephen Ames,3,102570,,1.0,22531.0,96630
31,32,32,Geoff Ogilvy,3,102563,,,22538.0,98125
32,33,33,Boo Weekley,3,102513,,,22588.0,97825
33,34,34,Brandt Snedeker,3,102432,,,22669.0,95870
34,35,35,Kevin Streelman,3,102396,,1.0,22705.0,93750
35,36,36,Steve Marino,3,102024,,1.0,23077.0,96310
36,37,37,John Senden,3,101937,,,23164.0,95270
37,38,38,J.B. Holmes,3,101891,,,23210.0,97225
38,39,39,Dean Wilson,3,101713,,,23388.0,95030
39,40,40,John Merrick,3,101627,,,23474.0,95070
40,41,41,Nicholas Thompson,3,101556,,1.0,23545.0,95950
41,42,42,Charlie Wi,3,101550,,,23551.0,95190
42,43,43,Aaron Baddeley,3,101375,,1.0,23726.0,96030
43,44,44,Freddie Jacobson,3,101343,,1.0,23758.0,95990
44,45,45,Mark Wilson,3,101331,,,23770.0,94630
45,46,46,Brian Gay,3,101323,,,23778.0,96270
46,47,47,Adam Scott,3,101295,,,23806.0,97075
47,48,48,Scott Verplank,3,101197,,,23904.0,93830
48,49,49,Lucas Glover,3,101195,,,23906.0,94030
49,50,50,Padraig Harrington,3,101113,,,23988.0,99000
50,51,51,Jerry Kelly,3,101105,,,23996.0,96390
51,52,52,Mathew Goggin,3,101067,,1.0,24034.0,94790
52,53,53,Tim Herron,3,101016,,1.0,24085.0,92510
53,54,54,Bart Bryant,3,101005,,,24096.0,96550
54,55,55,Jonathan Byrd,3,100919,,,24182.0,94430
55,56,56,Brian Davis,3,100905,,,24196.0,94390
56,57,57,Chez Reavie,3,100806,,,24295.0,96430
57,58,58,Woody Austin,3,100775,,,24326.0,96470
58,59,59,Ben Crane,3,100750,,1.0,24351.0,95230
59,60,60,Johnson Wagner,3,100643,,,24458.0,95750
60,61,61,Heath Slocum,3,100636,,,24465.0,95710
61,62,62,Tommy Armour III,3,100621,,,24480.0,95910
62,63,63,Eric Axley,3,100610,,,24491.0,93870
63,64,64,John Mallinger,3,100493,,,24608.0,94150
64,65,65,Ángel Cabrera,3,100435,,,24666.0,92590
65,66,66,Jay Williamson,3,100401,,,24700.0,93910
66,67,67,Martin Laird,3,100393,,1.0,24708.0,92710
67,68,68,Charley Hoffman,3,100187,,,24914.0,93630
68,69,69,Rory Sabbatini,3,100177,,,24924.0,95630
69,70,70,Tiger Woods,0,100000,,,25101.0,100000
70,71,71,Pat Perez,2,97850,,,27251.0,95350
71,72,72,Brett Quigley,2,97800,,,27301.0,93110
72,73,73,Bill Haas,2,97762,,,27339.0,93550
73,74,74,Paul Casey,2,97685,,1.0,27416.0,94230
74,75,75,Sean O'Hair,2,97675,,,27426.0,97675
75,76,76,Peter Lonard,2,97565,,,27536.0,95470
76,77,77,Richard Johnson,2,97552,,,27549.0,92950
77,78,78,Rocco Mediate,2,97490,,,27611.0,95390
78,79,79,Bo Van Pelt,2,97440,,,27661.0,93190
79,80,80,Tom Pernice Jr.,2,97265,,,27836.0,95150
80,81,81,Steve Flesch,2,97245,,,27856.0,94470
81,82,82,Tim Petrovic,2,97180,,,27921.0,92790
82,83,83,Jason Day,2,97149,,,27952.0,92750
83,84,84,Steve Elkington,2,97102,,,27999.0,94990
84,85,85,Paul Goydos,2,97048,,,28053.0,94950
85,86,86,Nick O'Hern,2,97021,,,28080.0,94870
86,87,87,Ryan Moore,2,97002,,,28099.0,94910
87,88,88,Jeff Quinney,2,97000,,,28101.0,97000
88,89,89,Jesper Parnevik,2,96924,,,28177.0,92270
89,90,90,Michael Allen,2,96922,,,28179.0,92470
90,91,91,Scott McCarron,2,96901,,,28200.0,94750
91,92,92,J.J. Henry,2,96890,,,28211.0,92430
92,93,93,Kevin Na,2,96794,,,28307.0,94510
93,94,94,Ryan Palmer,2,96773,,,28328.0,92550
94,95,95,Charles Howell III,2,96756,,,28345.0,94670
95,96,96,John Rollins,2,96750,,,28351.0,94550
96,97,97,Frank Lickliter II,2,96596,,,28505.0,92390
97,98,98,Rod Pampling,2,96510,,,28591.0,96510
98,99,99,Jeff Overton,2,96446,,,28655.0,92150
99,100,100,Corey Pavin,2,96436,,,28665.0,94350
100,101,101,Justin Bolli,2,96400,,,28701.0,92190
101,102,102,Daniel Chopra,2,96230,,,28871.0,96230
102,103,103,Steve Lowery,2,96190,,,28911.0,96190
103,104,104,George McNeill,2,96074,,,29027.0,93790
104,105,105,Luke Donald,0,96070,,,29031.0,96070
105,106,106,Lee Westwood,0,95830,,,29271.0,95830
106,107,107,Parker McLachlin,2,95670,,,29431.0,95670
107,108,108,Retief Goosen,2,95510,,,29591.0,95510
108,109,109,Nick Watney,2,95498,,,29603.0,93390
109,110,110,Patrick Sheehan,2,95426,,,29675.0,93030
110,111,111,Rich Beem,2,95382,,,29719.0,93270
111,112,112,Ian Poulter,2,95310,,,29791.0,95310
112,113,113,Cliff Kresge,2,94830,,,30271.0,94830
113,114,114,Justin Rose,0,94710,,,30391.0,94710
114,115,115,Matt Kuchar,2,94590,,,30511.0,94590
115,116,116,Glen Day,2,94506,,,30595.0,92110
116,117,117,Michael Letzig,2,94310,,,30791.0,94310
117,118,118,Fred Couples,2,94270,,,30831.0,94270
118,119,119,Lee Janzen,2,94194,,,30907.0,92070
119,120,120,Alex Cejka,0,94190,,,30911.0,94190
120,121,121,Brad Adamonis,1,94110,,,30991.0,94110
