,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Henrik Stenson,9,6282,2250.0
1,2,2,Robert Karlsson,8,3606,526.0
2,3,3,Miguel Angel Jiménez,8,2825,966.0
3,4,4,Niclas Fasth,10,1292,408.0
4,5,5,Jeev Milkha Singh,5,1209,198.0
5,6,6,Anders Hansen,6,1031,637.0
6,7,7,Graeme Storm,3,974,879.0
7,8,8,Darren Clarke,2,912,912.0
8,9,9,Graeme McDowell,4,827,128.0
9,10,10,Alastair Forsyth,2,774,
10,11,11,Colin Montgomerie,7,751,691.0
11,12,12,David Howell,3,742,50.0
12,13,13,Richard Sterne,8,702,170.0
13,14,14,Grégory Havret,2,679,420.0
14,15,15,Søren Kjeldsen,3,656,656.0
15,16,16,WC Liang,6,631,53.0
16,17,17,Richard Green,9,563,234.0
17,18,18,D.A. Points,3,517,
18,19,19,Prayad Marksaeng,4,493,53.0
19,20,20,Esteban Toledo,3,413,
20,21,21,Nick Dougherty,8,410,204.0
21,22,22,Soren Hansen,9,396,188.0
22,23,23,Brendan Jones,5,362,309.0
23,24,24,Toru Taniguchi,7,349,284.0
24,25,25,Mark Brown,3,325,97.0
25,26,26,Martin Kaymer,8,310,197.0
26,27,27,Ross Fisher,6,286,191.0
27,28,28,Oliver Wilson,4,281,171.0
28,29,29,Peter Hanson,4,267,142.0
29,30,30,Bradley Dredge,1,262,262.0
30,T31,T31,Alex Noren,1,259,
31,T31,T31,Jean Van de Velde,1,259,
32,T31,T31,Simon Wakefield,1,259,
33,T31,T31,Paul Waring,1,259,
34,35,35,Pablo Martin Benavides,3,253,
35,36,36,Rob Grube,1,200,
36,37,37,Ryan Blaum,1,194,
37,38,38,Chip Sullivan,5,181,
38,39,39,Richard Finch,2,179,118.0
39,40,40,Paul McGinley,1,171,171.0
40,41,41,James Kingston,5,163,100.0
41,42,42,Alvaro Quiros,2,161,
42,43,43,Michael Campbell,6,161,
43,44,44,Webb Simpson,6,160,
44,45,45,Chris Kirk,3,156,
45,46,46,Shingo Katayama,5,136,136.0
46,47,47,Tom Gillis,3,123,
47,48,48,Stephen Poole,1,118,
48,49,49,Robert Dinwiddie,1,110,
49,50,50,Louis Oosthuizen,3,107,53.0
50,51,51,Pablo Larrazabal,3,102,49.0
51,52,52,Anton Haig,2,102,55.0
52,53,53,Yusaku Miyazato,1,98,
53,54,54,Ian Woosnam,1,96,
54,T55,T55,Thomas Aiken,1,94,
55,T55,T55,Grégory Bourdy,1,94,
56,T55,T55,Ariel Cañete,1,94,
57,T55,T55,Simon Khan,1,94,
58,59,59,Diego Vanegas,1,81,
59,60,60,Spencer Levin,1,73,
60,61,61,Jarrod Lyle,1,70,
61,62,62,Andrew McLardy,2,69,69.0
62,63,63,Hidemasa Hoshino,1,68,68.0
63,64,64,Charl Schwartzel,1,65,
64,65,65,Anthony Wall,1,64,
65,66,66,Robert Floyd,3,64,
66,67,67,SSP Chawrasia,1,62,62.0
67,68,68,Stuart Deane,1,59,
68,69,69,Jonathan Lomas,1,58,
69,70,70,Colt Knost,5,58,
70,71,71,Steve Webster,3,57,57.0
71,T72,T72,Chapchai Nirat,1,56,56.0
72,T72,T72,Paul Sheehan,1,56,56.0
73,74,74,Kiyoshi Miyazato,1,56,
74,T75,T75,Jean Baptiste Gonnet,1,56,
75,T75,T75,David Horsey,1,56,
76,77,77,Hiroyuki Fujita,1,56,
77,78,78,Jonathan Moore,2,56,
78,79,79,Scott Strange,3,56,56.0
79,T80,T80,Bubba Dickerson,1,55,
80,T80,T80,David Hearn,2,55,
81,82,82,Mitsuhiro Tateyama,1,54,
82,T83,T83,Andrew Dresser,1,54,
83,T83,T83,Andrew Svoboda,1,54,
84,T85,T85,Jose-Filipe Lima,1,53,
85,T85,T85,Martin Wiegele,1,53,
86,87,87,Bryan DeCorso,1,53,
87,88,88,Justin Hicks,1,52,
88,89,89,Ross McGowan,1,51,
89,90,90,Derek Lamely,1,50,
90,91,91,Peter Karmis,1,49,
91,92,92,Philip Archer,2,49,
92,93,93,Pete Jordan,1,49,
93,94,94,Chih-Bing Lam,1,48,
94,95,95,Alan Morin,2,48,
95,96,96,Reid Edstrom,1,47,
96,97,97,Keiichiro Fukabori,1,46,
97,98,98,Dustin Risdon,1,45,
98,99,99,Deane Pappas,2,30,
99,100,100,Scott Piercy,2,27,
100,101,101,Miguel Suarez,1,26,
101,102,102,Jon Turcott,2,26,
102,103,103,Wilfredo Morales,1,23,
