,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,,Tiger Woods,40,11.66,466.57,-12.14,,USA
1,2,,Sergio Garcia,52,7.99,415.59,-5.75,,ESP
2,3,,Phil Mickelson,49,6.87,336.67,-7.7,,USA
3,4,,Padraig Harrington,51,6.83,348.43,-6.01,,IRL
4,5,,Vijay Singh,54,6.63,358.07,-7.44,,FIJ
5,6,,Robert Karlsson,53,5.02,265.91,-3.7,,SWE
6,7,,Camilo Villegas,50,4.82,241.06,-3.7,,COL
7,8,,Henrik Stenson,51,4.68,238.42,-4.64,,SWE
8,9,,Ernie Els,54,4.66,251.72,-5.56,,RSA
9,10,,Lee Westwood,54,4.66,251.62,-3.93,,ENG
10,11,,Geoff Ogilvy,47,4.45,209.25,-3.88,,AUS
11,12,,Anthony Kim,51,4.38,223.17,-3.67,,USA
12,13,,Jim Furyk,48,4.29,206.05,-4.67,,USA
13,14,,Kenny Perry,51,3.83,195.37,-2.9,,USA
14,15,,Adam Scott,44,3.8,167.18,-3.97,,AUS
15,16,,Stewart Cink,49,3.77,184.83,-3.87,,USA
16,17,,Steve Stricker,45,3.77,169.74,-4.39,,USA
17,18,,K.J. Choi,52,3.72,193.62,-4.87,,KOR
18,19,,Justin Rose,46,3.49,160.57,-4.09,,ENG
19,20,,Trevor Immelman,52,3.4,176.82,-3.42,,RSA
20,21,,Mike Weir,51,3.29,167.94,-2.88,,CAN
21,22,,Miguel Angel Jiménez,54,3.29,177.45,-3.27,,ESP
22,23,,Justin Leonard,54,3.19,172.24,-2.95,,USA
23,24,,Ben Curtis,46,3.14,144.53,-2.25,,USA
24,25,,Martin Kaymer,55,3.08,169.15,-2.34,,GER
25,26,,Ian Poulter,54,3.03,163.73,-3.09,,ENG
26,27,,Robert Allenby,61,3.01,183.43,-3.29,,AUS
27,28,,Tim Clark,52,2.95,153.35,-2.22,,RSA
28,29,,Ross Fisher,52,2.87,149.08,-2.17,,ENG
29,30,,Andres Romero,52,2.81,146.18,-2.84,,ARG
30,31,,Luke Donald,40,2.81,112.32,-3.01,,ENG
31,32,,Shingo Katayama,56,2.77,155.05,-1.81,,JPN
32,33,,Rory Sabbatini,53,2.74,145.11,-3.98,,RSA
33,34,,Jeev Milkha Singh,74,2.73,201.79,-2.13,,IND
34,35,,Graeme McDowell,57,2.73,155.41,-2.47,,NIR
35,36,,Stephen Ames,46,2.71,124.59,-2.49,,CAN
36,37,,Aaron Baddeley,47,2.7,126.95,-3.5,,AUS
37,38,,Stuart Appleby,56,2.61,146.17,-3.09,,AUS
38,39,,Rory McIlroy,40,2.56,102.2,-0.83,,NIR
39,40,,Oliver Wilson,54,2.54,136.93,-1.97,,ENG
40,41,,Paul Casey,49,2.46,120.37,-2.71,,ENG
41,42,,Ángel Cabrera,50,2.45,122.56,-3.01,,ARG
42,43,,Richard Sterne,52,2.43,126.22,-1.96,,RSA
43,44,,Hunter Mahan,55,2.39,131.55,-2.88,,USA
44,45,,Retief Goosen,54,2.38,128.77,-2.97,,RSA
45,46,,Soren Hansen,53,2.33,123.5,-2.24,,DEN
46,47,,Wen-Tang Lin,40,2.33,93.03,-0.76,,TPE
47,48,,Zach Johnson,48,2.31,111.02,-3.02,,USA
48,49,,Boo Weekley,54,2.31,124.49,-3.02,,USA
49,50,,Søren Kjeldsen,58,2.25,130.37,-1.52,,DEN
50,51,,Prayad Marksaeng,64,2.22,142.36,-1.76,,THA
51,52,,Kevin Sutherland,51,2.22,113.38,-1.86,,USA
52,53,,Brendan Jones,46,2.17,100.04,-1.46,,AUS
53,54,,Rod Pampling,59,2.16,127.61,-2.12,,AUS
54,55,,Dudley Hart,40,2.15,85.97,-1.25,,USA
55,56,,Peter Hanson,56,2.14,119.77,-1.96,,SWE
56,57,,Mathew Goggin,59,2.1,124.19,-1.32,,AUS
