,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,1,1,Tiger Woods,74,77.78,14,18
1,2,2,Phil Mickelson,87,73.33,22,30
2,3,3,Steve Flesch,110,71.79,28,39
3,4,4,Scott Verplank,97,71.43,20,28
4,5,5,Brian Henninger,56,68.42,13,19
5,6,6,Mark Calcavecchia,84,68.0,17,25
6,T7,T7,David Gossett,92,67.65,23,34
7,T7,T7,Jay Haas,89,67.65,23,34
8,9,9,Dean Wilson,82,67.57,25,37
9,10,10,Brad Faxon,97,67.5,27,40
10,11,11,Jeff Sluman,106,66.67,18,27
11,12,12,Vijay Singh,106,65.52,19,29
12,13,13,Gavin Coles,69,65.38,17,26
13,14,14,Billy Andrade,100,64.86,24,37
14,T15,T15,Paul Goydos,86,64.71,22,34
15,T15,T15,Justin Leonard,80,64.71,11,17
16,T17,T17,Matt Gogel,77,64.29,18,28
17,T17,T17,Davis Love III,85,64.29,9,14
18,19,19,Joel Edwards,60,64.0,16,25
19,20,20,Sergio Garcia,62,63.16,12,19
20,21,21,"Dave Stockton, Jr.",79,62.96,17,27
21,22,22,Ian Leggatt,71,62.5,15,24
22,23,23,K.J. Choi,112,61.29,19,31
23,24,24,Steve Stricker,59,61.11,11,18
24,25,25,Dan Forsman,98,60.87,14,23
25,26,26,Kirk Triplett,92,60.61,20,33
26,T27,T27,John Huston,76,60.0,18,30
27,T27,T27,Jerry Kelly,108,60.0,15,25
28,T27,T27,Geoff Ogilvy,86,60.0,12,20
29,30,30,Luke Donald,88,59.38,19,32
30,31,31,Stuart Appleby,90,59.09,13,22
31,32,32,Anthony Painter,87,58.97,23,39
32,33,33,Nick Price,65,58.82,10,17
33,34,34,Paul Stankowski,67,58.33,14,24
34,35,35,Mike Sposa,72,57.69,15,26
35,36,36,Shaun Micheel,97,57.58,19,33
36,T37,T37,Robert Damron,96,56.76,21,37
37,T37,T37,Kenichi Kuboya,91,56.76,21,37
38,T39,T39,Paul Gow,62,56.25,9,16
39,T39,T39,Cliff Kresge,102,56.25,18,32
40,T39,T39,Loren Roberts,87,56.25,9,16
41,42,42,Craig Perks,82,56.0,14,25
42,43,43,Brenden Pappas,105,55.88,19,34
43,T44,T44,Charles Howell III,120,55.56,20,36
44,T44,T44,John Rollins,89,55.56,15,27
