,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Justin Leonard,80,"7' 5""",646.9169999999999,87,38
1,2,2,Mark Wilson,82,"7' 6""",685.0830000000001,91,115
2,T3,T3,Ian Leggatt,71,"7' 10""",617.8330000000001,79,166
3,T3,T3,Vijay Singh,106,"7' 10""",905.5830000000001,116,3
4,5,5,Mark Brooks,90,"7' 11""",976.25,123,115
5,6,6,K.J. Choi,112,"8' 2""",873.8330000000001,107,108
6,T7,T7,Donnie Hammond,92,"8' 3""",928.3330000000001,112,72
7,T7,T7,Scott Laycock,71,"8' 3""",711.6669999999999,86,60
8,T7,T7,Jay Williamson,93,"8' 3""",1036.667,126,17
9,T10,T10,Davis Love III,85,"8' 4""",517.0,62,71
10,T10,T10,Corey Pavin,88,"8' 4""",832.9169999999999,100,4
11,T10,T10,John Rollins,89,"8' 4""",701.5,84,119
12,T13,T13,John Huston,76,"8' 5""",915.0830000000001,109,127
13,T13,T13,Rod Pampling,87,"8' 5""",887.75,105,31
14,T13,T13,Loren Roberts,87,"8' 5""",603.0830000000001,72,25
15,T16,T16,Aaron Baddeley,71,"8' 6""",765.5,90,63
16,T16,T16,Fred Funk,112,"8' 6""",1043.917,123,42
17,T16,T16,Shigeki Maruyama,87,"8' 6""",756.1669999999999,89,58
18,T16,T16,Jeff Sluman,106,"8' 6""",767.5,90,9
19,T16,T16,Tiger Woods,74,"8' 6""",568.75,67,57
20,T21,T21,Ernie Els,65,"8' 7""",504.583,59,55
21,T21,T21,Tom Pernice Jr.,105,"8' 7""",908.25,106,28
22,T23,T23,Craig Barlow,95,"8' 8""",1059.0,122,128
