,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,1,1,Steve Allan,53,93.9,77,82
1,2,2,Nick Price,65,93.75,60,64
2,3,3,Darren Clarke,61,93.48,43,46
3,4,4,Tiger Woods,74,93.33,56,60
4,5,5,Mark Brooks,90,93.27,97,104
5,6,6,Dan Forsman,98,92.98,106,114
6,7,7,Steven Alker,87,92.52,99,107
7,8,8,Kirk Triplett,92,92.22,83,90
8,9,9,Andrew Magee,91,91.58,87,95
9,10,10,Pat Bates,111,91.46,150,164
10,11,11,Scott McCarron,86,91.43,96,105
11,12,12,Brian Gay,100,91.07,102,112
12,13,13,Brad Elder,51,90.77,59,65
13,14,14,Rocco Mediate,80,90.7,78,86
14,15,15,Stewart Cink,104,90.21,129,143
15,T16,T16,Chris DiMarco,98,90.0,117,130
16,T16,T16,Vijay Singh,106,90.0,108,120
17,18,18,Jim Furyk,104,89.92,107,119
18,19,19,Stuart Appleby,90,89.81,97,108
19,20,20,Mike Sposa,72,89.69,87,97
20,21,21,Steve Stricker,59,89.66,78,87
21,22,22,Brent Geiberger,51,89.47,68,76
22,23,23,Billy Andrade,100,89.39,118,132
23,24,24,Dudley Hart,66,89.29,75,84
24,25,25,Joey Sindelar,93,89.15,115,129
25,26,26,Jeff Sluman,106,89.13,123,138
26,27,27,Geoff Ogilvy,86,89.0,89,100
27,T28,T28,Jay Don Blake,77,88.98,105,118
28,T28,T28,Brett Quigley,92,88.98,105,118
29,30,30,Glen Day,103,88.8,111,125
30,31,31,Paul Goydos,86,88.79,103,116
31,32,32,Aaron Baddeley,71,88.76,79,89
32,33,33,Deane Pappas,75,88.68,94,106
33,34,34,Corey Pavin,88,88.65,125,141
34,35,35,Tom Pernice Jr.,105,88.51,131,148
35,T36,T36,David Frost,80,88.5,100,113
36,T36,T36,John Rollins,89,88.5,100,113
37,T38,T38,Stephen Ames,91,88.46,92,104
38,T38,T38,Ernie Els,65,88.46,46,52
39,40,40,Brad Faxon,97,88.37,114,129
40,41,41,Pat Perez,95,88.33,106,120
41,42,42,Rod Pampling,87,88.3,83,94
42,43,43,Retief Goosen,69,88.06,59,67
43,44,44,Patrick Sheehan,101,87.94,124,141
44,45,45,Tim Petrovic,108,87.84,130,148
45,46,46,Paul Azinger,73,87.76,86,98
46,47,47,Dicky Pride,73,87.74,93,106
47,48,48,Bob Estes,92,87.62,92,105
48,49,49,Duffy Waldorf,90,87.6,106,121
49,T50,T50,Briny Baird,113,87.5,119,136
50,T50,T50,Rich Beem,80,87.5,84,96
51,T50,T50,Fred Couples,71,87.5,56,64
52,T50,T50,Heath Slocum,101,87.5,105,120
53,54,54,Scott Verplank,97,87.38,90,103
54,55,55,Justin Leonard,80,87.36,76,87
55,56,56,John Riegger,55,87.3,55,63
56,T57,T57,Todd Fischer,97,87.1,108,124
57,T57,T57,Matt Kuchar,63,87.1,81,93
58,59,59,Marco Dawson,86,87.07,101,116
59,60,60,Bernhard Langer,65,87.01,67,77
60,61,61,Jerry Kelly,108,86.99,107,123
61,62,62,Phil Mickelson,87,86.96,60,69
62,63,63,Kent Jones,74,86.9,73,84
63,64,64,Len Mattiace,94,86.87,86,99
64,65,65,Woody Austin,107,86.84,99,114
65,66,66,David Toms,90,86.81,79,91
66,T67,T67,Jeff Maggert,81,86.73,98,113
67,T67,T67,Bob Tway,89,86.73,98,113
68,T69,T69,Neal Lancaster,110,86.67,143,165
69,T69,T69,Carl Paulson,101,86.67,130,150
70,71,71,Kevin Sutherland,97,86.6,84,97
71,72,72,J.P. Hayes,79,86.54,90,104
72,73,73,Chris Riley,96,86.51,109,126
73,74,74,Jonathan Byrd,101,86.47,115,133
74,75,75,Tim Herron,102,86.29,107,124
75,76,76,Charles Howell III,120,86.26,113,131
76,77,77,Robert Gamez,114,86.25,138,160
77,78,78,Skip Kendall,110,86.23,144,167
78,79,79,Adam Scott,52,86.21,50,58
79,80,80,Jay Haas,89,86.14,87,101
80,81,81,Mark O'Meara,69,86.08,68,79
81,82,82,Brandt Jobe,77,85.96,98,114
82,83,83,Robert Damron,96,85.92,122,142
83,84,84,Lee Janzen,83,85.9,67,78
84,85,85,Craig Perks,82,85.85,91,106
85,86,86,Mark Wilson,82,85.84,97,113
86,T87,T87,Olin Browne,113,85.71,126,147
87,T87,T87,Spike McRoy,103,85.71,108,126
88,T89,T89,Tom Byrum,97,85.61,113,132
89,T89,T89,Kenny Perry,98,85.61,113,132
90,91,91,Cliff Kresge,102,85.51,118,138
91,92,92,Dean Wilson,82,85.45,94,110
92,93,93,Garrett Willis,97,85.42,123,144
93,94,94,Mike Heinen,89,85.34,99,116
94,95,95,Per-Ulrik Johansson,96,85.33,128,150
95,96,96,Jonathan Kaye,91,85.19,92,108
96,97,97,Harrison Frazar,88,85.07,114,134
97,98,98,Brian Henninger,56,85.06,74,87
98,99,99,John Morgan,81,85.04,108,127
99,100,100,Davis Love III,85,85.0,68,80
100,101,101,Billy Mayfair,105,84.96,113,133
101,102,102,Tommy Armour III,66,84.88,73,86
102,103,103,Arron Oberholser,80,84.8,106,125
103,104,104,David Peoples,96,84.73,111,131
104,105,105,Alex Cejka,98,84.68,94,111
105,106,106,Cameron Beckman,86,84.55,104,123
106,107,107,Ben Crane,94,84.54,82,97
107,108,108,Loren Roberts,87,84.26,91,108
108,109,109,Robert Allenby,87,84.16,85,101
109,110,110,Frank Lickliter II,94,84.13,106,126
110,111,111,Carlos Franco,99,84.11,127,151
111,T112,T112,Jason Caron,74,84.09,74,88
112,T112,T112,Rory Sabbatini,95,84.09,111,132
113,114,114,Akio Sadakata,83,84.03,100,119
114,115,115,Jeff Brehaut,110,84.0,126,150
115,116,116,J.J. Henry,100,83.97,110,131
116,117,117,John Senden,111,83.94,115,137
117,118,118,Mark Calcavecchia,84,83.76,98,117
118,119,119,Mathew Goggin,90,83.74,103,123
119,120,120,Doug Barron,90,83.67,123,147
120,121,121,Shigeki Maruyama,87,83.64,92,110
121,122,122,Jay Williamson,93,83.56,122,146
122,123,123,Ian Leggatt,71,83.51,81,97
123,T124,T124,Gavin Coles,69,83.5,86,103
124,T124,T124,Luke Donald,88,83.5,86,103
125,T126,T126,Steve Flesch,110,83.33,120,144
126,T126,T126,Hank Kuehne,73,83.33,65,78
127,T126,T126,Jesper Parnevik,102,83.33,105,126
128,129,129,Jason Gore,83,83.2,104,125
129,130,130,Esteban Toledo,109,83.08,108,130
130,131,131,Thomas Levet,85,83.04,93,112
131,132,132,Carl Pettersson,80,83.0,83,100
132,133,133,Paul Stankowski,67,82.95,73,88
133,134,134,Brent Schwarzrock,60,82.93,68,82
