,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Chris Riley,96,"6' 5""",1120.0,174,2
1,T2,T2,Corey Pavin,88,"6' 6""",1346.8329999999999,206,4
2,T2,T2,Steve Stricker,59,"6' 6""",947.0830000000001,146,12
3,4,4,Vijay Singh,106,"6' 8""",1091.667,163,3
4,5,5,Nick Price,65,"7' 0""",856.25,123,18
5,T6,T6,Len Mattiace,94,"7' 1""",1211.583,172,79
6,T6,T6,Loren Roberts,87,"7' 1""",1029.583,146,25
7,8,8,David Gossett,92,"7' 3""",1600.6670000000001,221,106
8,T9,T9,Woody Austin,107,"7' 4""",1521.0,207,101
9,T9,T9,Arron Oberholser,80,"7' 4""",1363.0829999999999,186,1
10,T9,T9,Rory Sabbatini,95,"7' 4""",1554.3329999999999,212,113
11,T12,T12,Fred Couples,71,"7' 5""",728.5830000000001,98,134
12,T12,T12,David Peoples,96,"7' 5""",1438.8329999999999,194,5
13,T12,T12,Dean Wilson,82,"7' 5""",1250.667,168,91
14,T15,T15,Steven Alker,87,"7' 6""",1211.0,161,51
15,T15,T15,Stephen Ames,91,"7' 6""",1390.25,185,33
16,T15,T15,Mark Brooks,90,"7' 6""",1316.5,176,115
17,T15,T15,Rod Pampling,87,"7' 6""",1258.75,168,31
18,T19,T19,Pat Bates,111,"7' 7""",1478.6670000000001,195,11
19,T19,T19,José Coceres,62,"7' 7""",1042.917,137,171
20,T19,T19,Robert Damron,96,"7' 7""",1335.5829999999999,176,22
21,T19,T19,Jim Furyk,104,"7' 7""",1091.833,144,6
22,T19,T19,Brian Gay,100,"7' 7""",1564.0,207,59
23,T19,T19,J.P. Hayes,79,"7' 7""",1080.333,142,122
24,T19,T19,Dicky Pride,73,"7' 7""",1080.917,143,47
25,T19,T19,Esteban Toledo,109,"7' 7""",1727.0829999999999,228,77
26,T27,T27,Mark Calcavecchia,84,"7' 8""",1286.917,168,34
27,T27,T27,Bob Estes,92,"7' 8""",1228.667,160,82
28,T27,T27,Justin Leonard,80,"7' 8""",1014.25,133,38
29,T27,T27,Davis Love III,85,"7' 8""",1030.5,135,71
30,T31,T31,Glen Day,103,"7' 9""",1635.5,211,56
31,T31,T31,Luke Donald,88,"7' 9""",1464.6670000000001,188,143
32,T31,T31,Kevin Sutherland,97,"7' 9""",1135.5,146,64
33,T34,T34,Aaron Baddeley,71,"7' 10""",1267.083,162,63
34,T34,T34,David Frost,80,"7' 10""",1194.75,152,14
35,T36,T36,Dudley Hart,66,"7' 11""",930.9169999999999,118,61
36,T36,T36,Lee Janzen,83,"7' 11""",1016.0,128,132
37,T36,T36,Patrick Sheehan,101,"7' 11""",1947.4170000000001,247,19
38,T36,T36,Garrett Willis,97,"7' 11""",1704.5,216,43
39,T40,T40,Bob Burns,88,"8' 0""",1298.833,163,124
40,T40,T40,Brandt Jobe,77,"8' 0""",1181.083,148,7
41,T40,T40,Cliff Kresge,102,"8' 0""",1647.5829999999999,207,82
42,T40,T40,Bernhard Langer,65,"8' 0""",1043.583,131,112
43,T40,T40,Tom Pernice Jr.,105,"8' 0""",1877.0,235,28
44,T45,T45,Harrison Frazar,88,"8' 1""",1390.8329999999999,172,104
45,T45,T45,Shaun Micheel,97,"8' 1""",1531.5829999999999,189,120
46,T45,T45,Gene Sauers,87,"8' 1""",1440.0,179,173
47,T45,T45,Jeff Sluman,106,"8' 1""",1506.6670000000001,186,9
48,T45,T45,Bob Tway,89,"8' 1""",1159.5,143,86
49,T45,T45,Tiger Woods,74,"8' 1""",1035.833,128,57
50,T51,T51,Gavin Coles,69,"8' 2""",1099.0,135,76
51,T51,T51,Ben Crane,94,"8' 2""",1738.1670000000001,213,66
52,T51,T51,Neal Lancaster,110,"8' 2""",1735.8329999999999,213,32
53,T51,T51,Mike Weir,80,"8' 2""",1023.9169999999999,126,13
54,T55,T55,Stuart Appleby,90,"8' 3""",1292.833,157,24
55,T55,T55,Cameron Beckman,86,"8' 3""",1284.583,156,88
56,T55,T55,Paul Goydos,86,"8' 3""",1354.75,164,16
57,T55,T55,Peter Jacobsen,75,"8' 3""",1101.417,133,156
58,T55,T55,Kent Jones,74,"8' 3""",1184.0,143,126
59,T55,T55,Frank Lickliter II,94,"8' 3""",1593.8329999999999,194,149
60,T55,T55,Steve Lowery,86,"8' 3""",1617.5829999999999,197,141
61,T55,T55,Geoff Ogilvy,86,"8' 3""",1429.5,174,37
62,T55,T55,Jesper Parnevik,102,"8' 3""",1702.8329999999999,207,138
63,T55,T55,Mike Sposa,72,"8' 3""",1132.917,137,30
64,T65,T65,Chris Anderson,96,"8' 4""",1566.5,188,70
65,T65,T65,Tommy Armour III,66,"8' 4""",1067.25,128,144
66,T65,T65,Tom Byrum,97,"8' 4""",1462.4170000000001,175,41
67,T65,T65,Joel Edwards,60,"8' 4""",1202.417,144,159
68,T65,T65,Carlos Franco,99,"8' 4""",1790.3329999999999,215,100
69,T65,T65,Fred Funk,112,"8' 4""",1540.9170000000001,185,42
70,T65,T65,Robert Gamez,114,"8' 4""",1906.5829999999999,228,85
71,T65,T65,Matt Gogel,77,"8' 4""",1088.333,131,49
72,T65,T65,Richard Johnson,89,"8' 4""",1567.0,188,65
73,T65,T65,Jeff Maggert,81,"8' 4""",1605.6670000000001,192,114
74,T65,T65,Carl Pettersson,80,"8' 4""",1410.3329999999999,169,133
75,T65,T65,Heath Slocum,101,"8' 4""",1722.8329999999999,207,147
76,T65,T65,David Sutherland,77,"8' 4""",1054.75,127,161
77,T78,T78,Jonathan Byrd,101,"8' 5""",1717.75,204,93
78,T78,T78,Stewart Cink,104,"8' 5""",1592.1670000000001,189,8
79,T78,T78,Darren Clarke,61,"8' 5""",1053.917,125,167
80,T78,T78,Ernie Els,65,"8' 5""",876.75,104,55
81,T78,T78,Tim Herron,102,"8' 5""",2004.0,238,26
82,T78,T78,Deane Pappas,75,"8' 5""",1589.75,188,78
83,T78,T78,Jay Williamson,93,"8' 5""",1633.8329999999999,195,17
84,T85,T85,Notah Begay III,92,"8' 6""",1585.0,186,84
85,T85,T85,Jim Carter,95,"8' 6""",1396.5829999999999,164,81
86,T85,T85,Ben Curtis,69,"8' 6""",1177.25,139,145
87,T85,T85,Brad Faxon,97,"8' 6""",1396.3329999999999,164,40
88,T85,T85,Brent Geiberger,51,"8' 6""",712.0,84,48
89,T85,T85,Paul Gow,62,"8' 6""",1256.667,148,43
90,T85,T85,Jay Haas,89,"8' 6""",1337.6670000000001,158,21
91,T85,T85,Scott Laycock,71,"8' 6""",1171.75,138,60
92,T85,T85,Rocco Mediate,80,"8' 6""",1168.167,138,142
93,T85,T85,Tim Petrovic,108,"8' 6""",1673.25,196,35
94,T85,T85,"Dave Stockton, Jr.",79,"8' 6""",1615.3329999999999,190,179
95,T96,T96,Jeff Brehaut,110,"8' 7""",1576.5829999999999,183,61
96,T96,T96,Greg Chalmers,98,"8' 7""",2052.667,238,154
97,T96,T96,Tim Clark,79,"8' 7""",1216.583,142,105
98,T96,T96,Per-Ulrik Johansson,96,"8' 7""",1540.0,179,36
99,T96,T96,Skip Kendall,110,"8' 7""",1559.0,181,27
100,T96,T96,J.L. Lewis,99,"8' 7""",1714.4170000000001,199,163
101,T96,T96,Hidemichi Tanaka,112,"8' 7""",1802.0829999999999,209,39
102,T96,T96,Kirk Triplett,92,"8' 7""",1273.083,148,14
103,T104,T104,Steve Allan,53,"8' 8""",1014.75,117,89
104,T104,T104,K.J. Choi,112,"8' 8""",1564.6670000000001,181,108
105,T104,T104,Glen Hnatiuk,92,"8' 8""",1683.4170000000001,194,90
106,T104,T104,John Senden,111,"8' 8""",1760.5,203,69
107,T108,T108,Billy Andrade,100,"8' 9""",2091.75,240,54
108,T108,T108,Steve Flesch,110,"8' 9""",1977.9170000000001,226,50
109,T108,T108,Scott McCarron,86,"8' 9""",1426.5829999999999,163,80
110,T108,T108,Carl Paulson,101,"8' 9""",1978.8329999999999,226,99
111,T108,T108,John Rollins,89,"8' 9""",1281.833,147,119
112,T108,T108,Duffy Waldorf,90,"8' 9""",1271.917,145,125
113,T114,T114,Doug Barron,90,"8' 10""",1683.3329999999999,191,67
114,T114,T114,Jonathan Kaye,91,"8' 10""",1408.1670000000001,160,87
115,T114,T114,John Maginnes,87,"8' 10""",1640.6670000000001,185,117
116,T114,T114,Anthony Painter,87,"8' 10""",2008.5,228,135
117,T114,T114,Brett Quigley,92,"8' 10""",1610.3329999999999,182,19
118,T114,T114,Adam Scott,52,"8' 10""",897.75,102,136
119,T114,T114,Hal Sutton,81,"8' 10""",1112.583,126,103
120,T121,T121,Craig Barlow,95,"8' 11""",1621.3329999999999,181,128
121,T121,T121,Chad Campbell,105,"8' 11""",1495.0829999999999,168,162
122,T121,T121,Alex Cejka,98,"8' 11""",1698.1670000000001,191,110
123,T121,T121,Dan Forsman,98,"8' 11""",1540.4170000000001,173,10
124,T121,T121,Donnie Hammond,92,"8' 11""",1567.1670000000001,175,72
125,T121,T121,Tom Lehman,87,"8' 11""",1135.0,127,174
126,T121,T121,Thomas Levet,85,"8' 11""",1323.4170000000001,149,168
127,T121,T121,Andrew Magee,91,"8' 11""",1572.8329999999999,177,46
128,T129,T129,Brian Bateman,70,"9' 0""",1129.5,125,150
129,T129,T129,Brad Elder,51,"9' 0""",990.9169999999999,110,137
130,T129,T129,Todd Fischer,97,"9' 0""",1996.0829999999999,221,97
131,T129,T129,Brian Henninger,56,"9' 0""",1048.75,117,102
132,T129,T129,Kenichi Kuboya,91,"9' 0""",1806.6670000000001,200,148
133,T129,T129,Matt Kuchar,63,"9' 0""",1244.167,138,96
134,T129,T129,Billy Mayfair,105,"9' 0""",1853.5,206,75
135,T129,T129,Pat Perez,95,"9' 0""",1905.5,211,106
136,T129,T129,Vance Veazey,66,"9' 0""",1208.75,134,184
137,T138,T138,Robert Allenby,87,"9' 1""",1083.667,119,74
138,T138,T138,Aaron Barber,94,"9' 1""",1578.8329999999999,174,129
139,T138,T138,Sergio Garcia,62,"9' 1""",880.3330000000001,97,178
140,T138,T138,Peter Lonard,96,"9' 1""",1791.0829999999999,198,152
141,T138,T138,Phil Mickelson,87,"9' 1""",1229.583,135,151
142,T138,T138,Brenden Pappas,105,"9' 1""",2002.5829999999999,221,155
143,T138,T138,Brent Schwarzrock,60,"9' 1""",1012.1669999999999,111,121
144,T138,T138,Joey Sindelar,93,"9' 1""",1605.4170000000001,177,110
145,T146,T146,Hank Kuehne,73,"9' 2""",1716.1670000000001,188,171
146,T146,T146,Shigeki Maruyama,87,"9' 2""",1367.25,149,58
147,T148,T148,Chris DiMarco,98,"9' 3""",1323.3329999999999,143,94
148,T148,T148,Retief Goosen,69,"9' 3""",970.0,105,97
149,T148,T148,Charles Howell III,120,"9' 3""",1944.6670000000001,211,68
150,T148,T148,Scott Verplank,97,"9' 3""",1593.0,172,45
151,T152,T152,John Daly,56,"9' 4""",1360.6670000000001,146,187
152,T152,T152,Jason Gore,83,"9' 4""",1754.8329999999999,188,160
153,T154,T154,Todd Barranger,78,"9' 5""",1784.6670000000001,189,180
154,T154,T154,Marco Dawson,86,"9' 5""",1404.25,149,139
155,T154,T154,Andy Miller,75,"9' 5""",1619.75,172,158
156,T157,T157,Paul Azinger,73,"9' 6""",1432.6670000000001,151,145
157,T157,T157,Craig Perks,82,"9' 6""",1715.4170000000001,180,123
158,T157,T157,Ty Tryon,52,"9' 6""",1400.4170000000001,148,184
159,T157,T157,Mark Wilson,82,"9' 6""",1649.3329999999999,174,115
160,T161,T161,Tom Gillis,71,"9' 7""",1441.25,150,153
161,T161,T161,J.J. Henry,100,"9' 7""",1874.3329999999999,195,92
162,T163,T163,Briny Baird,113,"9' 8""",1665.1670000000001,173,73
163,T163,T163,Joe Durant,96,"9' 8""",1615.5829999999999,167,165
164,T163,T163,John Huston,76,"9' 8""",1083.667,112,127
165,T163,T163,Jerry Kelly,108,"9' 8""",1842.5829999999999,190,28
166,T163,T163,Kenneth Staton,59,"9' 8""",1315.8329999999999,136,176
167,T163,T163,Darron Stiles,93,"9' 8""",1664.3329999999999,172,109
168,T169,T169,Jay Don Blake,77,"9' 9""",1207.25,124,131
169,T169,T169,Jason Buha,61,"9' 9""",1339.9170000000001,137,175
170,T169,T169,Mike Heinen,89,"9' 9""",1586.4170000000001,163,170
171,T172,T172,Jeff Klein,60,"9' 10""",1142.25,116,186
172,T172,T172,Mark O'Meara,69,"9' 10""",1206.833,123,181
173,T172,T172,Kaname Yokoo,56,"9' 10""",1426.5829999999999,145,188
174,T175,T175,Spike McRoy,103,"9' 11""",1918.5829999999999,193,130
175,T175,T175,Kenny Perry,98,"9' 11""",1621.0,163,23
176,T177,T177,John Morgan,81,"10' 0""",1773.1670000000001,177,118
177,T177,T177,Chris Smith,92,"10' 0""",1440.8329999999999,144,190
178,T177,T177,David Toms,90,"10' 0""",1175.75,118,53
179,T177,T177,Cameron Yancey,58,"10' 0""",1163.917,116,183
180,T181,T181,Olin Browne,113,"10' 2""",2189.917,216,95
181,T181,T181,Michael Clark II,54,"10' 2""",1281.083,126,189
182,183,183,Mathew Goggin,90,"10' 3""",1702.6670000000001,166,164
183,184,184,Jason Caron,74,"10' 4""",1874.3329999999999,182,169
184,185,185,Ian Leggatt,71,"10' 7""",1466.9170000000001,139,166
185,T186,T186,Akio Sadakata,83,"10' 8""",1542.0829999999999,145,157
186,T186,T186,Paul Stankowski,67,"10' 8""",1335.75,125,140
187,188,188,Rich Beem,80,"11' 0""",1527.8329999999999,139,177
188,189,189,John Riegger,55,"11' 3""",1151.167,102,51
189,190,190,Mike Grob,83,"11' 4""",1943.75,172,182
