,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Vijay Singh,106,"6' 5""",2453.583,381
1,2,2,Chris Riley,96,"7' 0""",3008.25,429
2,T3,T3,Corey Pavin,88,"7' 2""",3155.0,442
3,T3,T3,David Peoples,96,"7' 2""",2940.083,411
4,5,5,Justin Leonard,80,"7' 3""",2251.083,309
5,T6,T6,David Frost,80,"7' 6""",3035.0,406
6,T6,T6,Dicky Pride,73,"7' 6""",2398.75,321
7,T6,T6,Jeff Sluman,106,"7' 6""",3103.25,413
8,T6,T6,Tiger Woods,74,"7' 6""",1672.9170000000001,222
9,10,10,Tom Pernice Jr.,105,"7' 7""",3405.75,451
10,T11,T11,Brian Gay,100,"7' 8""",3325.25,435
11,T11,T11,John Rollins,89,"7' 8""",2546.5,332
12,T13,T13,Robert Damron,96,"7' 9""",3617.5,468
13,T13,T13,Jim Furyk,104,"7' 9""",2592.583,334
14,T13,T13,Arron Oberholser,80,"7' 9""",3123.833,405
15,T13,T13,Kenny Perry,98,"7' 9""",2668.0,344
16,T13,T13,Nick Price,65,"7' 9""",2026.5,261
17,T13,T13,Patrick Sheehan,101,"7' 9""",3801.917,490
18,T13,T13,David Sutherland,77,"7' 9""",2320.5,298
19,T13,T13,Kirk Triplett,92,"7' 9""",2618.0,339
20,T21,T21,Bob Estes,92,"7' 10""",2704.083,346
21,T21,T21,Scott Laycock,71,"7' 10""",2611.417,334
22,T21,T21,Adam Scott,52,"7' 10""",1575.4170000000001,201
23,T24,T24,Mark Calcavecchia,84,"7' 11""",2957.833,375
24,T24,T24,Fred Funk,112,"7' 11""",3668.167,462
25,T24,T24,Retief Goosen,69,"7' 11""",1610.1670000000001,204
26,T24,T24,Skip Kendall,110,"7' 11""",3866.917,486
27,T24,T24,Neal Lancaster,110,"7' 11""",3917.917,495
28,T24,T24,Loren Roberts,87,"7' 11""",2841.417,358
29,T24,T24,Kevin Sutherland,97,"7' 11""",2691.333,340
30,T24,T24,Mike Weir,80,"7' 11""",2088.0,265
31,T32,T32,Pat Bates,111,"8' 0""",3882.917,485
32,T32,T32,Mark Brooks,90,"8' 0""",3470.167,433
33,T32,T32,Steve Flesch,110,"8' 0""",3873.833,485
34,T32,T32,Tim Petrovic,108,"8' 0""",3749.667,471
35,T36,T36,Woody Austin,107,"8' 1""",3602.333,444
36,T36,T36,Stewart Cink,104,"8' 1""",3502.5,435
37,T36,T36,Darren Clarke,61,"8' 1""",1644.3329999999999,203
38,T36,T36,Peter Jacobsen,75,"8' 1""",2624.25,325
39,T36,T36,Per-Ulrik Johansson,96,"8' 1""",3465.667,428
40,T36,T36,Rocco Mediate,80,"8' 1""",2488.0,309
41,T36,T36,Rod Pampling,87,"8' 1""",2835.917,350
42,T43,T43,Alex Cejka,98,"8' 2""",2907.167,355
43,T43,T43,Glen Day,103,"8' 2""",3725.417,456
44,T43,T43,Donnie Hammond,92,"8' 2""",3546.083,436
45,T43,T43,Tim Herron,102,"8' 2""",3584.083,438
46,T43,T43,Tom Lehman,87,"8' 2""",2245.083,276
47,T43,T43,Len Mattiace,94,"8' 2""",3281.667,402
48,T43,T43,Jay Williamson,93,"8' 2""",3756.667,459
49,T50,T50,Stephen Ames,91,"8' 3""",3310.833,402
50,T50,T50,Fred Couples,71,"8' 3""",1775.5,216
51,T50,T50,Ernie Els,65,"8' 3""",1671.0829999999999,202
52,T50,T50,Dudley Hart,66,"8' 3""",2348.167,285
53,T50,T50,Steve Stricker,59,"8' 3""",2554.833,310
54,T55,T55,Steven Alker,87,"8' 4""",3445.083,413
55,T55,T55,David Gossett,92,"8' 4""",3420.167,410
56,T55,T55,Bernhard Langer,65,"8' 4""",2181.75,262
57,T55,T55,Mike Sposa,72,"8' 4""",2888.75,347
58,T59,T59,Stuart Appleby,90,"8' 5""",2899.167,346
59,T59,T59,Jim Carter,95,"8' 5""",3829.833,457
60,T59,T59,Brad Faxon,97,"8' 5""",3466.917,410
61,T59,T59,Carlos Franco,99,"8' 5""",3691.083,437
62,T59,T59,Jay Haas,89,"8' 5""",3084.833,367
63,T59,T59,Brandt Jobe,77,"8' 5""",2713.167,322
64,T59,T59,Richard Johnson,89,"8' 5""",3707.5,440
65,T59,T59,Andrew Magee,91,"8' 5""",3076.333,364
66,T59,T59,Scott McCarron,86,"8' 5""",2585.25,308
67,T59,T59,John Riegger,55,"8' 5""",1876.25,224
68,T59,T59,John Senden,111,"8' 5""",3858.333,459
69,T70,T70,Doug Barron,90,"8' 6""",4051.583,476
70,T70,T70,Bob Burns,88,"8' 6""",3180.833,376
71,T70,T70,Marco Dawson,86,"8' 6""",2693.5,316
72,T70,T70,Robert Gamez,114,"8' 6""",4334.917,511
73,T70,T70,Davis Love III,85,"8' 6""",2364.417,277
74,T70,T70,Geoff Ogilvy,86,"8' 6""",3005.333,353
75,T70,T70,Brett Quigley,92,"8' 6""",3402.667,401
76,T70,T70,Rory Sabbatini,95,"8' 6""",3476.833,408
77,T78,T78,Chris Anderson,96,"8' 7""",3727.917,434
78,T78,T78,Briny Baird,113,"8' 7""",3566.583,416
79,T78,T78,Chris DiMarco,98,"8' 7""",3192.583,372
80,T78,T78,Luke Donald,88,"8' 7""",3341.333,390
81,T78,T78,Todd Fischer,97,"8' 7""",4029.667,468
82,T78,T78,Brian Henninger,56,"8' 7""",2207.0,258
83,T78,T78,J.J. Henry,100,"8' 7""",3703.083,430
84,T78,T78,Lee Janzen,83,"8' 7""",2413.833,282
85,T78,T78,Matt Kuchar,63,"8' 7""",2574.417,299
86,T78,T78,Thomas Levet,85,"8' 7""",2982.417,347
87,T78,T78,Hidemichi Tanaka,112,"8' 7""",4182.0,486
88,T78,T78,Esteban Toledo,109,"8' 7""",4374.167,508
89,T78,T78,David Toms,90,"8' 7""",2543.917,297
90,T91,T91,Craig Barlow,95,"8' 8""",3628.417,417
91,T91,T91,Tom Byrum,97,"8' 8""",3866.083,448
92,T91,T91,Joel Edwards,60,"8' 8""",2623.0,302
93,T91,T91,Paul Gow,62,"8' 8""",2699.0,311
94,T91,T91,Paul Goydos,86,"8' 8""",3580.667,415
95,T91,T91,Jeff Maggert,81,"8' 8""",3079.0,355
96,T91,T91,Bob Tway,89,"8' 8""",3115.333,358
97,T98,T98,Aaron Baddeley,71,"8' 9""",2816.083,322
98,T98,T98,José Coceres,62,"8' 9""",2722.917,312
99,T98,T98,Brent Geiberger,51,"8' 9""",2161.0,247
100,T98,T98,Charles Howell III,120,"8' 9""",3618.333,413
101,T98,T98,Shaun Micheel,97,"8' 9""",3632.333,414
102,T98,T98,Carl Paulson,101,"8' 9""",4291.083,490
103,T104,T104,Jeff Brehaut,110,"8' 10""",3995.833,454
104,T104,T104,John Huston,76,"8' 10""",2751.333,311
105,T104,T104,Ian Leggatt,71,"8' 10""",2561.5,291
106,T104,T104,Peter Lonard,96,"8' 10""",3449.167,392
107,T104,T104,Phil Mickelson,87,"8' 10""",2478.417,281
108,T104,T104,Mark O'Meara,69,"8' 10""",2189.833,249
109,T104,T104,Jesper Parnevik,102,"8' 10""",3791.25,428
110,T111,T111,J.P. Hayes,79,"8' 11""",2999.25,336
111,T111,T111,Jerry Kelly,108,"8' 11""",3447.083,387
112,T111,T111,Steve Lowery,86,"8' 11""",3047.417,342
113,T114,T114,Robert Allenby,87,"9' 0""",2441.167,272
114,T114,T114,Paul Azinger,73,"9' 0""",2967.833,330
115,T114,T114,Aaron Barber,94,"9' 0""",3764.917,420
116,T114,T114,Cameron Beckman,86,"9' 0""",3445.583,384
117,T114,T114,K.J. Choi,112,"9' 0""",3444.75,384
118,T114,T114,Dan Forsman,98,"9' 0""",3360.25,374
119,T114,T114,Glen Hnatiuk,92,"9' 0""",4038.167,449
120,T114,T114,Carl Pettersson,80,"9' 0""",3284.0,366
121,T114,T114,Joey Sindelar,93,"9' 0""",3597.083,400
122,T114,T114,Mark Wilson,82,"9' 0""",3610.583,401
123,T124,T124,Billy Andrade,100,"9' 1""",4217.083,466
124,T124,T124,Ben Crane,94,"9' 1""",3809.333,419
125,T124,T124,Jonathan Kaye,91,"9' 1""",3211.5,352
126,T124,T124,Billy Mayfair,105,"9' 1""",3964.667,437
127,T124,T124,Deane Pappas,75,"9' 1""",3429.333,379
128,T124,T124,Dean Wilson,82,"9' 1""",3461.583,382
129,T130,T130,Jonathan Byrd,101,"9' 2""",3861.333,423
130,T130,T130,Mathew Goggin,90,"9' 2""",3355.333,367
131,T130,T130,Shigeki Maruyama,87,"9' 2""",3222.667,352
132,T130,T130,Brent Schwarzrock,60,"9' 2""",2338.583,255
133,T130,T130,Scott Verplank,97,"9' 2""",3597.583,392
134,T130,T130,Garrett Willis,97,"9' 2""",4206.917,459
135,T136,T136,Gavin Coles,69,"9' 3""",3245.583,352
136,T136,T136,Harrison Frazar,88,"9' 3""",3454.333,374
137,T136,T136,Kent Jones,74,"9' 3""",2856.583,308
138,T136,T136,J.L. Lewis,99,"9' 3""",3824.25,415
139,T136,T136,Gene Sauers,87,"9' 3""",3831.167,416
140,T141,T141,Jay Don Blake,77,"9' 4""",2944.583,316
141,T141,T141,Matt Gogel,77,"9' 4""",3238.25,348
142,T141,T141,Jason Gore,83,"9' 4""",3690.75,396
143,T141,T141,Kenichi Kuboya,91,"9' 4""",4086.833,436
144,T141,T141,Spike McRoy,103,"9' 4""",4221.333,454
145,T141,T141,Akio Sadakata,83,"9' 4""",3234.583,347
146,T147,T147,Chad Campbell,105,"9' 5""",3319.0,351
147,T147,T147,Joe Durant,96,"9' 5""",3191.25,338
148,T147,T147,Sergio Garcia,62,"9' 5""",1729.4170000000001,183
149,T147,T147,Frank Lickliter II,94,"9' 5""",3886.333,411
150,T147,T147,Brenden Pappas,105,"9' 5""",4109.833,435
151,T147,T147,Kenneth Staton,59,"9' 5""",2625.75,278
152,T147,T147,Darron Stiles,93,"9' 5""",3644.583,388
153,T147,T147,Hal Sutton,81,"9' 5""",3054.25,323
154,T155,T155,Notah Begay III,92,"9' 6""",4316.417,453
155,T155,T155,Michael Clark II,54,"9' 6""",2457.667,258
156,T155,T155,Tim Clark,79,"9' 6""",3094.917,327
157,T155,T155,Tom Gillis,71,"9' 6""",2920.083,308
158,T155,T155,Hank Kuehne,73,"9' 6""",3020.333,319
159,T155,T155,Andy Miller,75,"9' 6""",3477.75,367
160,T161,T161,John Daly,56,"9' 7""",2127.5,222
161,T161,T161,Cliff Kresge,102,"9' 7""",4106.833,429
162,T163,T163,Brian Bateman,70,"9' 8""",2781.417,288
163,T163,T163,Paul Stankowski,67,"9' 8""",2367.667,244
164,T163,T163,Duffy Waldorf,90,"9' 8""",3346.333,346
165,T166,T166,Steve Allan,53,"9' 9""",2616.75,269
166,T166,T166,Jason Caron,74,"9' 9""",3371.25,346
167,T166,T166,Ben Curtis,69,"9' 9""",3122.417,321
168,T166,T166,Anthony Painter,87,"9' 9""",4262.167,436
169,T166,T166,Pat Perez,95,"9' 9""",4060.333,416
170,T166,T166,Craig Perks,82,"9' 9""",3530.5,361
171,T172,T172,John Maginnes,87,"9' 11""",3991.917,403
172,T172,T172,John Morgan,81,"9' 11""",4017.667,406
173,T174,T174,Tommy Armour III,66,"10' 0""",2872.167,288
174,T174,T174,Heath Slocum,101,"10' 0""",4627.167,464
175,T174,T174,"Dave Stockton, Jr.",79,"10' 0""",3580.583,359
176,T174,T174,Kaname Yokoo,56,"10' 0""",2770.167,278
177,T178,T178,Todd Barranger,78,"10' 1""",3800.75,376
178,T178,T178,Olin Browne,113,"10' 1""",4914.417,489
179,T178,T178,Brad Elder,51,"10' 1""",2350.167,234
180,T181,T181,Rich Beem,80,"10' 2""",3142.583,308
181,T181,T181,Greg Chalmers,98,"10' 2""",5022.583,493
182,T183,T183,Mike Grob,83,"10' 3""",3711.417,361
183,T183,T183,Jeff Klein,60,"10' 3""",3224.583,315
184,T183,T183,Ty Tryon,52,"10' 3""",2540.417,248
185,186,186,Jason Buha,61,"10' 5""",2980.25,286
186,187,187,Cameron Yancey,58,"10' 6""",3257.667,310
187,188,188,Vance Veazey,66,"10' 7""",3408.833,321
188,189,189,Mike Heinen,89,"10' 9""",3972.583,370
189,190,190,Chris Smith,92,"11' 3""",3922.417,348
